"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Brazil",2019-12-30,215,253,291,13,0,0,"0","0"
"Brazil",2019-12-31,226,265,304,13,0,0,"0","0"
"Brazil",2020-01-01,238,279,320,14,0,0,"0","0"
"Brazil",2020-01-02,250,293,336,15,0,0,"0","0"
"Brazil",2020-01-03,262,308,354,15,0,0,"0","0"
"Brazil",2020-01-04,275,323,371,16,0,0,"0","0"
"Brazil",2020-01-05,290,340,390,17,0,0,"0","0"
"Brazil",2020-01-06,304,357,410,18,0,0,"0","0"
"Brazil",2020-01-07,319,375,431,19,0,0,"0","0"
"Brazil",2020-01-08,336,394,452,20,0,0,"0","0"
"Brazil",2020-01-09,353,414,475,21,0,0,"0","0"
"Brazil",2020-01-10,371,435,499,22,0,0,"0","0"
"Brazil",2020-01-11,389,457,525,23,0,0,"0","0"
"Brazil",2020-01-12,409,480,551,24,0,0,"0","0"
"Brazil",2020-01-13,429,504,579,25,0,0,"0","0"
"Brazil",2020-01-14,451,529,607,26,0,0,"0","0"
"Brazil",2020-01-15,474,556,638,28,0,0,"0","0"
"Brazil",2020-01-16,497,584,671,29,0,0,"0","0"
"Brazil",2020-01-17,523,614,705,31,0,0,"0","0"
"Brazil",2020-01-18,549,645,741,32,0,0,"0","0"
"Brazil",2020-01-19,577,677,777,34,0,0,"0","0"
"Brazil",2020-01-20,606,711,816,36,0,0,"0","0"
"Brazil",2020-01-21,636,747,858,37,0,0,"0","0"
"Brazil",2020-01-22,669,785,901,39,0,0,"0","0"
"Brazil",2020-01-23,703,825,947,41,0,0,"0","0"
"Brazil",2020-01-24,738,867,996,43,0,0,"0","0"
"Brazil",2020-01-25,775,910,1045,45,0,0,"0","0"
"Brazil",2020-01-26,814,956,1098,48,0,0,"0","0"
"Brazil",2020-01-27,856,1005,1154,50,0,0,"0","0"
"Brazil",2020-01-28,899,1055,1211,53,0,0,"0","0"
"Brazil",2020-01-29,945,1109,1273,55,0,0,"0","0"
"Brazil",2020-01-30,992,1165,1338,58,0,0,"0","0"
"Brazil",2020-01-31,1043,1224,1405,61,0,0,"0","0"
"Brazil",2020-02-01,1095,1286,1477,64,0,0,"0","0"
"Brazil",2020-02-02,1151,1351,1551,67,0,0,"0","0"
"Brazil",2020-02-03,1209,1419,1629,71,0,0,"0","0"
"Brazil",2020-02-04,1269,1490,1711,74,0,0,"0","0"
"Brazil",2020-02-05,1334,1566,1798,78,0,0,"0","0"
"Brazil",2020-02-06,1401,1645,1889,82,0,0,"0","0"
"Brazil",2020-02-07,1472,1728,1984,86,0,0,"0","0"
"Brazil",2020-02-08,1546,1815,2084,91,0,0,"0","0"
"Brazil",2020-02-09,1624,1907,2190,95,0,0,"0","0"
"Brazil",2020-02-10,1707,2004,2301,100,0,0,"0","0"
"Brazil",2020-02-11,1793,2105,2417,105,0,0,"0","0"
"Brazil",2020-02-12,1883,2211,2539,110,0,0,"0","0"
"Brazil",2020-02-13,1979,2323,2667,116,0,0,"0","0"
"Brazil",2020-02-14,2078,2440,2802,122,0,0,"0","0"
"Brazil",2020-02-15,2184,2564,2944,128,0,0,"0","0"
"Brazil",2020-02-16,2294,2693,3092,134,0,0,"0","0"
"Brazil",2020-02-17,2410,2829,3248,141,0,0,"0","0"
"Brazil",2020-02-18,2531,2972,3413,148,0,0,"0","0"
"Brazil",2020-02-19,2659,3122,3585,156,0,0,"0","0"
"Brazil",2020-02-20,2794,3280,3766,164,0,0,"0","0"
"Brazil",2020-02-21,2935,3446,3957,172,0,0,"0","0"
"Brazil",2020-02-22,3083,3620,4157,181,0,0,"0","0"
"Brazil",2020-02-23,3239,3803,4367,190,0,0,"0","0"
"Brazil",2020-02-24,3403,3995,4587,200,0,0,"0","0"
"Brazil",2020-02-25,3575,4197,4819,210,1,0,"0","0"
"Brazil",2020-02-26,3755,4409,5063,220,1,0,"0","0"
"Brazil",2020-02-27,3945,4632,5319,231,1,0,"0","0"
"Brazil",2020-02-28,4145,4866,5587,243,1,0,"0","0"
"Brazil",2020-02-29,4354,5112,5870,255,2,0,"0","0"
"Brazil",2020-03-01,4574,5370,6166,268,2,0,"0","0"
"Brazil",2020-03-02,4806,5642,6478,282,2,0,"0","0"
"Brazil",2020-03-03,5048,5927,6806,296,2,0,"0","0"
