"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Iran",2019-12-30,855,1308,1761,83,0,0,"32.427908","53.688046"
"Iran",2019-12-31,887,1356,1825,86,0,0,"32.427908","53.688046"
"Iran",2020-01-01,920,1406,1892,90,0,0,"32.427908","53.688046"
"Iran",2020-01-02,954,1458,1962,93,0,0,"32.427908","53.688046"
"Iran",2020-01-03,989,1512,2035,96,0,0,"32.427908","53.688046"
"Iran",2020-01-04,1025,1568,2111,100,0,0,"32.427908","53.688046"
"Iran",2020-01-05,1063,1625,2187,103,0,0,"32.427908","53.688046"
"Iran",2020-01-06,1102,1685,2268,107,0,0,"32.427908","53.688046"
"Iran",2020-01-07,1143,1747,2351,111,0,0,"32.427908","53.688046"
"Iran",2020-01-08,1185,1812,2439,115,0,0,"32.427908","53.688046"
"Iran",2020-01-09,1228,1878,2528,120,0,0,"32.427908","53.688046"
"Iran",2020-01-10,1273,1947,2621,124,0,0,"32.427908","53.688046"
"Iran",2020-01-11,1320,2019,2718,129,0,0,"32.427908","53.688046"
"Iran",2020-01-12,1369,2094,2819,133,0,0,"32.427908","53.688046"
"Iran",2020-01-13,1420,2171,2922,138,0,0,"32.427908","53.688046"
"Iran",2020-01-14,1472,2251,3030,143,0,0,"32.427908","53.688046"
"Iran",2020-01-15,1526,2334,3142,149,0,0,"32.427908","53.688046"
"Iran",2020-01-16,1583,2420,3257,154,0,0,"32.427908","53.688046"
"Iran",2020-01-17,1641,2509,3377,160,0,0,"32.427908","53.688046"
"Iran",2020-01-18,1701,2601,3501,166,0,0,"32.427908","53.688046"
"Iran",2020-01-19,1764,2697,3630,172,0,0,"32.427908","53.688046"
"Iran",2020-01-20,1829,2796,3763,178,0,0,"32.427908","53.688046"
"Iran",2020-01-21,1896,2899,3902,185,0,0,"32.427908","53.688046"
"Iran",2020-01-22,1966,3006,4046,191,0,0,"32.427908","53.688046"
"Iran",2020-01-23,2038,3117,4196,198,0,0,"32.427908","53.688046"
"Iran",2020-01-24,2114,3232,4350,206,0,0,"32.427908","53.688046"
"Iran",2020-01-25,2191,3351,4511,213,0,0,"32.427908","53.688046"
"Iran",2020-01-26,2272,3474,4676,221,0,0,"32.427908","53.688046"
"Iran",2020-01-27,2356,3602,4848,229,0,0,"32.427908","53.688046"
"Iran",2020-01-28,2443,3735,5027,238,0,0,"32.427908","53.688046"
"Iran",2020-01-29,2532,3872,5212,247,0,0,"32.427908","53.688046"
"Iran",2020-01-30,2626,4015,5404,256,0,0,"32.427908","53.688046"
"Iran",2020-01-31,2723,4163,5603,265,0,0,"32.427908","53.688046"
"Iran",2020-02-01,2823,4316,5809,275,0,0,"32.427908","53.688046"
"Iran",2020-02-02,2927,4475,6023,285,0,0,"32.427908","53.688046"
"Iran",2020-02-03,3034,4640,6246,295,0,0,"32.427908","53.688046"
"Iran",2020-02-04,3146,4811,6476,306,0,0,"32.427908","53.688046"
"Iran",2020-02-05,3262,4988,6714,318,0,0,"32.427908","53.688046"
"Iran",2020-02-06,3382,5172,6962,329,0,0,"32.427908","53.688046"
"Iran",2020-02-07,3507,5362,7217,341,0,0,"32.427908","53.688046"
"Iran",2020-02-08,3636,5560,7484,354,0,0,"32.427908","53.688046"
"Iran",2020-02-09,3770,5765,7760,367,0,0,"32.427908","53.688046"
"Iran",2020-02-10,3909,5977,8045,381,0,0,"32.427908","53.688046"
"Iran",2020-02-11,4053,6197,8341,395,0,0,"32.427908","53.688046"
"Iran",2020-02-12,4202,6425,8648,409,0,0,"32.427908","53.688046"
"Iran",2020-02-13,4357,6662,8967,424,0,0,"32.427908","53.688046"
"Iran",2020-02-14,4517,6907,9297,440,0,0,"32.427908","53.688046"
"Iran",2020-02-15,4684,7162,9640,456,0,0,"32.427908","53.688046"
"Iran",2020-02-16,4856,7426,9996,473,0,0,"32.427908","53.688046"
"Iran",2020-02-17,5035,7699,10363,490,0,0,"32.427908","53.688046"
"Iran",2020-02-18,5221,7983,10745,508,0,2,"32.427908","53.688046"
"Iran",2020-02-19,5413,8277,11141,527,2,2,"32.427908","53.688046"
"Iran",2020-02-20,5612,8582,11552,546,5,4,"32.427908","53.688046"
"Iran",2020-02-21,5819,8898,11977,567,18,5,"32.427908","53.688046"
"Iran",2020-02-22,6034,9226,12418,587,28,8,"32.427908","53.688046"
"Iran",2020-02-23,6256,9566,12876,609,43,12,"32.427908","53.688046"
"Iran",2020-02-24,6486,9918,13350,631,61,15,"32.427908","53.688046"
"Iran",2020-02-25,6725,10283,13841,655,95,19,"32.427908","53.688046"
"Iran",2020-02-26,6973,10662,14351,679,139,26,"32.427908","53.688046"
"Iran",2020-02-27,7230,11055,14880,704,245,34,"32.427908","53.688046"
"Iran",2020-02-28,7496,11462,15428,730,388,43,"32.427908","53.688046"
"Iran",2020-02-29,7772,11884,15996,757,593,54,"32.427908","53.688046"
"Iran",2020-03-01,8058,12322,16586,785,978,66,"32.427908","53.688046"
"Iran",2020-03-02,8355,12776,17197,813,1501,77,"32.427908","53.688046"
"Iran",2020-03-03,8663,13246,17829,843,2336,92,"32.427908","53.688046"
"Iran",2020-03-04,8982,13734,18486,874,2922,107,"32.427908","53.688046"
"Iran",2020-03-05,9313,14240,19167,907,3513,124,"32.427908","53.688046"
"Iran",2020-03-06,9656,14765,19874,940,4747,145,"32.427908","53.688046"
"Iran",2020-03-07,10012,15309,20606,975,5823,194,"32.427908","53.688046"
"Iran",2020-03-08,10381,15873,21365,1011,6566,237,"32.427908","53.688046"
"Iran",2020-03-09,10763,16457,22151,1048,7161,291,"32.427908","53.688046"
"Iran",2020-03-10,11159,17063,22967,1086,8042,354,"32.427908","53.688046"
"Iran",2020-03-11,11570,17692,23814,1126,9000,429,"32.427908","53.688046"
"Iran",2020-03-12,11997,18344,24691,1168,10075,514,"32.427908","53.688046"
"Iran",2020-03-13,12438,19019,25600,1211,11364,611,"32.427908","53.688046"
"Iran",2020-03-14,12897,19720,26543,1256,12729,724,"32.427908","53.688046"
"Iran",2020-03-15,13371,20446,27521,1302,13938,853,"32.427908","53.688046"
"Iran",2020-03-16,13864,21200,28536,1350,14991,988,"32.427908","53.688046"
"Iran",2020-03-17,14375,21980,29585,1399,16169,1135,"32.427908","53.688046"
"Iran",2020-03-18,14904,22790,30676,1451,17361,1284,"32.427908","53.688046"
"Iran",2020-03-19,15454,23630,31806,1505,18407,1433,"32.427908","53.688046"
"Iran",2020-03-20,16023,24500,32977,1560,19644,1556,"32.427908","53.688046"
