"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"United.Kingdom",2019-12-30,210,312,414,47,0,0,"55.378051","0"
"United.Kingdom",2019-12-31,220,328,436,49,0,0,"55.378051","0"
"United.Kingdom",2020-01-01,232,346,460,52,0,0,"55.378051","0"
"United.Kingdom",2020-01-02,244,364,484,55,0,0,"55.378051","0"
"United.Kingdom",2020-01-03,258,384,510,58,0,0,"55.378051","0"
"United.Kingdom",2020-01-04,271,404,537,61,0,0,"55.378051","0"
"United.Kingdom",2020-01-05,286,426,566,64,0,0,"55.378051","0"
"United.Kingdom",2020-01-06,301,448,595,68,0,0,"55.378051","0"
"United.Kingdom",2020-01-07,317,472,627,71,0,0,"55.378051","0"
"United.Kingdom",2020-01-08,334,497,660,75,0,0,"55.378051","0"
"United.Kingdom",2020-01-09,352,524,696,79,0,0,"55.378051","0"
"United.Kingdom",2020-01-10,371,552,733,83,0,0,"55.378051","0"
"United.Kingdom",2020-01-11,390,581,772,88,0,0,"55.378051","0"
"United.Kingdom",2020-01-12,411,612,813,92,0,0,"55.378051","0"
"United.Kingdom",2020-01-13,433,645,857,97,0,0,"55.378051","0"
"United.Kingdom",2020-01-14,456,679,902,102,0,0,"55.378051","0"
"United.Kingdom",2020-01-15,480,715,950,108,0,0,"55.378051","0"
"United.Kingdom",2020-01-16,506,753,1000,114,0,0,"55.378051","0"
"United.Kingdom",2020-01-17,533,793,1053,120,0,0,"55.378051","0"
"United.Kingdom",2020-01-18,561,835,1109,126,0,0,"55.378051","0"
"United.Kingdom",2020-01-19,591,880,1169,133,0,0,"55.378051","0"
"United.Kingdom",2020-01-20,623,927,1231,140,0,0,"55.378051","0"
"United.Kingdom",2020-01-21,656,976,1296,147,0,0,"55.378051","0"
"United.Kingdom",2020-01-22,690,1028,1366,155,0,0,"55.378051","0"
"United.Kingdom",2020-01-23,727,1083,1439,163,0,0,"55.378051","0"
"United.Kingdom",2020-01-24,766,1140,1514,172,0,0,"55.378051","0"
"United.Kingdom",2020-01-25,807,1201,1595,181,0,0,"55.378051","0"
"United.Kingdom",2020-01-26,850,1265,1680,191,0,0,"55.378051","0"
"United.Kingdom",2020-01-27,895,1332,1769,201,0,0,"55.378051","0"
"United.Kingdom",2020-01-28,942,1403,1864,212,0,0,"55.378051","0"
"United.Kingdom",2020-01-29,993,1478,1963,223,0,0,"55.378051","0"
"United.Kingdom",2020-01-30,1045,1556,2067,235,2,0,"55.378051","0"
"United.Kingdom",2020-01-31,1101,1639,2177,247,2,0,"55.378051","0"
"United.Kingdom",2020-02-01,1159,1726,2293,260,2,0,"55.378051","0"
"United.Kingdom",2020-02-02,1221,1818,2415,274,2,0,"55.378051","0"
"United.Kingdom",2020-02-03,1286,1915,2544,289,2,0,"55.378051","0"
"United.Kingdom",2020-02-04,1355,2017,2679,304,2,0,"55.378051","0"
"United.Kingdom",2020-02-05,1427,2124,2821,320,2,0,"55.378051","0"
"United.Kingdom",2020-02-06,1503,2237,2971,337,3,0,"55.378051","0"
"United.Kingdom",2020-02-07,1583,2357,3131,355,3,0,"55.378051","0"
"United.Kingdom",2020-02-08,1667,2482,3297,374,4,0,"55.378051","0"
"United.Kingdom",2020-02-09,1756,2614,3472,394,4,0,"55.378051","0"
"United.Kingdom",2020-02-10,1849,2753,3657,415,8,0,"55.378051","0"
"United.Kingdom",2020-02-11,1948,2900,3852,437,8,0,"55.378051","0"
"United.Kingdom",2020-02-12,2051,3054,4057,460,9,0,"55.378051","0"
"United.Kingdom",2020-02-13,2161,3217,4273,485,9,0,"55.378051","0"
"United.Kingdom",2020-02-14,2276,3388,4500,511,9,0,"55.378051","0"
"United.Kingdom",2020-02-15,2397,3568,4739,538,9,0,"55.378051","0"
"United.Kingdom",2020-02-16,2524,3758,4992,567,9,0,"55.378051","0"
"United.Kingdom",2020-02-17,2659,3958,5257,597,9,0,"55.378051","0"
"United.Kingdom",2020-02-18,2800,4169,5538,629,9,0,"55.378051","0"
"United.Kingdom",2020-02-19,2949,4391,5833,662,9,0,"55.378051","0"
"United.Kingdom",2020-02-20,3106,4624,6142,697,9,0,"55.378051","0"
"United.Kingdom",2020-02-21,3271,4870,6469,734,9,0,"55.378051","0"
"United.Kingdom",2020-02-22,3446,5130,6814,773,9,0,"55.378051","0"
"United.Kingdom",2020-02-23,3629,5403,7177,815,13,0,"55.378051","0"
"United.Kingdom",2020-02-24,3822,5690,7558,858,13,0,"55.378051","0"
"United.Kingdom",2020-02-25,4025,5993,7961,904,13,0,"55.378051","0"
"United.Kingdom",2020-02-26,4240,6312,8384,952,13,0,"55.378051","0"
"United.Kingdom",2020-02-27,4465,6648,8831,1002,16,0,"55.378051","0"
"United.Kingdom",2020-02-28,4703,7002,9301,1056,18,0,"55.378051","0"
"United.Kingdom",2020-02-29,4954,7375,9796,1112,23,0,"55.378051","0"
"United.Kingdom",2020-03-01,5217,7767,10317,1171,36,0,"55.378051","0"
"United.Kingdom",2020-03-02,5495,8181,10867,1233,40,0,"55.378051","0"
"United.Kingdom",2020-03-03,5787,8616,11445,1299,51,0,"55.378051","0"
"United.Kingdom",2020-03-04,6096,9075,12054,1368,85,0,"55.378051","0"
"United.Kingdom",2020-03-05,6420,9558,12696,1441,115,1,"55.378051","0"
"United.Kingdom",2020-03-06,6761,10066,13371,1518,163,2,"55.378051","0"
"United.Kingdom",2020-03-07,7121,10602,14083,1598,206,2,"55.378051","0"
"United.Kingdom",2020-03-08,7500,11166,14832,1683,273,3,"55.378051","0"
"United.Kingdom",2020-03-09,7900,11761,15622,1773,321,7,"55.378051","0"
"United.Kingdom",2020-03-10,8320,12387,16454,1868,373,7,"55.378051","0"
"United.Kingdom",2020-03-11,8763,13046,17329,1967,456,9,"55.378051","0"
"United.Kingdom",2020-03-12,9229,13740,18251,2072,590,10,"55.378051","0"
"United.Kingdom",2020-03-13,9720,14471,19222,2182,707,28,"55.378051","0"
"United.Kingdom",2020-03-14,10238,15242,20246,2298,1140,43,"55.378051","0"
"United.Kingdom",2020-03-15,10783,16053,21323,2420,1391,65,"55.378051","0"
"United.Kingdom",2020-03-16,11356,16907,22458,2549,1543,81,"55.378051","0"
"United.Kingdom",2020-03-17,11961,17807,23653,2685,1950,115,"55.378051","0"
"United.Kingdom",2020-03-18,12597,18755,24913,2828,2630,158,"55.378051","0"
"United.Kingdom",2020-03-19,13268,19753,26238,2978,3277,194,"55.378051","0"
"United.Kingdom",2020-03-20,13974,20805,27636,3137,3983,250,"55.378051","0"
"United.Kingdom",2020-03-21,14718,21912,29106,3304,5018,285,"55.378051","0"
"United.Kingdom",2020-03-22,15501,23078,30655,3479,5683,359,"55.378051","0"
"United.Kingdom",2020-03-23,16327,24307,32287,3665,6650,508,"55.378051","0"
"United.Kingdom",2020-03-24,17195,25600,34005,3860,8077,694,"55.378051","0"
"United.Kingdom",2020-03-25,18111,26963,35815,4065,9529,877,"55.378051","0"
"United.Kingdom",2020-03-26,19074,28398,37722,4282,11658,1161,"55.378051","0"
"United.Kingdom",2020-03-27,20089,29909,39729,4509,14543,1455,"55.378051","0"
"United.Kingdom",2020-03-28,21159,31501,41843,4749,17089,1669,"55.378051","0"
"United.Kingdom",2020-03-29,22285,33178,44071,5002,19522,2043,"55.378051","0"
"United.Kingdom",2020-03-30,23471,34944,46417,5268,22141,2425,"55.378051","0"
"United.Kingdom",2020-03-31,24721,36804,48887,5549,25150,3095,"55.378051","0"
"United.Kingdom",2020-04-01,26036,38762,51488,5844,29474,3747,"55.378051","0"
"United.Kingdom",2020-04-02,27422,40826,54230,6155,33718,4461,"55.378051","0"
"United.Kingdom",2020-04-03,28881,42998,57115,6483,38168,5221,"55.378051","0"
"United.Kingdom",2020-04-04,30418,45287,60156,6828,41903,5865,"55.378051","0"
"United.Kingdom",2020-04-05,32037,47697,63357,7191,47806,6433,"55.378051","0"
"United.Kingdom",2020-04-06,33743,50236,66729,7574,51608,7471,"55.378051","0"
"United.Kingdom",2020-04-07,35539,52910,70281,7977,55242,8505,"55.378051","0"
"United.Kingdom",2020-04-08,37430,55726,74022,8402,60733,9608,"55.378051","0"
"United.Kingdom",2020-04-09,39422,58692,77962,8849,65077,10760,"55.378051","0"
"United.Kingdom",2020-04-10,41521,61816,82111,9320,70272,11599,"55.378051","0"
"United.Kingdom",2020-04-11,43731,65106,86481,9816,78991,12285,"55.378051","0"
"United.Kingdom",2020-04-12,46058,68571,91084,10338,84279,13029,"55.378051","0"
"United.Kingdom",2020-04-13,48510,72221,95932,10889,88621,14073,"55.378051","0"
"United.Kingdom",2020-04-14,51091,76065,101039,11468,93873,14915,"55.378051","0"
"United.Kingdom",2020-04-15,53810,80113,106416,12078,98476,15944,"55.378051","0"
"United.Kingdom",2020-04-16,56675,84377,112079,12721,103093,16879,"55.378051","0"
"United.Kingdom",2020-04-17,59691,88868,118045,13398,108692,17994,"55.378051","0"
"United.Kingdom",2020-04-18,62868,93598,124328,14112,114217,18492,"55.378051","0"
"United.Kingdom",2020-04-19,66214,98580,130946,14863,120067,19051,"55.378051","0"
"United.Kingdom",2020-04-20,69739,103827,137915,15654,124743,20223,"55.378051","0"
"United.Kingdom",2020-04-21,73450,109353,145256,16487,129044,21060,"55.378051","0"
"United.Kingdom",2020-04-22,77360,115173,152986,17364,133495,21787,"55.378051","0"
"United.Kingdom",2020-04-23,81477,121303,161129,18289,138078,22792,"55.378051","0"
"United.Kingdom",2020-04-24,85813,127759,169705,19262,143464,23635,"55.378051","0"
"United.Kingdom",2020-04-25,90381,134559,178737,20287,148377,24055,"55.378051","0"
"United.Kingdom",2020-04-26,95191,141721,188251,21367,152840,24393,"55.378051","0"
"United.Kingdom",2020-04-27,100258,149264,198270,22504,157149,25302,"55.378051","0"
"United.Kingdom",2020-04-28,105594,157209,208824,23702,161145,26097,"55.378051","0"
"United.Kingdom",2020-04-29,111214,165576,219938,24964,165221,26771,"55.378051","0"
"United.Kingdom",2020-04-30,117134,174389,231644,26292,171253,27510,"55.378051","0"
"United.Kingdom",2020-05-01,123369,183671,243973,27692,177454,28131,"55.378051","0"
"United.Kingdom",2020-05-02,129934,193446,256958,29165,182260,28446,"55.378051","0"
"United.Kingdom",2020-05-03,136850,203742,270634,30718,186599,28734,"55.378051","0"
"United.Kingdom",2020-05-04,144134,214586,285038,32353,190584,28734,"55.378051","0"
"United.Kingdom",2020-05-05,151806,226008,300210,34075,190584,28734,"55.378051","0"
"United.Kingdom",2020-05-06,159885,238037,316189,35888,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-07,168395,250706,333017,37798,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-08,177358,264050,350742,39810,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-09,186797,278104,369411,41929,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-10,196740,292906,389072,44161,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-11,207211,308496,409781,46511,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-12,218240,324915,431590,48987,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-13,229856,342209,454562,51594,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-14,242089,360422,478755,54340,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-15,254975,379606,504237,57233,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-16,268545,399810,531075,60279,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-17,282839,421090,559341,63487,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-18,297892,443502,589112,66866,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-19,313747,467107,620467,70425,NA,NA,"55.378051","0"
"United.Kingdom",2020-05-20,330447,491969,653491,74173,NA,NA,"55.378051","0"
