"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"United.States",2019-12-30,35895,52200,68505,2720,0,0,"37.09024","0"
"United.States",2019-12-31,36718,53396,70074,2782,0,0,"37.09024","0"
"United.States",2020-01-01,37559,54619,71679,2846,0,0,"37.09024","0"
"United.States",2020-01-02,38419,55870,73321,2911,0,0,"37.09024","0"
"United.States",2020-01-03,39299,57150,75001,2978,0,0,"37.09024","0"
"United.States",2020-01-04,40199,58459,76719,3046,0,0,"37.09024","0"
"United.States",2020-01-05,41120,59798,78476,3116,0,0,"37.09024","0"
"United.States",2020-01-06,42062,61168,80274,3187,0,0,"37.09024","0"
"United.States",2020-01-07,43025,62569,82113,3260,0,0,"37.09024","0"
"United.States",2020-01-08,44011,64003,83995,3335,0,0,"37.09024","0"
"United.States",2020-01-09,45020,65469,85918,3411,0,0,"37.09024","0"
"United.States",2020-01-10,46051,66969,87887,3489,0,0,"37.09024","0"
"United.States",2020-01-11,47106,68503,89900,3569,0,0,"37.09024","0"
"United.States",2020-01-12,48185,70072,91959,3651,0,0,"37.09024","0"
"United.States",2020-01-13,49288,71677,94066,3734,0,0,"37.09024","0"
"United.States",2020-01-14,50418,73319,96220,3820,0,0,"37.09024","0"
"United.States",2020-01-15,51573,74999,98425,3908,0,0,"37.09024","0"
"United.States",2020-01-16,52754,76717,100680,3997,0,0,"37.09024","0"
"United.States",2020-01-17,53962,78474,102986,4089,0,0,"37.09024","0"
"United.States",2020-01-18,55199,80272,105345,4182,0,0,"37.09024","0"
"United.States",2020-01-19,56463,82111,107759,4278,0,0,"37.09024","0"
"United.States",2020-01-20,57756,83991,110226,4376,1,0,"37.09024","0"
"United.States",2020-01-21,59080,85916,112752,4476,1,0,"37.09024","0"
"United.States",2020-01-22,60433,87884,115335,4579,1,0,"37.09024","0"
"United.States",2020-01-23,61817,89897,117977,4684,1,0,"37.09024","0"
"United.States",2020-01-24,63233,91956,120679,4791,2,0,"37.09024","0"
"United.States",2020-01-25,64682,94063,123444,4901,2,0,"37.09024","0"
"United.States",2020-01-26,66163,96217,126271,5013,5,0,"37.09024","0"
"United.States",2020-01-27,67680,98422,129164,5128,5,0,"37.09024","0"
"United.States",2020-01-28,69230,100676,132122,5245,5,0,"37.09024","0"
"United.States",2020-01-29,70815,102982,135149,5366,5,0,"37.09024","0"
