"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Brazil",2019-12-30,11,11,11,1,0,0,"0","0"
"Brazil",2019-12-31,12,12,12,1,0,0,"0","0"
"Brazil",2020-01-01,13,13,13,1,0,0,"0","0"
"Brazil",2020-01-02,14,14,14,1,0,0,"0","0"
"Brazil",2020-01-03,14,15,16,1,0,0,"0","0"
"Brazil",2020-01-04,16,17,18,1,0,0,"0","0"
"Brazil",2020-01-05,17,18,19,1,0,0,"0","0"
"Brazil",2020-01-06,18,19,20,1,0,0,"0","0"
"Brazil",2020-01-07,20,21,22,1,0,0,"0","0"
"Brazil",2020-01-08,21,22,23,1,0,0,"0","0"
"Brazil",2020-01-09,23,24,25,1,0,0,"0","0"
"Brazil",2020-01-10,25,26,27,1,0,0,"0","0"
"Brazil",2020-01-11,27,28,29,2,0,0,"0","0"
"Brazil",2020-01-12,29,30,31,2,0,0,"0","0"
"Brazil",2020-01-13,31,32,33,2,0,0,"0","0"
"Brazil",2020-01-14,33,34,35,2,0,0,"0","0"
"Brazil",2020-01-15,36,37,38,2,0,0,"0","0"
"Brazil",2020-01-16,39,40,41,2,0,0,"0","0"
"Brazil",2020-01-17,41,43,45,2,0,0,"0","0"
"Brazil",2020-01-18,44,46,48,2,0,0,"0","0"
"Brazil",2020-01-19,48,50,52,3,0,0,"0","0"
"Brazil",2020-01-20,51,53,55,3,0,0,"0","0"
"Brazil",2020-01-21,55,57,59,3,0,0,"0","0"
"Brazil",2020-01-22,60,62,64,3,0,0,"0","0"
"Brazil",2020-01-23,64,66,68,4,0,0,"0","0"
"Brazil",2020-01-24,69,71,73,4,0,0,"0","0"
"Brazil",2020-01-25,74,77,80,4,0,0,"0","0"
"Brazil",2020-01-26,80,83,86,4,0,0,"0","0"
"Brazil",2020-01-27,86,89,92,5,0,0,"0","0"
"Brazil",2020-01-28,93,96,99,5,0,0,"0","0"
"Brazil",2020-01-29,99,103,107,6,0,0,"0","0"
"Brazil",2020-01-30,107,111,115,6,0,0,"0","0"
"Brazil",2020-01-31,115,119,123,6,0,0,"0","0"
"Brazil",2020-02-01,123,128,133,7,0,0,"0","0"
"Brazil",2020-02-02,133,138,143,7,0,0,"0","0"
"Brazil",2020-02-03,144,149,154,8,0,0,"0","0"
"Brazil",2020-02-04,154,160,166,9,0,0,"0","0"
"Brazil",2020-02-05,166,172,178,9,0,0,"0","0"
"Brazil",2020-02-06,178,185,192,10,0,0,"0","0"
"Brazil",2020-02-07,192,199,206,11,0,0,"0","0"
"Brazil",2020-02-08,206,214,222,12,0,0,"0","0"
"Brazil",2020-02-09,223,231,239,12,0,0,"0","0"
"Brazil",2020-02-10,239,248,257,13,0,0,"0","0"
"Brazil",2020-02-11,258,267,276,14,0,0,"0","0"
"Brazil",2020-02-12,277,287,297,15,0,0,"0","0"
"Brazil",2020-02-13,298,309,320,17,0,0,"0","0"
"Brazil",2020-02-14,321,333,345,18,0,0,"0","0"
"Brazil",2020-02-15,345,358,371,19,0,0,"0","0"
"Brazil",2020-02-16,371,385,399,21,0,0,"0","0"
"Brazil",2020-02-17,400,415,430,22,0,0,"0","0"
"Brazil",2020-02-18,430,446,462,24,0,0,"0","0"
"Brazil",2020-02-19,463,480,497,26,0,0,"0","0"
"Brazil",2020-02-20,498,516,534,28,0,0,"0","0"
"Brazil",2020-02-21,536,556,576,30,0,0,"0","0"
"Brazil",2020-02-22,577,598,619,32,0,0,"0","0"
"Brazil",2020-02-23,620,643,666,35,0,0,"0","0"
"Brazil",2020-02-24,668,692,716,37,0,0,"0","0"
"Brazil",2020-02-25,719,745,771,40,1,0,"0","0"
"Brazil",2020-02-26,773,801,829,43,1,0,"0","0"
"Brazil",2020-02-27,832,862,892,46,1,0,"0","0"
"Brazil",2020-02-28,895,928,961,50,1,0,"0","0"
"Brazil",2020-02-29,963,998,1033,54,2,0,"0","0"
"Brazil",2020-03-01,1036,1074,1112,58,2,0,"0","0"
"Brazil",2020-03-02,1114,1155,1196,62,2,0,"0","0"
"Brazil",2020-03-03,1199,1243,1287,67,2,0,"0","0"
"Brazil",2020-03-04,1291,1338,1385,72,3,0,"0","0"
"Brazil",2020-03-05,1388,1439,1490,78,8,0,"0","0"
"Brazil",2020-03-06,1494,1548,1602,83,13,0,"0","0"
"Brazil",2020-03-07,1607,1666,1725,90,13,0,"0","0"
"Brazil",2020-03-08,1729,1792,1855,97,25,0,"0","0"
"Brazil",2020-03-09,1860,1928,1996,104,25,0,"0","0"
"Brazil",2020-03-10,2002,2075,2148,112,34,0,"0","0"
"Brazil",2020-03-11,2153,2232,2311,120,52,0,"0","0"
"Brazil",2020-03-12,2317,2401,2485,129,77,0,"0","0"
"Brazil",2020-03-13,2493,2584,2675,139,98,0,"0","0"
"Brazil",2020-03-14,2681,2779,2877,150,121,0,"0","0"
"Brazil",2020-03-15,2885,2990,3095,161,200,0,"0","0"
"Brazil",2020-03-16,3104,3217,3330,173,234,1,"0","0"
"Brazil",2020-03-17,3339,3461,3583,187,291,4,"0","0"
"Brazil",2020-03-18,3592,3723,3854,201,428,6,"0","0"
"Brazil",2020-03-19,3864,4005,4146,216,621,11,"0","0"
"Brazil",2020-03-20,4156,4308,4460,232,904,18,"0","0"
"Brazil",2020-03-21,4472,4635,4798,250,1128,25,"0","0"
"Brazil",2020-03-22,4811,4986,5161,269,1546,34,"0","0"
"Brazil",2020-03-23,5174,5363,5552,289,1891,46,"0","0"
"Brazil",2020-03-24,5566,5769,5972,311,2201,57,"0","0"
"Brazil",2020-03-25,5987,6205,6423,335,2433,77,"0","0"
"Brazil",2020-03-26,6439,6674,6909,360,2915,92,"0","0"
"Brazil",2020-03-27,6926,7179,7432,387,3417,114,"0","0"
"Brazil",2020-03-28,7449,7721,7993,416,3904,136,"0","0"
"Brazil",2020-03-29,8012,8304,8596,448,4256,159,"0","0"
"Brazil",2020-03-30,8617,8931,9245,482,4579,201,"0","0"
"Brazil",2020-03-31,9266,9604,9942,518,5717,241,"0","0"
"Brazil",2020-04-01,9965,10328,10691,557,6836,299,"0","0"
"Brazil",2020-04-02,10716,11107,11498,599,7910,359,"0","0"
"Brazil",2020-04-03,11523,11943,12363,644,9056,432,"0","0"
"Brazil",2020-04-04,12389,12841,13293,692,10278,486,"0","0"
"Brazil",2020-04-05,13321,13807,14293,745,11130,553,"0","0"
"Brazil",2020-04-06,14322,14844,15366,800,12056,667,"0","0"
"Brazil",2020-04-07,15397,15958,16519,860,13717,800,"0","0"
"Brazil",2020-04-08,16551,17155,17759,925,15927,941,"0","0"
"Brazil",2020-04-09,17791,18440,19089,994,17857,1056,"0","0"
"Brazil",2020-04-10,19123,19820,20517,1069,19638,1124,"0","0"
"Brazil",2020-04-11,20552,21301,22050,1149,20727,1223,"0","0"
"Brazil",2020-04-12,22086,22891,23696,1234,22169,1328,"0","0"
"Brazil",2020-04-13,23733,24598,25463,1326,23430,1532,"0","0"
"Brazil",2020-04-14,25499,26429,27359,1425,25262,1736,"0","0"
"Brazil",2020-04-15,27394,28393,29392,1531,28320,1924,"0","0"
"Brazil",2020-04-16,29427,30500,31573,1645,30425,2141,"0","0"
"Brazil",2020-04-17,31607,32759,33911,1766,33682,2347,"0","0"
"Brazil",2020-04-18,33942,35180,36418,1897,36599,2462,"0","0"
"Brazil",2020-04-19,36446,37775,39104,2037,38654,2575,"0","0"
"Brazil",2020-04-20,39128,40555,41982,2187,40581,2741,"0","0"
"Brazil",2020-04-21,42001,43533,45065,2347,43079,2906,"0","0"
"Brazil",2020-04-22,45077,46721,48365,2519,45757,3313,"0","0"
"Brazil",2020-04-23,48369,50133,51897,2703,49492,3670,"0","0"
"Brazil",2020-04-24,51892,53784,55676,2900,52995,4016,"0","0"
