"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"France",2019-12-30,0,0,0,0,0,0,"46.227638","2.213749"
"France",2019-12-31,0,0,0,0,0,0,"46.227638","2.213749"
"France",2020-01-01,1,1,1,0,0,0,"46.227638","2.213749"
"France",2020-01-02,1,1,1,0,0,0,"46.227638","2.213749"
"France",2020-01-03,1,1,1,0,0,0,"46.227638","2.213749"
"France",2020-01-04,1,1,1,0,0,0,"46.227638","2.213749"
"France",2020-01-05,1,1,1,0,0,0,"46.227638","2.213749"
"France",2020-01-06,1,1,1,0,0,0,"46.227638","2.213749"
"France",2020-01-07,1,1,1,0,0,0,"46.227638","2.213749"
"France",2020-01-08,1,1,1,0,0,0,"46.227638","2.213749"
"France",2020-01-09,1,1,1,0,0,0,"46.227638","2.213749"
"France",2020-01-10,2,2,2,0,0,0,"46.227638","2.213749"
"France",2020-01-11,2,2,2,0,0,0,"46.227638","2.213749"
"France",2020-01-12,2,2,2,0,0,0,"46.227638","2.213749"
"France",2020-01-13,3,3,3,0,0,0,"46.227638","2.213749"
"France",2020-01-14,3,3,3,0,0,0,"46.227638","2.213749"
"France",2020-01-15,3,3,3,0,0,0,"46.227638","2.213749"
"France",2020-01-16,3,4,5,1,0,0,"46.227638","2.213749"
"France",2020-01-17,3,4,5,1,0,0,"46.227638","2.213749"
"France",2020-01-18,4,5,6,1,0,0,"46.227638","2.213749"
"France",2020-01-19,5,6,7,1,0,0,"46.227638","2.213749"
"France",2020-01-20,5,6,7,1,0,0,"46.227638","2.213749"
"France",2020-01-21,6,7,8,1,0,0,"46.227638","2.213749"
"France",2020-01-22,7,8,9,1,0,0,"46.227638","2.213749"
"France",2020-01-23,8,9,10,1,0,0,"46.227638","2.213749"
"France",2020-01-24,10,11,12,2,3,0,"46.227638","2.213749"
"France",2020-01-25,10,12,14,2,3,0,"46.227638","2.213749"
"France",2020-01-26,12,14,16,2,3,0,"46.227638","2.213749"
"France",2020-01-27,14,16,18,2,3,0,"46.227638","2.213749"
"France",2020-01-28,16,18,20,3,4,0,"46.227638","2.213749"
"France",2020-01-29,18,21,24,3,5,0,"46.227638","2.213749"
"France",2020-01-30,20,23,26,3,6,0,"46.227638","2.213749"
"France",2020-01-31,23,27,31,4,6,0,"46.227638","2.213749"
"France",2020-02-01,27,31,35,5,6,0,"46.227638","2.213749"
"France",2020-02-02,30,35,40,5,6,0,"46.227638","2.213749"
"France",2020-02-03,35,40,45,6,6,0,"46.227638","2.213749"
"France",2020-02-04,39,45,51,7,6,0,"46.227638","2.213749"
"France",2020-02-05,45,52,59,8,6,0,"46.227638","2.213749"
"France",2020-02-06,51,59,67,9,6,0,"46.227638","2.213749"
"France",2020-02-07,58,67,76,10,11,0,"46.227638","2.213749"
"France",2020-02-08,67,77,87,11,11,0,"46.227638","2.213749"
"France",2020-02-09,76,88,100,13,11,0,"46.227638","2.213749"
"France",2020-02-10,87,100,113,15,11,0,"46.227638","2.213749"
"France",2020-02-11,99,114,129,17,11,0,"46.227638","2.213749"
"France",2020-02-12,113,130,147,19,11,0,"46.227638","2.213749"
"France",2020-02-13,128,148,168,22,11,1,"46.227638","2.213749"
"France",2020-02-14,146,169,192,25,11,1,"46.227638","2.213749"
"France",2020-02-15,167,193,219,28,11,1,"46.227638","2.213749"
"France",2020-02-16,191,220,249,32,12,1,"46.227638","2.213749"
"France",2020-02-17,217,251,285,37,12,1,"46.227638","2.213749"
"France",2020-02-18,248,286,324,42,12,1,"46.227638","2.213749"
"France",2020-02-19,282,326,370,48,12,1,"46.227638","2.213749"
"France",2020-02-20,322,372,422,54,12,1,"46.227638","2.213749"
"France",2020-02-21,367,424,481,62,12,1,"46.227638","2.213749"
"France",2020-02-22,419,484,549,71,12,1,"46.227638","2.213749"
"France",2020-02-23,477,551,625,80,12,1,"46.227638","2.213749"
"France",2020-02-24,545,629,713,92,12,1,"46.227638","2.213749"
"France",2020-02-25,621,717,813,105,14,2,"46.227638","2.213749"
"France",2020-02-26,707,817,927,119,17,2,"46.227638","2.213749"
"France",2020-02-27,806,931,1056,136,38,2,"46.227638","2.213749"
"France",2020-02-28,919,1061,1203,155,57,2,"46.227638","2.213749"
"France",2020-02-29,1047,1209,1371,176,100,2,"46.227638","2.213749"
"France",2020-03-01,1193,1378,1563,201,130,3,"46.227638","2.213749"
"France",2020-03-02,1359,1569,1779,229,178,4,"46.227638","2.213749"
"France",2020-03-03,1547,1787,2027,261,212,4,"46.227638","2.213749"
"France",2020-03-04,1762,2035,2308,297,285,7,"46.227638","2.213749"
"France",2020-03-05,2006,2317,2628,338,423,9,"46.227638","2.213749"
"France",2020-03-06,2283,2637,2991,384,613,10,"46.227638","2.213749"
"France",2020-03-07,2597,2999,3401,437,716,19,"46.227638","2.213749"
"France",2020-03-08,2954,3411,3868,497,1126,30,"46.227638","2.213749"
