"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Italy",2019-12-30,24,26,28,4,0,0,"41.87194","12.56738"
"Italy",2019-12-31,27,29,31,4,0,0,"41.87194","12.56738"
"Italy",2020-01-01,29,31,33,4,0,0,"41.87194","12.56738"
"Italy",2020-01-02,33,35,37,5,0,0,"41.87194","12.56738"
"Italy",2020-01-03,36,38,40,5,0,0,"41.87194","12.56738"
"Italy",2020-01-04,39,42,45,6,0,0,"41.87194","12.56738"
"Italy",2020-01-05,43,46,49,7,0,0,"41.87194","12.56738"
"Italy",2020-01-06,48,51,54,7,0,0,"41.87194","12.56738"
"Italy",2020-01-07,53,56,59,8,0,0,"41.87194","12.56738"
"Italy",2020-01-08,57,61,65,9,0,0,"41.87194","12.56738"
"Italy",2020-01-09,63,67,71,10,0,0,"41.87194","12.56738"
"Italy",2020-01-10,69,74,79,11,0,0,"41.87194","12.56738"
"Italy",2020-01-11,77,82,87,12,0,0,"41.87194","12.56738"
"Italy",2020-01-12,85,90,95,13,0,0,"41.87194","12.56738"
"Italy",2020-01-13,93,99,105,14,0,0,"41.87194","12.56738"
"Italy",2020-01-14,102,109,116,16,0,0,"41.87194","12.56738"
"Italy",2020-01-15,112,119,126,17,0,0,"41.87194","12.56738"
"Italy",2020-01-16,123,131,139,19,0,0,"41.87194","12.56738"
"Italy",2020-01-17,136,145,154,21,0,0,"41.87194","12.56738"
"Italy",2020-01-18,149,159,169,23,0,0,"41.87194","12.56738"
"Italy",2020-01-19,164,175,186,25,0,0,"41.87194","12.56738"
"Italy",2020-01-20,180,192,204,27,0,0,"41.87194","12.56738"
"Italy",2020-01-21,199,212,225,30,0,0,"41.87194","12.56738"
"Italy",2020-01-22,219,233,247,33,0,0,"41.87194","12.56738"
"Italy",2020-01-23,240,256,272,37,0,0,"41.87194","12.56738"
"Italy",2020-01-24,265,282,299,40,0,0,"41.87194","12.56738"
"Italy",2020-01-25,291,310,329,44,0,0,"41.87194","12.56738"
"Italy",2020-01-26,320,341,362,49,0,0,"41.87194","12.56738"
"Italy",2020-01-27,352,375,398,54,0,0,"41.87194","12.56738"
"Italy",2020-01-28,388,413,438,59,0,0,"41.87194","12.56738"
"Italy",2020-01-29,426,454,482,65,0,0,"41.87194","12.56738"
"Italy",2020-01-30,469,499,529,71,3,0,"41.87194","12.56738"
"Italy",2020-01-31,516,549,582,79,3,0,"41.87194","12.56738"
"Italy",2020-02-01,567,604,641,86,3,0,"41.87194","12.56738"
"Italy",2020-02-02,624,664,704,95,3,0,"41.87194","12.56738"
"Italy",2020-02-03,686,731,776,105,3,0,"41.87194","12.56738"
"Italy",2020-02-04,755,804,853,115,3,0,"41.87194","12.56738"
"Italy",2020-02-05,830,884,938,126,3,0,"41.87194","12.56738"
"Italy",2020-02-06,913,972,1031,139,3,0,"41.87194","12.56738"
"Italy",2020-02-07,1004,1069,1134,153,3,0,"41.87194","12.56738"
"Italy",2020-02-08,1103,1175,1247,168,3,0,"41.87194","12.56738"
"Italy",2020-02-09,1213,1292,1371,185,3,0,"41.87194","12.56738"
"Italy",2020-02-10,1334,1421,1508,203,3,0,"41.87194","12.56738"
"Italy",2020-02-11,1468,1563,1658,224,3,0,"41.87194","12.56738"
"Italy",2020-02-12,1613,1718,1823,246,3,0,"41.87194","12.56738"
"Italy",2020-02-13,1774,1889,2004,270,3,0,"41.87194","12.56738"
"Italy",2020-02-14,1949,2076,2203,297,3,0,"41.87194","12.56738"
"Italy",2020-02-15,2143,2282,2421,326,3,0,"41.87194","12.56738"
"Italy",2020-02-16,2355,2508,2661,359,3,0,"41.87194","12.56738"
"Italy",2020-02-17,2588,2756,2924,394,3,0,"41.87194","12.56738"
"Italy",2020-02-18,2843,3028,3213,433,3,0,"41.87194","12.56738"
"Italy",2020-02-19,3124,3327,3530,476,3,0,"41.87194","12.56738"
"Italy",2020-02-20,3432,3655,3878,523,3,0,"41.87194","12.56738"
"Italy",2020-02-21,3770,4015,4260,574,17,2,"41.87194","12.56738"
"Italy",2020-02-22,4140,4409,4678,631,79,2,"41.87194","12.56738"
"Italy",2020-02-23,4547,4842,5137,693,132,6,"41.87194","12.56738"
"Italy",2020-02-24,4991,5315,5639,760,229,11,"41.87194","12.56738"
"Italy",2020-02-25,5478,5834,6190,835,322,12,"41.87194","12.56738"
"Italy",2020-02-26,6012,6402,6792,916,400,17,"41.87194","12.56738"
"Italy",2020-02-27,6595,7023,7451,1005,650,21,"41.87194","12.56738"
"Italy",2020-02-28,7234,7703,8172,1102,888,29,"41.87194","12.56738"
"Italy",2020-02-29,7931,8446,8961,1208,1128,35,"41.87194","12.56738"
"Italy",2020-03-01,8693,9257,9821,1324,1689,52,"41.87194","12.56738"
"Italy",2020-03-02,9525,10143,10761,1451,2036,80,"41.87194","12.56738"
"Italy",2020-03-03,10432,11109,11786,1589,2502,107,"41.87194","12.56738"
"Italy",2020-03-04,11421,12162,12903,1740,3089,148,"41.87194","12.56738"
"Italy",2020-03-05,12498,13309,14120,1904,3858,197,"41.87194","12.56738"
"Italy",2020-03-06,13669,14556,15443,2083,4636,233,"41.87194","12.56738"
"Italy",2020-03-07,14941,15911,16881,2276,5883,366,"41.87194","12.56738"
"Italy",2020-03-08,16324,17383,18442,2487,7375,464,"41.87194","12.56738"
"Italy",2020-03-09,17821,18978,20135,2715,9172,631,"41.87194","12.56738"
"Italy",2020-03-10,19443,20705,21967,2962,10149,827,"41.87194","12.56738"
"Italy",2020-03-11,21195,22571,23947,3229,12462,1016,"41.87194","12.56738"
"Italy",2020-03-12,23088,24586,26084,3518,15113,1268,"41.87194","12.56738"
"Italy",2020-03-13,25126,26757,28388,3828,17660,1441,"41.87194","12.56738"
"Italy",2020-03-14,27320,29093,30866,4162,21157,1811,"41.87194","12.56738"
"Italy",2020-03-15,29673,31599,33525,4521,23980,2158,"41.87194","12.56738"
"Italy",2020-03-16,32195,34284,36373,4905,27980,2505,"41.87194","12.56738"
"Italy",2020-03-17,34889,37153,39417,5316,31506,2978,"41.87194","12.56738"
"Italy",2020-03-18,37761,40212,42663,5753,35713,3407,"41.87194","12.56738"
"Italy",2020-03-19,40816,43465,46114,6219,41035,4032,"41.87194","12.56738"
"Italy",2020-03-20,44056,46915,49774,6712,47021,4827,"41.87194","12.56738"
"Italy",2020-03-21,47481,50562,53643,7234,53578,5476,"41.87194","12.56738"
"Italy",2020-03-22,51090,54406,57722,7784,59138,6077,"41.87194","12.56738"
"Italy",2020-03-23,54884,58446,62008,8362,63927,6820,"41.87194","12.56738"
"Italy",2020-03-24,58856,62675,66494,8967,69176,7505,"41.87194","12.56738"
"Italy",2020-03-25,63000,67088,71176,9599,74386,8165,"41.87194","12.56738"
"Italy",2020-03-26,67307,71675,76043,10255,80539,9136,"41.87194","12.56738"
"Italy",2020-03-27,71768,76425,81082,10935,86498,10023,"41.87194","12.56738"
"Italy",2020-03-28,76367,81323,86279,11635,92472,10781,"41.87194","12.56738"
"Italy",2020-03-29,81091,86353,91615,12355,97689,11591,"41.87194","12.56738"
"Italy",2020-03-30,85922,91498,97074,13091,101739,12430,"41.87194","12.56738"
"Italy",2020-03-31,90841,96736,102631,13841,105792,13157,"41.87194","12.56738"
"Italy",2020-04-01,95827,102046,108265,14600,110574,13917,"41.87194","12.56738"
"Italy",2020-04-02,100860,107405,113950,15367,115242,14681,"41.87194","12.56738"
"Italy",2020-04-03,105915,112789,119663,16137,119827,15362,"41.87194","12.56738"
"Italy",2020-04-04,110972,118174,125376,16908,124632,15889,"41.87194","12.56738"
"Italy",2020-04-05,116006,123534,131062,17675,128948,16525,"41.87194","12.56738"
"Italy",2020-04-06,120994,128846,136698,18435,132547,17129,"41.87194","12.56738"
"Italy",2020-04-07,125915,134086,142257,19184,135586,17669,"41.87194","12.56738"
"Italy",2020-04-08,130749,139234,147719,19921,139422,18281,"41.87194","12.56738"
"Italy",2020-04-09,135476,144268,153060,20641,143626,18851,"41.87194","12.56738"
"Italy",2020-04-10,140080,149171,158262,21343,147577,19470,"41.87194","12.56738"
"Italy",2020-04-11,144545,153925,163305,22023,152271,19901,"41.87194","12.56738"
"Italy",2020-04-12,148857,158517,168177,22680,156363,20465,"41.87194","12.56738"
"Italy",2020-04-13,153006,162935,172864,23312,159516,21069,"41.87194","12.56738"
"Italy",2020-04-14,156982,167170,177358,23918,162488,21647,"41.87194","12.56738"
"Italy",2020-04-15,160781,171215,181649,24497,165155,22172,"41.87194","12.56738"
"Italy",2020-04-16,164396,175065,185734,25048,168941,22747,"41.87194","12.56738"
"Italy",2020-04-17,167828,178719,189610,25570,172434,23227,"41.87194","12.56738"
"Italy",2020-04-18,171072,182174,193276,26065,175925,23660,"41.87194","12.56738"
"Italy",2020-04-19,174132,185433,196734,26531,178972,24114,"41.87194","12.56738"
"Italy",2020-04-20,177010,188497,199984,26969,181228,24648,"41.87194","12.56738"
"Italy",2020-04-21,179710,191372,203034,27381,183957,25085,"41.87194","12.56738"
"Italy",2020-04-22,182236,194062,205888,27766,187327,25549,"41.87194","12.56738"
"Italy",2020-04-23,184595,196574,208553,28125,189973,25969,"41.87194","12.56738"
"Italy",2020-04-24,186792,198914,211036,28460,192994,26384,"41.87194","12.56738"
"Italy",2020-04-25,188835,201090,213345,28771,195351,26644,"41.87194","12.56738"
"Italy",2020-04-26,190732,203110,215488,29060,197675,26977,"41.87194","12.56738"
"Italy",2020-04-27,192489,204981,217473,29328,199414,27359,"41.87194","12.56738"
"Italy",2020-04-28,194115,206712,219309,29575,201505,27682,"41.87194","12.56738"
"Italy",2020-04-29,195616,208311,221006,29804,203591,27967,"41.87194","12.56738"
"Italy",2020-04-30,197000,209785,222570,30015,205463,28236,"41.87194","12.56738"
"Italy",2020-05-01,198277,211144,224011,30210,207428,28710,"41.87194","12.56738"
"Italy",2020-05-02,199451,212395,225339,30389,209328,28884,"41.87194","12.56738"
"Italy",2020-05-03,200530,213544,226558,30553,210717,29079,"41.87194","12.56738"
"Italy",2020-05-04,201522,214600,227678,30704,211938,29315,"41.87194","12.56738"
"Italy",2020-05-05,202431,215568,228705,30843,213013,29684,"41.87194","12.56738"
