"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"United.Kingdom",2019-12-30,29,31,33,4,0,0,"55.378051","0"
"United.Kingdom",2019-12-31,32,34,36,5,0,0,"55.378051","0"
"United.Kingdom",2020-01-01,35,37,39,5,0,0,"55.378051","0"
"United.Kingdom",2020-01-02,37,39,41,5,0,0,"55.378051","0"
"United.Kingdom",2020-01-03,40,43,46,6,0,0,"55.378051","0"
"United.Kingdom",2020-01-04,43,46,49,6,0,0,"55.378051","0"
"United.Kingdom",2020-01-05,47,50,53,7,0,0,"55.378051","0"
"United.Kingdom",2020-01-06,51,54,57,8,0,0,"55.378051","0"
"United.Kingdom",2020-01-07,55,58,61,8,0,0,"55.378051","0"
"United.Kingdom",2020-01-08,59,63,67,9,0,0,"55.378051","0"
"United.Kingdom",2020-01-09,64,68,72,10,0,0,"55.378051","0"
"United.Kingdom",2020-01-10,69,73,77,10,0,0,"55.378051","0"
"United.Kingdom",2020-01-11,74,79,84,11,0,0,"55.378051","0"
"United.Kingdom",2020-01-12,81,86,91,12,0,0,"55.378051","0"
"United.Kingdom",2020-01-13,87,93,99,13,0,0,"55.378051","0"
"United.Kingdom",2020-01-14,94,100,106,14,0,0,"55.378051","0"
"United.Kingdom",2020-01-15,102,108,114,15,0,0,"55.378051","0"
"United.Kingdom",2020-01-16,110,117,124,16,0,0,"55.378051","0"
"United.Kingdom",2020-01-17,118,126,134,18,0,0,"55.378051","0"
"United.Kingdom",2020-01-18,128,136,144,19,0,0,"55.378051","0"
"United.Kingdom",2020-01-19,138,147,156,21,0,0,"55.378051","0"
"United.Kingdom",2020-01-20,149,159,169,22,0,0,"55.378051","0"
"United.Kingdom",2020-01-21,162,172,182,24,0,0,"55.378051","0"
"United.Kingdom",2020-01-22,175,186,197,26,0,0,"55.378051","0"
"United.Kingdom",2020-01-23,189,201,213,28,0,0,"55.378051","0"
"United.Kingdom",2020-01-24,204,217,230,30,0,0,"55.378051","0"
"United.Kingdom",2020-01-25,221,235,249,33,0,0,"55.378051","0"
"United.Kingdom",2020-01-26,239,254,269,36,0,0,"55.378051","0"
"United.Kingdom",2020-01-27,258,274,290,38,0,0,"55.378051","0"
"United.Kingdom",2020-01-28,278,296,314,42,0,0,"55.378051","0"
"United.Kingdom",2020-01-29,301,320,339,45,0,0,"55.378051","0"
"United.Kingdom",2020-01-30,325,346,367,49,2,0,"55.378051","0"
