"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"World",2019-12-30,142164,173614,205064,8309,27,0,"0","0"
"World",2019-12-31,145439,177613,209787,9326,27,0,"0","0"
"World",2020-01-01,148789,181704,214619,6882,27,0,"0","0"
"World",2020-01-02,152216,185890,219564,14493,44,0,"0","0"
"World",2020-01-03,155722,190171,224620,4642,44,0,"0","0"
"World",2020-01-04,159308,194551,229794,4815,59,0,"0","0"
"World",2020-01-05,162978,199032,235086,2601,59,0,"0","0"
"World",2020-01-06,166732,203617,240502,4236,59,0,"0","0"
"World",2020-01-07,170573,208307,246041,9969,59,0,"0","0"
"World",2020-01-08,174501,213105,251709,10199,59,0,"0","0"
"World",2020-01-09,178520,218013,257506,11447,59,1,"0","0"
"World",2020-01-10,182633,223035,263437,8447,59,1,"0","0"
"World",2020-01-11,186839,228172,269505,17790,59,1,"0","0"
"World",2020-01-12,191142,233427,275712,5697,60,1,"0","0"
"World",2020-01-13,195545,238804,282063,5911,60,2,"0","0"
"World",2020-01-14,200049,244304,288559,3192,61,2,"0","0"
"World",2020-01-15,204656,249931,295206,5200,61,2,"0","0"
"World",2020-01-16,209371,255688,302005,12237,66,2,"0","0"
"World",2020-01-17,214193,261577,308961,12519,83,3,"0","0"
"World",2020-01-18,219126,267602,316078,14050,219,3,"0","0"
"World",2020-01-19,224174,273766,323358,10369,239,6,"0","0"
"World",2020-01-20,229337,280071,330805,21836,392,17,"0","0"
"World",2020-01-21,234619,286522,338425,6993,534,17,"0","0"
"World",2020-01-22,240023,293122,346221,7255,631,26,"0","0"
"World",2020-01-23,245552,299873,354194,3918,897,41,"0","0"
"World",2020-01-24,251207,306780,362353,6382,1350,56,"0","0"
"World",2020-01-25,256993,313846,370699,15020,2023,81,"0","0"
"World",2020-01-26,262913,321075,379237,15366,2820,106,"0","0"
"World",2020-01-27,268969,328471,387973,17246,4587,132,"0","0"
"World",2020-01-28,275164,336036,396908,12727,6067,170,"0","0"
"World",2020-01-29,281502,343776,406050,26803,7823,213,"0","0"
"World",2020-01-30,287985,351694,415403,8584,9826,259,"0","0"
"World",2020-01-31,294619,359795,424971,8905,11946,305,"0","0"
"World",2020-02-01,301405,368082,434759,4810,14554,362,"0","0"
"World",2020-02-02,308347,376560,444773,7834,17372,427,"0","0"
"World",2020-02-03,315450,385234,455018,18436,20615,493,"0","0"
"World",2020-02-04,322715,394107,465499,18861,24522,565,"0","0"
"World",2020-02-05,330148,403184,476220,21169,28273,638,"0","0"
"World",2020-02-06,337753,412471,487189,15622,31491,724,"0","0"
"World",2020-02-07,345532,421971,498410,32899,34933,813,"0","0"
"World",2020-02-08,353491,431691,509891,10537,37552,910,"0","0"
"World",2020-02-09,361633,441634,521635,10931,40540,1018,"0","0"
"World",2020-02-10,369962,451806,533650,5904,43105,1115,"0","0"
"World",2020-02-11,378483,462212,545941,9616,45177,1370,"0","0"
"World",2020-02-12,387201,472859,558517,22630,60328,1383,"0","0"
"World",2020-02-13,396120,483750,571380,23151,64543,1527,"0","0"
"World",2020-02-14,405243,494892,584541,25984,67103,1669,"0","0"
"World",2020-02-15,414577,506291,598005,19176,69265,1775,"0","0"
"World",2020-02-16,424126,517952,611778,40383,71332,1873,"0","0"
"World",2020-02-17,433895,529882,625869,12933,73327,2012,"0","0"
"World",2020-02-18,443889,542087,640285,13417,75191,2128,"0","0"
"World",2020-02-19,454113,554573,655033,7246,75723,2247,"0","0"
"World",2020-02-20,464573,567347,670121,11803,76719,2359,"0","0"
"World",2020-02-21,475273,580414,685555,27777,77804,2463,"0","0"
"World",2020-02-22,486220,593783,701346,28417,78812,2619,"0","0"
"World",2020-02-23,497420,607460,717500,31895,79339,2698,"0","0"
"World",2020-02-24,508876,621451,734026,23537,80132,2762,"0","0"
"World",2020-02-25,520597,635765,750933,49568,80997,2800,"0","0"
"World",2020-02-26,532589,650409,768229,15875,82106,2857,"0","0"
"World",2020-02-27,544856,665390,785924,16469,83375,2921,"0","0"
"World",2020-02-28,557406,680716,804026,8895,85223,2979,"0","0"
"World",2020-02-29,570244,696395,822546,14488,87042,3046,"0","0"
"World",2020-03-01,583379,712435,841491,34096,89136,3118,"0","0"
"World",2020-03-02,596815,728844,860873,34881,90969,3202,"0","0"
"World",2020-03-03,610562,745632,880702,39149,93250,3282,"0","0"
"World",2020-03-04,624625,762806,900987,28891,95566,3384,"0","0"
"World",2020-03-05,639012,780376,921740,60843,98598,3488,"0","0"
"World",2020-03-06,653730,798350,942970,19486,102732,3585,"0","0"
"World",2020-03-07,668788,816739,964690,20215,106663,3813,"0","0"
"World",2020-03-08,684192,835551,986910,10918,110841,4022,"0","0"
"World",2020-03-09,699951,854796,1009641,17784,115594,4297,"0","0"
"World",2020-03-10,716074,874485,1032896,41851,120584,4621,"0","0"
"World",2020-03-11,732567,894627,1056687,42815,128246,4973,"0","0"
"World",2020-03-12,749440,915233,1081026,48054,137432,5417,"0","0"
"World",2020-03-13,766702,936313,1105924,35463,147481,5783,"0","0"
"World",2020-03-14,784361,957879,1131397,74682,159666,6540,"0","0"
"World",2020-03-15,802427,979942,1157457,23918,172046,7149,"0","0"
"World",2020-03-16,820910,1002513,1184116,24813,185977,7971,"0","0"
"World",2020-03-17,839818,1025604,1211390,13401,202685,8932,"0","0"
"World",2020-03-18,859161,1049227,1239293,21829,222786,9999,"0","0"
"World",2020-03-19,878951,1073394,1267837,51370,253559,11391,"0","0"
"World",2020-03-20,899196,1098118,1297040,52554,285113,13103,"0","0"
"World",2020-03-21,919907,1123411,1326915,58985,319079,14813,"0","0"
"World",2020-03-22,941095,1149286,1357477,43529,352974,16654,"0","0"
"World",2020-03-23,962772,1175758,1388744,91669,396854,18981,"0","0"
"World",2020-03-24,984947,1202839,1420731,29359,438409,21599,"0","0"
"World",2020-03-25,1007633,1230544,1453455,30457,491164,24430,"0","0"
"World",2020-03-26,1030842,1258887,1486932,16449,551586,27917,"0","0"
"World",2020-03-27,1054585,1287883,1521181,26794,616390,31485,"0","0"
"World",2020-03-28,1078876,1317547,1556218,63055,678650,34706,"0","0"
"World",2020-03-29,1103725,1347894,1592063,64507,735441,38705,"0","0"
"World",2020-03-30,1129148,1378940,1628732,72401,799674,43391,"0","0"
"World",2020-03-31,1155156,1410702,1666248,53430,873079,48385,"0","0"
