"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"World",2019-12-30,67375,73943,80511,3032,27,0,"0","0"
"World",2019-12-31,69477,76250,83023,3217,27,0,"0","0"
"World",2020-01-01,71645,78630,85615,2829,27,0,"0","0"
"World",2020-01-02,73881,81083,88285,1901,44,0,"0","0"
"World",2020-01-03,76185,83612,91039,6181,44,0,"0","0"
"World",2020-01-04,78561,86220,93879,1805,59,0,"0","0"
"World",2020-01-05,81011,88909,96807,938,59,0,"0","0"
"World",2020-01-06,83538,91682,99826,1907,59,0,"0","0"
"World",2020-01-07,86142,94540,102938,3877,59,0,"0","0"
"World",2020-01-08,88827,97487,106147,3998,59,0,"0","0"
"World",2020-01-09,91596,100526,109456,4241,59,1,"0","0"
"World",2020-01-10,94451,103659,112867,3729,59,1,"0","0"
"World",2020-01-11,97395,106890,116385,2505,59,1,"0","0"
"World",2020-01-12,100429,110220,120011,8148,60,1,"0","0"
"World",2020-01-13,103558,113654,123750,2379,60,2,"0","0"
"World",2020-01-14,106784,117194,127604,1237,61,2,"0","0"
"World",2020-01-15,110109,120843,131577,2514,61,2,"0","0"
"World",2020-01-16,113537,124606,135675,5110,66,2,"0","0"
"World",2020-01-17,117072,128485,139898,5269,83,3,"0","0"
"World",2020-01-18,120717,132485,144253,5589,219,3,"0","0"
"World",2020-01-19,124473,136608,148743,4914,239,6,"0","0"
"World",2020-01-20,128346,140858,153370,3302,392,17,"0","0"
"World",2020-01-21,132339,145240,158141,10737,534,17,"0","0"
"World",2020-01-22,136454,149757,163060,3135,631,26,"0","0"
"World",2020-01-23,140698,154414,168130,1629,897,41,"0","0"
"World",2020-01-24,145072,159215,173358,3312,1350,56,"0","0"
"World",2020-01-25,149581,164163,178745,6732,2023,81,"0","0"
"World",2020-01-26,154229,169265,184301,6941,2820,106,"0","0"
"World",2020-01-27,159020,174523,190026,7362,4587,132,"0","0"
"World",2020-01-28,163960,179944,195928,6473,6067,170,"0","0"
"World",2020-01-29,169051,185531,202011,4349,7823,213,"0","0"
"World",2020-01-30,174299,191291,208283,14142,9826,259,"0","0"
"World",2020-01-31,179709,197228,214747,4128,11946,305,"0","0"
"World",2020-02-01,185284,203347,221410,2146,14554,362,"0","0"
"World",2020-02-02,191032,209655,228278,4362,17372,427,"0","0"
"World",2020-02-03,196955,216156,235357,8864,20615,493,"0","0"
"World",2020-02-04,203060,222856,242652,9139,24522,565,"0","0"
"World",2020-02-05,209354,229763,250172,9693,28273,638,"0","0"
"World",2020-02-06,215839,236881,257923,8521,31491,724,"0","0"
"World",2020-02-07,222524,244217,265910,5724,34933,813,"0","0"
"World",2020-02-08,229412,251777,274142,18613,37552,910,"0","0"
"World",2020-02-09,236512,259569,282626,5433,40540,1018,"0","0"
"World",2020-02-10,243829,267599,291369,2824,43105,1115,"0","0"
"World",2020-02-11,251369,275875,300381,5739,45177,1370,"0","0"
"World",2020-02-12,259140,284403,309666,11663,60328,1383,"0","0"
"World",2020-02-13,267147,293191,319235,12023,64543,1527,"0","0"
"World",2020-02-14,275399,302247,329095,12750,67103,1669,"0","0"
"World",2020-02-15,283902,311579,339256,11208,69265,1775,"0","0"
"World",2020-02-16,292664,321195,349726,7529,71332,1873,"0","0"
"World",2020-02-17,301692,331103,360514,24478,73327,2012,"0","0"
"World",2020-02-18,310993,341311,371629,7144,75191,2128,"0","0"
"World",2020-02-19,320578,351830,383082,3712,75723,2247,"0","0"
"World",2020-02-20,330452,362667,394882,7545,76719,2359,"0","0"
"World",2020-02-21,340626,373833,407040,15330,77804,2463,"0","0"
"World",2020-02-22,351107,385336,419565,15802,78812,2619,"0","0"
"World",2020-02-23,361906,397187,432468,16755,79339,2698,"0","0"
"World",2020-02-24,373029,409395,445761,14727,80132,2762,"0","0"
"World",2020-02-25,384489,421972,459455,9891,80997,2800,"0","0"
"World",2020-02-26,396293,434927,473561,32153,82106,2857,"0","0"
"World",2020-02-27,408453,448272,488091,9383,83375,2921,"0","0"
"World",2020-02-28,420977,462017,503057,4875,85225,2979,"0","0"
"World",2020-02-29,433877,476175,518473,9907,87042,3046,"0","0"
"World",2020-03-01,447164,490757,534350,20125,89136,3118,"0","0"
"World",2020-03-02,460848,505775,550702,20740,90969,3202,"0","0"
"World",2020-03-03,474941,521242,567543,21989,93250,3282,"0","0"
"World",2020-03-04,489454,537170,584886,19324,95566,3384,"0","0"
"World",2020-03-05,504399,553572,602745,12975,98599,3488,"0","0"
"World",2020-03-06,519789,570462,621135,42173,102734,3585,"0","0"
"World",2020-03-07,535636,587854,640072,12304,106666,3813,"0","0"
"World",2020-03-08,551952,605761,659570,6392,110844,4022,"0","0"
"World",2020-03-09,568751,624197,679643,12986,115597,4297,"0","0"
"World",2020-03-10,586046,643178,700310,26375,120587,4621,"0","0"
"World",2020-03-11,603851,662719,721587,27176,128249,4973,"0","0"
"World",2020-03-12,622180,682835,743490,28806,137435,5417,"0","0"
"World",2020-03-13,641047,703541,766035,25309,147484,5783,"0","0"
"World",2020-03-14,660466,724854,789242,16990,159670,6540,"0","0"
"World",2020-03-15,680455,746791,813127,55209,172067,7149,"0","0"
"World",2020-03-16,701025,769367,837709,16104,185988,7971,"0","0"
"World",2020-03-17,722197,792602,863007,8363,202712,8932,"0","0"
"World",2020-03-18,743982,816511,889040,16987,222832,9999,"0","0"
"World",2020-03-19,766398,841113,915828,34492,253559,11391,"0","0"
"World",2020-03-20,789463,866426,943389,35530,285131,13103,"0","0"
"World",2020-03-21,813193,892470,971747,37649,319079,14813,"0","0"
"World",2020-03-22,837606,919263,1000920,33069,352974,16654,"0","0"
"World",2020-03-23,862720,946825,1030930,22193,396856,18981,"0","0"
"World",2020-03-24,888552,975175,1061798,72093,438411,21599,"0","0"
"World",2020-03-25,915121,1004334,1093547,21022,491156,24430,"0","0"
"World",2020-03-26,942446,1034323,1126200,10914,551618,27918,"0","0"
"World",2020-03-27,970545,1065162,1159779,22160,616394,31485,"0","0"
"World",2020-03-28,999441,1096874,1194307,44980,678650,34707,"0","0"
"World",2020-03-29,1029149,1129479,1229809,46317,735543,38705,"0","0"
"World",2020-03-30,1059694,1163001,1266308,49062,799674,43391,"0","0"
"World",2020-03-31,1091093,1197461,1303829,43076,873079,48387,"0","0"
"World",2020-04-01,1123367,1232882,1342397,28898,950313,53389,"0","0"
"World",2020-04-02,1156539,1269288,1382037,93836,1026976,60162,"0","0"
"World",2020-04-03,1190631,1306703,1422775,27351,1108441,66399,"0","0"
"World",2020-04-04,1225663,1345150,1464637,14194,1192459,71183,"0","0"
"World",2020-04-05,1261657,1384653,1507649,28807,1260785,76567,"0","0"
"World",2020-04-06,1298637,1425238,1551839,58445,1334014,84145,"0","0"
"World",2020-04-07,1336623,1466928,1597233,60155,1409351,90651,"0","0"
"World",2020-04-08,1375641,1509750,1643859,63689,1494366,98129,"0","0"
"World",2020-04-09,1415714,1553729,1691744,55892,1580926,105145,"0","0"
"World",2020-04-10,1456863,1598890,1740917,37477,1670839,111181,"0","0"
"World",2020-04-11,1499114,1645260,1791406,121631,1750603,116473,"0","0"
"World",2020-04-12,1542490,1692864,1843238,35433,1820724,121816,"0","0"
"World",2020-04-13,1587015,1741730,1896445,18378,1886313,129441,"0","0"
"World",2020-04-14,1632713,1791883,1951053,37279,1963930,139930,"0","0"
"World",2020-04-15,1679609,1843351,2007093,75591,2042826,148428,"0","0"
"World",2020-04-16,1727728,1896161,2064594,77756,2126195,156899,"0","0"
"World",2020-04-17,1777094,1950339,2123584,82276,2208599,163312,"0","0"
"World",2020-04-18,1827731,2005913,2184095,72159,2287981,168319,"0","0"
"World",2020-04-19,1879665,2062910,2246155,48353,2359256,173709,"0","0"
"World",2020-04-20,1932921,2121358,2309795,156828,2434924,181015,"0","0"
"World",2020-04-21,1987522,2181282,2375042,45656,2520918,187029,"0","0"
"World",2020-04-22,2043495,2242711,2441927,23664,2587022,194392,"0","0"
"World",2020-04-23,2100863,2305672,2510481,47968,2664488,199790,"0","0"
"World",2020-04-24,2159651,2370191,2580731,97195,2737532,205980,"0","0"
"World",2020-04-25,2219884,2436296,2652708,99906,2837407,209852,"0","0"
"World",2020-04-26,2281585,2504012,2726439,105633,2919860,214744,"0","0"
"World",2020-04-27,2344779,2573367,2801955,92572,2985842,221236,"0","0"
"World",2020-04-28,2409490,2644386,2879282,61982,3057330,227823,"0","0"
"World",2020-04-29,2475739,2717094,2958449,200870,3135127,233363,"0","0"
"World",2020-04-30,2543552,2791518,3039484,58429,3219651,239166,"0","0"
"World",2020-05-01,2612951,2867682,3122413,30259,3311113,243966,"0","0"
"World",2020-05-02,2683956,2945610,3207264,61282,3392082,247671,"0","0"
"World",2020-05-03,2756591,3025325,3294059,124060,3470325,251669,"0","0"
"World",2020-05-04,2830876,3106852,3382828,127403,3547799,257601,"0","0"
"World",2020-05-05,2906830,3190211,3473592,134580,3627277,263741,"0","0"
"World",2020-05-06,2984475,3275425,3566375,117827,3717379,269483,"0","0"
"World",2020-05-07,3063829,3362515,3661201,78814,3811352,274711,"0","0"
"World",2020-05-08,3144909,3451500,3758091,255163,3901382,279167,"0","0"
"World",2020-05-09,3227734,3542399,3857064,74146,3991214,282566,"0","0"
"World",2020-05-10,3312319,3635230,3958141,38358,4067855,286128,"0","0"
"World",2020-05-11,3398680,3730010,4061340,77601,4138949,291903,"0","0"
"World",2020-05-12,3486830,3826754,4166678,156925,4224790,297055,"0","0"
"World",2020-05-13,3576784,3925477,4274170,160973,4310864,302402,"0","0"
"World",2020-05-14,3668551,4026191,4383831,169846,4407509,307545,"0","0"
"World",2020-05-15,3762144,4128908,4495672,148530,4505536,311802,"0","0"
"World",2020-05-16,3857571,4233638,4609705,99233,4599556,314763,"0","0"
"World",2020-05-17,3954841,4340390,4725939,320877,4680559,318027,"0","0"
"World",2020-05-18,4053959,4449171,4844383,93126,4767726,323259,"0","0"
"World",2020-05-19,4154929,4559985,4965041,48115,4862820,328047,"0","0"
"World",2020-05-20,4257756,4672836,5087916,97216,4962386,333490,"0","0"
"World",2020-05-21,4362440,4787725,5213010,196331,5070116,338178,"0","0"
"World",2020-05-22,4468982,4904654,5340326,201126,5176680,342177,"0","0"
"World",2020-05-23,4577379,5023618,5469857,211923,5277595,342973,"0","0"
"World",2020-05-24,4687626,5144613,5601600,185068,5371596,346364,"0","0"
"World",2020-05-25,4799719,5267634,5735549,123469,5460746,350303,"0","0"
"World",2020-05-26,4913650,5392672,5871694,398670,5556710,355470,"0","0"
"World",2020-05-27,5029408,5519715,6010022,115533,5659329,360160,"0","0"
"World",2020-05-28,5146981,5648750,6150519,59604,5778040,364933,"0","0"
"World",2020-05-29,5266357,5779763,6293169,120245,5901016,368992,"0","0"
"World",2020-05-30,5387516,5912734,6437952,242465,6028737,371910,"0","0"
"World",2020-05-31,5510442,6047644,6584846,247997,6136572,375489,"0","0"
"World",2020-06-01,5635114,6184470,6733826,260894,6237002,380144,"0","0"
"World",2020-06-02,5761508,6323186,6884864,227465,6349611,385793,"0","0"
"World",2020-06-03,5889600,6463765,7037930,151505,6476329,390968,"0","0"
"World",2020-06-04,6019361,6606176,7192991,488383,6604082,395745,"0","0"
"World",2020-06-05,6150761,6750386,7350011,141292,6737618,399564,"0","0"
"World",2020-06-06,6283769,6896361,7508953,72768,6863451,403064,"0","0"
"World",2020-06-07,6418349,7044061,7669773,146548,6979745,406290,"0","0"
"World",2020-06-08,6554464,7193446,7832428,294983,7085464,411221,"0","0"
"World",2020-06-09,6692076,7344473,7996870,301176,7211119,416457,"0","0"
"World",2020-06-10,6831142,7497096,8163050,316268,7344559,421222,"0","0"
"World",2020-06-11,6971618,7651267,8330916,275240,7482088,425951,"0","0"
"World",2020-06-12,7113459,7806936,8500413,182988,7626591,430150,"0","0"
"World",2020-06-13,7256615,7964048,8671481,588768,7760649,433283,"0","0"
"World",2020-06-14,7401037,8122549,8844061,170013,7882683,436657,"0","0"
"World",2020-06-15,7546671,8282381,9018091,87393,8001533,443514,"0","0"
"World",2020-06-16,7693463,8443483,9193503,175662,8143020,448757,"0","0"
"World",2020-06-17,7841356,8605794,9370232,352900,8319557,455079,"0","0"
"World",2020-06-18,7990292,8769249,9548206,359603,8458335,460093,"0","0"
"World",2020-06-19,8140209,8933782,9727355,376875,8635655,464311,"0","0"
"World",2020-06-20,8291047,9099325,9907603,327331,8797646,468289,"0","0"
"World",2020-06-21,8442740,9265806,10088872,217182,8927614,471714,"0","0"
"World",2020-06-22,8595225,9433156,10271087,697376,9063813,477291,"0","0"
"World",2020-06-23,8748433,9601300,10454167,200965,9229663,482489,"0","0"
"World",2020-06-24,8902296,9770163,10638030,103091,9400994,489207,"0","0"
"World",2020-06-25,9056746,9939670,10822594,206789,9582570,493917,"0","0"
"World",2020-06-26,9211711,10109742,11007773,414572,9771831,498551,"0","0"
"World",2020-06-27,9367121,10280303,11193485,421567,9953385,501600,"0","0"
"World",2020-06-28,9522903,10451272,11379641,440891,10113553,505309,"0","0"
"World",2020-06-29,9678985,10622570,11566155,382127,10273406,511045,"0","0"
"World",2020-06-30,9835292,10794115,11752938,253004,10465969,515980,"0","0"
"World",2020-07-01,9991751,10965827,11939903,810684,10666333,521126,"0","0"
"World",2020-07-02,10148288,11137624,12126960,233122,10844808,526247,"0","0"
"World",2020-07-03,10304827,11309424,12314021,119333,11051364,530589,"0","0"
"World",2020-07-04,10461296,11481147,12500998,238859,11241076,533972,"0","0"
"World",2020-07-05,10617619,11652709,12687799,477845,11419904,537820,"0","0"
"World",2020-07-06,10773723,11824031,12874339,484871,11595202,543913,"0","0"
"World",2020-07-07,10929534,11995032,13060530,506015,11802214,549287,"0","0"
"World",2020-07-08,11084979,12165631,13246283,437635,12017686,554728,"0","0"
"World",2020-07-09,11239985,12335749,13431513,289139,12246290,560005,"0","0"
"World",2020-07-10,11394482,12505307,13616132,924495,12476333,564932,"0","0"
"World",2020-07-11,11548399,12674229,13800059,265284,12694827,568745,"0","0"
"World",2020-07-12,11701665,12842437,13983209,135509,12889783,572672,"0","0"
"World",2020-07-13,11854215,13009858,14165501,270663,13080036,578329,"0","0"
"World",2020-07-14,12005978,13176417,14346856,540328,13300545,583906,"0","0"
"World",2020-07-15,12156892,13342043,14527194,547120,13532260,589708,"0","0"
"World",2020-07-16,12306891,13506665,14706439,569784,13790319,597155,"0","0"
"World",2020-07-17,12455914,13670216,14884518,491760,14044847,602044,"0","0"
"World",2020-07-18,12603899,13832628,15061357,324224,14268999,605988,"0","0"
"World",2020-07-19,12750788,13993837,15236886,1034539,14481274,610110,"0","0"
"World",2020-07-20,12896524,14153780,15411036,296253,14684741,618399,"0","0"
"World",2020-07-21,13041052,14312398,15583744,151020,15080244,618399,"0","0"
"World",2020-07-22,13184319,14469632,15754945,301033,NA,NA,"0","0"
"World",2020-07-23,13326275,14625427,15924579,599748,NA,NA,"0","0"
"World",2020-07-24,13466871,14779729,16092587,606076,NA,NA,"0","0"
"World",2020-07-25,13606060,14932487,16258914,629933,NA,NA,"0","0"
"World",2020-07-26,13743798,15083653,16423508,542606,NA,NA,"0","0"
"World",2020-07-27,13880044,15233181,16586318,357052,NA,NA,"0","0"
"World",2020-07-28,14014758,15381028,16747298,1137091,NA,NA,"0","0"
"World",2020-07-29,14147902,15527152,16906402,324999,NA,NA,"0","0"
"World",2020-07-30,14279441,15671515,17063589,165361,NA,NA,"0","0"
"World",2020-07-31,14409345,15814083,17218821,329003,NA,NA,"0","0"
"World",2020-08-01,14537581,15954820,17372059,654263,NA,NA,"0","0"
"World",2020-08-02,14664122,16093698,17523274,659958,NA,NA,"0","0"
"World",2020-08-03,14788943,16230687,17672431,684698,NA,NA,"0","0"
"World",2020-08-04,14912020,16365763,17819506,588727,NA,NA,"0","0"
"World",2020-08-05,15033332,16498901,17964470,386719,NA,NA,"0","0"
"World",2020-08-06,15152861,16630083,18107305,1229432,NA,NA,"0","0"
"World",2020-08-07,15270590,16759289,18247988,350789,NA,NA,"0","0"
"World",2020-08-08,15386505,16886504,18386503,178181,NA,NA,"0","0"
"World",2020-08-09,15500592,17011714,18522836,353919,NA,NA,"0","0"
"World",2020-08-10,15612844,17134909,18656974,702655,NA,NA,"0","0"
"World",2020-08-11,15723251,17256079,18788907,707624,NA,NA,"0","0"
"World",2020-08-12,15831807,17375218,18918629,732980,NA,NA,"0","0"
"World",2020-08-13,15938509,17492322,19046135,629253,NA,NA,"0","0"
"World",2020-08-14,16043353,17607387,19171421,412701,NA,NA,"0","0"
"World",2020-08-15,16146339,17720413,19294487,1310038,NA,NA,"0","0"
"World",2020-08-16,16247469,17831402,19415335,373229,NA,NA,"0","0"
"World",2020-08-17,16346746,17940357,19533968,189301,NA,NA,"0","0"
"World",2020-08-18,16444174,18047283,19650392,375464,NA,NA,"0","0"
"World",2020-08-19,16539759,18152187,19764615,744371,NA,NA,"0","0"
"World",2020-08-20,16633510,18255077,19876644,748590,NA,NA,"0","0"
