"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Brazil",2019-12-30,1,1,1,0,0,0,"0","0"
"Brazil",2019-12-31,1,1,1,0,0,0,"0","0"
"Brazil",2020-01-01,2,2,2,0,0,0,"0","0"
"Brazil",2020-01-02,2,2,2,0,0,0,"0","0"
"Brazil",2020-01-03,2,2,2,0,0,0,"0","0"
"Brazil",2020-01-04,2,2,2,0,0,0,"0","0"
"Brazil",2020-01-05,2,2,2,0,0,0,"0","0"
"Brazil",2020-01-06,2,2,2,0,0,0,"0","0"
"Brazil",2020-01-07,3,3,3,0,0,0,"0","0"
"Brazil",2020-01-08,3,3,3,0,0,0,"0","0"
"Brazil",2020-01-09,3,3,3,0,0,0,"0","0"
"Brazil",2020-01-10,4,4,4,0,0,0,"0","0"
"Brazil",2020-01-11,4,4,4,0,0,0,"0","0"
"Brazil",2020-01-12,4,4,4,0,0,0,"0","0"
"Brazil",2020-01-13,5,5,5,0,0,0,"0","0"
"Brazil",2020-01-14,5,5,5,0,0,0,"0","0"
"Brazil",2020-01-15,6,6,6,0,0,0,"0","0"
"Brazil",2020-01-16,6,6,6,0,0,0,"0","0"
"Brazil",2020-01-17,6,7,8,0,0,0,"0","0"
"Brazil",2020-01-18,7,8,9,1,0,0,"0","0"
"Brazil",2020-01-19,7,8,9,1,0,0,"0","0"
"Brazil",2020-01-20,8,9,10,1,0,0,"0","0"
"Brazil",2020-01-21,9,10,11,1,0,0,"0","0"
"Brazil",2020-01-22,10,11,12,1,0,0,"0","0"
"Brazil",2020-01-23,11,12,13,1,0,0,"0","0"
"Brazil",2020-01-24,12,13,14,1,0,0,"0","0"
"Brazil",2020-01-25,13,14,15,1,0,0,"0","0"
"Brazil",2020-01-26,15,16,17,1,0,0,"0","0"
"Brazil",2020-01-27,16,17,18,1,0,0,"0","0"
"Brazil",2020-01-28,18,19,20,1,0,0,"0","0"
"Brazil",2020-01-29,19,21,23,1,0,0,"0","0"
"Brazil",2020-01-30,21,23,25,2,0,0,"0","0"
"Brazil",2020-01-31,23,25,27,2,0,0,"0","0"
"Brazil",2020-02-01,26,28,30,2,0,0,"0","0"
"Brazil",2020-02-02,29,31,33,2,0,0,"0","0"
"Brazil",2020-02-03,31,34,37,2,0,0,"0","0"
"Brazil",2020-02-04,34,37,40,3,0,0,"0","0"
"Brazil",2020-02-05,38,41,44,3,0,0,"0","0"
"Brazil",2020-02-06,42,45,48,3,0,0,"0","0"
"Brazil",2020-02-07,45,49,53,3,0,0,"0","0"
"Brazil",2020-02-08,50,54,58,4,0,0,"0","0"
"Brazil",2020-02-09,54,59,64,4,0,0,"0","0"
"Brazil",2020-02-10,60,65,70,4,0,0,"0","0"
"Brazil",2020-02-11,66,72,78,5,0,0,"0","0"
"Brazil",2020-02-12,73,79,85,5,0,0,"0","0"
"Brazil",2020-02-13,79,86,93,6,0,0,"0","0"
"Brazil",2020-02-14,88,95,102,7,0,0,"0","0"
"Brazil",2020-02-15,96,104,112,7,0,0,"0","0"
"Brazil",2020-02-16,106,115,124,8,0,0,"0","0"
"Brazil",2020-02-17,116,126,136,9,0,0,"0","0"
"Brazil",2020-02-18,127,138,149,9,0,0,"0","0"
"Brazil",2020-02-19,140,152,164,10,0,0,"0","0"
"Brazil",2020-02-20,154,167,180,11,0,0,"0","0"
"Brazil",2020-02-21,169,183,197,13,0,0,"0","0"
"Brazil",2020-02-22,185,201,217,14,0,0,"0","0"
"Brazil",2020-02-23,204,221,238,15,0,0,"0","0"
"Brazil",2020-02-24,224,243,262,17,0,0,"0","0"
"Brazil",2020-02-25,246,267,288,18,1,0,"0","0"
"Brazil",2020-02-26,270,293,316,20,1,0,"0","0"
"Brazil",2020-02-27,297,322,347,22,1,0,"0","0"
"Brazil",2020-02-28,326,354,382,24,1,0,"0","0"
"Brazil",2020-02-29,358,388,418,27,2,0,"0","0"
"Brazil",2020-03-01,394,427,460,29,2,0,"0","0"
"Brazil",2020-03-02,433,469,505,32,2,0,"0","0"
"Brazil",2020-03-03,475,515,555,35,2,0,"0","0"
"Brazil",2020-03-04,521,565,609,39,3,0,"0","0"
"Brazil",2020-03-05,573,621,669,43,8,0,"0","0"
"Brazil",2020-03-06,629,682,735,47,13,0,"0","0"
"Brazil",2020-03-07,691,749,807,51,13,0,"0","0"
"Brazil",2020-03-08,759,823,887,57,25,0,"0","0"
"Brazil",2020-03-09,833,903,973,62,25,0,"0","0"
"Brazil",2020-03-10,915,992,1069,68,34,0,"0","0"
"Brazil",2020-03-11,1005,1090,1175,75,52,0,"0","0"
"Brazil",2020-03-12,1103,1196,1289,82,77,0,"0","0"
"Brazil",2020-03-13,1212,1314,1416,90,98,0,"0","0"
"Brazil",2020-03-14,1331,1443,1555,99,121,0,"0","0"
"Brazil",2020-03-15,1461,1584,1707,109,200,0,"0","0"
