"data","boletim","Municipio_deResidencia","Casoconfirmado","CasoDescartado","Casosuspeito","Total"
"30/03/2020","32","Afonso Cláudio","0","1","0","1"
"30/03/2020","32","Água Doce do Norte","0","1","2","3"
"30/03/2020","32","Alegre","0","2","1","3"
"30/03/2020","32","Alfredo Chaves","0","4","2","6"
"30/03/2020","32","Anchieta","0","1","5","6"
"30/03/2020","32","Apiacá","0","0","18","18"
"30/03/2020","32","Aracruz","0","7","6","13"
"30/03/2020","32","Atílio Vivácqua","0","2","0","2"
"30/03/2020","32","Barra de São Francisco","0","3","2","5"
"30/03/2020","32","Boa Esperança","0","1","0","1"
"30/03/2020","32","Bom Jesus do Norte","0","0","11","11"
"30/03/2020","32","Cachoeiro de Itapemirim","1","17","22","40"
"30/03/2020","32","Cariacica","3","51","98","152"
"30/03/2020","32","Castelo","1","4","7","12"
"30/03/2020","32","Colatina","0","11","13","24"
"30/03/2020","32","Divino de São Lourenço","0","1","0","1"
"30/03/2020","32","Domingos Martins","0","5","6","11"
"30/03/2020","32","Dores do Rio Preto","0","1","0","1"
"30/03/2020","32","Ecoporanga","0","0","1","1"
"30/03/2020","32","Fundão","0","0","16","16"
"30/03/2020","32","Guaçuí","0","4","1","5"
"30/03/2020","32","Guarapari","1","15","7","23"
"30/03/2020","32","Ibiraçu","0","0","1","1"
"30/03/2020","32","Iconha","0","1","5","6"
"30/03/2020","32","Itaguaçu","0","1","0","1"
"30/03/2020","32","Itapemirim","1","2","1","4"
"30/03/2020","32","Itarana","0","1","1","2"
"30/03/2020","32","Jaguaré","0","2","1","3"
"30/03/2020","32","Jerônimo Monteiro","0","1","1","2"
"30/03/2020","32","João Neiva","0","0","3","3"
"30/03/2020","32","Laranja da Terra","0","1","0","1"
"30/03/2020","32","Linhares","4","51","95","150"
"30/03/2020","32","Mantenópolis","0","0","1","1"
"30/03/2020","32","Marataízes","0","3","2","5"
"30/03/2020","32","Marechal Floriano","0","0","3","3"
"30/03/2020","32","Marilândia","0","0","5","5"
"30/03/2020","32","Mimoso do Sul","0","1","5","6"
"30/03/2020","32","Montanha","0","0","4","4"
"30/03/2020","32","Muniz Freire","0","2","0","2"
"30/03/2020","32","Muqui","0","0","1","1"
"30/03/2020","32","Pancas","0","1","2","3"
"30/03/2020","32","Pedro Canário","0","1","2","3"
"30/03/2020","32","Pinheiros","0","2","7","9"
"30/03/2020","32","Piúma","0","3","11","14"
"30/03/2020","32","Ponto Belo","0","1","0","1"
"30/03/2020","32","Rio Bananal","0","2","2","4"
"30/03/2020","32","Rio Novo do Sul","0","1","1","2"
"30/03/2020","32","Santa Maria de Jetibá","0","5","1","6"
"30/03/2020","32","Santa Teresa","1","1","0","2"
"30/03/2020","32","São Gabriel da Palha","0","1","0","1"
"30/03/2020","32","São Mateus","1","8","6","15"
"30/03/2020","32","São Roque do Canaã","1","0","1","2"
"30/03/2020","32","Serra","13","66","275","354"
"30/03/2020","32","Vargem Alta","0","1","1","2"
"30/03/2020","32","Venda Nova do Imigrante","0","3","2","5"
"30/03/2020","32","Viana","0","7","39","46"
"30/03/2020","32","Vila Pavão","0","1","0","1"
"30/03/2020","32","Vila Velha","31","167","226","424"
"30/03/2020","32","Vitória","26","139","118","283"
"30/03/2020","32","Nova Venécia","0","4","2","6"
"30/03/2020","32","São José do Calçado","0","0","1","1"
"30/03/2020","32","Governador Lindenberg","0","0","1","1"
"30/03/2020","32","Caso do Rio de Janeiro identificado em Vitória*","1","-","-","-"
"30/03/2020","32","Total","84 + 1*","611","1.045","1.741"
