"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-05-24,6097,6152,6124,6342,5906,6214
2020-05-25,6551,6602,6576,6810,6342,6682
2020-05-26,7038,7082,7060,7311,6809,7058
2020-05-27,7563,7592,7578,7847,7309,7580
2020-05-28,8126,8136,8131,8420,7842,8055
2020-05-29,8731,8714,8722,9032,8412,8618
2020-05-30,9381,9327,9354,9686,9022,9223
2020-05-31,10079,9978,10028,10384,9672,10288
2020-06-01,10830,10667,10748,11130,10366,NA
2020-06-02,11636,11397,11516,11925,11107,NA
2020-06-03,12503,12168,12336,12774,11898,NA
2020-06-04,13434,12981,13208,13677,12739,NA
2020-06-05,14434,13837,14136,14638,13634,NA
2020-06-06,15509,14738,15124,15661,14587,NA
2020-06-07,16663,15684,16174,16749,15599,NA
