"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-05-04,7446,7570,7508,8193,6823,7242
2020-05-05,8124,8243,8184,8930,7438,8109
2020-05-06,8864,8968,8916,9729,8103,9243
2020-05-07,9671,9747,9709,10594,8824,10099
2020-05-08,10552,10584,10568,11532,9604,10727
2020-05-09,11514,11478,11496,12544,10448,11925
2020-05-10,12562,12434,12498,13638,11358,12599
2020-05-11,13707,13452,13580,14818,12342,12919
2020-05-12,14955,14533,14744,16088,13400,NA
2020-05-13,16318,15679,15998,17457,14539,NA
2020-05-14,17804,16889,17346,18928,15764,NA
2020-05-15,19426,18164,18795,20509,17081,NA
2020-05-16,21195,19501,20348,22203,18493,NA
2020-05-17,23126,20899,22012,24019,20005,NA
2020-05-18,25233,22357,23795,25965,21625,NA
