"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-05-05,1716,1791,1754,1887,1621,1931
2020-05-06,1867,1941,1904,2048,1760,2046
2020-05-07,2032,2098,2065,2221,1909,2199
2020-05-08,2211,2262,2236,2405,2067,2322
2020-05-09,2406,2431,2418,2601,2235,2493
2020-05-10,2618,2605,2612,2809,2415,2613
2020-05-11,2849,2784,2816,3029,2603,2671
2020-05-12,3100,2965,3032,3261,2803,2910
2020-05-13,3373,3148,3260,3506,3014,NA
2020-05-14,3670,3332,3501,3766,3236,NA
2020-05-15,3994,3516,3755,4039,3471,NA
2020-05-16,4346,3698,4022,4326,3718,NA
2020-05-17,4730,3878,4304,4629,3979,NA
2020-05-18,5147,4054,4600,4948,4252,NA
2020-05-19,5600,4225,4912,5283,4541,NA
