"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-06-04,23590,23983,23786,25210,22362,23463
2020-06-05,24957,25246,25102,26605,23599,26419
2020-06-06,26402,26554,26478,28064,24892,27396
2020-06-07,27931,27907,27919,29591,26247,28250
2020-06-08,29549,29305,29427,31189,27665,28715
2020-06-09,31260,30746,31003,32860,29146,30481
2020-06-10,33070,32229,32650,34605,30695,32685
2020-06-11,34986,33753,34370,36428,32312,33891
2020-06-12,37012,35316,36164,38330,33998,NA
2020-06-13,39156,36916,38036,40314,35758,NA
2020-06-14,41423,38550,39986,42381,37591,NA
2020-06-15,43822,40216,42019,44535,39503,NA
2020-06-16,46360,41912,44136,46779,41493,NA
2020-06-17,49045,43633,46339,49114,43564,NA
2020-06-18,51886,45377,48632,51544,45720,NA
