"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,5642,1333,3488,3797,3179,2
2020-03-03,5927,1431,3679,4005,3353,2
2020-03-04,6226,1536,3881,4225,3537,3
2020-03-05,6541,1648,4094,4456,3732,8
2020-03-06,6872,1769,4320,4702,3938,13
2020-03-07,7219,1899,4559,4963,4155,13
2020-03-08,7584,2038,4811,5237,4385,25
2020-03-09,7967,2187,5077,5526,4628,25
2020-03-10,8370,2347,5358,5832,4884,34
2020-03-11,8793,2519,5656,6157,5155,52
2020-03-12,9237,2704,5970,6498,5442,77
2020-03-13,9704,2901,6302,6860,5744,98
2020-03-14,10194,3114,6654,7243,6065,121
2020-03-15,10709,3342,7026,7648,6404,200
2020-03-16,11251,3586,7418,8075,6761,234
2020-03-17,11819,3849,7834,8527,7141,291
2020-03-18,12416,4130,8273,9005,7541,428
2020-03-19,13044,4433,8738,9512,7964,621
2020-03-20,13703,4757,9230,10047,8413,904
2020-03-21,14396,5105,9750,10613,8887,1128
2020-03-22,15123,5478,10300,11212,9388,1546
2020-03-23,15887,5878,10882,11845,9919,1891
2020-03-24,16690,6307,11498,12516,10480,2201
2020-03-25,17534,6768,12151,13227,11075,2433
2020-03-26,18420,7262,12841,13978,11704,2915
2020-03-27,19351,7792,13572,14773,12371,3417
2020-03-28,20328,8361,14344,15614,13074,3904
2020-03-29,21356,8970,15163,16505,13821,4256
2020-03-30,22435,9624,16030,17449,14611,4579
2020-03-31,23569,10326,16948,18448,15448,5717
2020-04-01,24760,11078,17919,19505,16333,6836
2020-04-02,26011,11884,18948,20625,17271,7910
2020-04-03,27326,12748,20037,21811,18263,9056
2020-04-04,28707,13675,21191,23067,19315,10278
2020-04-05,30157,14668,22412,24396,20428,11130
2020-04-06,31681,15733,23707,25806,21608,12056
2020-04-07,33282,16875,25078,27298,22858,13717
2020-04-08,34964,18098,26531,28880,24182,15927
2020-04-09,36731,19408,28070,30555,25585,17857
2020-04-10,38588,20812,29700,32329,27071,19638
2020-04-11,40538,22316,31427,34209,28645,20727
2020-04-12,42586,23928,33257,36201,30313,22169
2020-04-13,44738,25653,35196,38312,32080,23430
2020-04-14,46999,27500,37250,40547,33953,25262
2020-04-15,49374,29478,39426,42916,35936,28320
2020-04-16,51870,31595,41732,45426,38038,30425
2020-04-17,54491,33861,44176,48087,40265,33682
2020-04-18,57245,36285,46765,50905,42625,36599
2020-04-19,60138,38878,49508,53891,45125,38654
2020-04-20,63177,41651,52414,57054,47774,40581
2020-04-21,66369,44615,55492,60404,50580,43079
2020-04-22,69723,47784,58754,63955,53553,45757
2020-04-23,73247,51170,62208,67715,56701,49492
2020-04-24,76949,54787,65868,71699,60037,52995
2020-04-25,80837,58649,69743,75917,63569,58509
2020-04-26,84922,62771,73846,80383,67309,61888
2020-04-27,89214,67170,78192,85114,71270,66501
2020-04-28,93723,71862,82792,90121,75463,71886
2020-04-29,98459,76863,87661,95421,79901,78162
2020-04-30,103435,82193,92814,101030,84598,85380
2020-05-01,108662,87869,98266,106965,89567,91589
2020-05-02,114153,93911,104032,113241,94823,96559
2020-05-03,119922,100339,110130,119879,100381,101147
2020-05-04,125982,107174,116578,126898,106258,107780
2020-05-05,132349,114436,123392,134315,112469,114715
2020-05-06,139038,122147,130592,142152,119032,125218
2020-05-07,146064,130328,138196,150429,125963,135106
2020-05-08,153445,139002,146224,159168,133280,145328
2020-05-09,161200,148191,154696,168390,141002,155939
2020-05-10,169346,157916,163631,178116,149146,162699
2020-05-11,177904,168200,173052,188371,157733,168331
2020-05-12,186895,179064,182980,199178,166782,177589
2020-05-13,196340,190530,193435,210558,176312,188974
2020-05-14,206262,202617,204440,222537,186343,202918
2020-05-15,216686,215344,216015,235137,196893,218223
2020-05-16,227636,228729,228182,248381,207983,233142
2020-05-17,239140,242789,240964,262295,219633,241080
2020-05-18,251225,257538,254382,276900,231864,254220
2020-05-19,263921,272987,268454,292218,244690,271628
2020-05-20,277259,289148,283204,308274,258134,291579
2020-05-21,291270,306025,298648,325085,272211,310087
2020-05-22,305990,323624,314807,342674,286940,330890
2020-05-23,321453,341945,331699,361062,302336,347398
2020-05-24,337698,360984,349341,380265,318417,363211
2020-05-25,354764,380733,367748,400302,335194,374898
2020-05-26,372693,401182,386938,421190,352686,391222
2020-05-27,391527,422313,406920,442941,370899,411821
2020-05-28,411313,444107,427710,465572,389848,438238
2020-05-29,432100,466537,449318,489092,409544,465166
2020-05-30,453936,489573,471754,513514,429994,498440
2020-05-31,476876,513180,495028,538849,451207,514849
2020-06-01,500976,537319,519148,565104,473192,526447
2020-06-02,526293,561945,544119,592285,495953,555383
2020-06-03,552890,587009,569950,620403,519497,584016
2020-06-04,580831,612460,596646,649462,543830,614932
2020-06-05,610183,638240,624212,679468,568956,645762
2020-06-06,641020,664290,652655,710429,594881,672837
2020-06-07,673414,690549,681982,742352,621612,691758
2020-06-08,707446,716953,712200,775245,649155,707412
2020-06-09,743197,743436,743316,809116,677516,739503
2020-06-10,780756,769932,775344,843979,706709,772416
2020-06-11,820212,796375,808294,879846,736742,802828
2020-06-12,861662,822698,842180,916731,767629,828810
2020-06-13,905207,848838,877022,954657,799387,850514
2020-06-14,950953,874732,912842,993648,832036,867624
2020-06-15,999010,900319,949664,1033730,865598,NA
2020-06-16,1049496,925541,987518,1074935,900101,NA
2020-06-17,1102533,950346,1026440,1117302,935578,NA
2020-06-18,1158251,974681,1066466,1160871,972061,NA
2020-06-19,1216785,998503,1107644,1205695,1009593,NA
2020-06-20,1278276,1021768,1150022,1251824,1048220,NA
2020-06-21,1342875,1044440,1193658,1299323,1087993,NA
