"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-07-13,139275,137880,138578,159844,117312,137206
2020-07-14,142942,139305,141124,162780,119468,139437
2020-07-15,146705,140678,143692,165742,121642,141248
2020-07-16,150567,141999,146283,168731,123835,144000
2020-07-17,154531,143270,148900,171750,126050,145938
2020-07-18,158599,144492,151546,174802,128290,146544
2020-07-19,162775,145664,154220,177886,130554,146972
2020-07-20,167060,146789,156924,181005,132843,147566
2020-07-21,171458,147868,159663,184164,135162,148986
2020-07-22,175972,148901,162436,187363,137509,153108
2020-07-23,180605,149890,165248,190606,139890,156242
2020-07-24,185360,150836,168098,193894,142302,NA
2020-07-25,190240,151740,170990,197229,144751,NA
2020-07-26,195248,152604,173926,200616,147236,NA
2020-07-27,200389,153429,176909,204057,149761,NA
2020-07-28,205664,154216,179940,207553,152327,NA
2020-07-29,211079,154967,183023,211109,154937,NA
2020-07-30,216636,155683,186160,214727,157593,NA
2020-07-31,222339,156366,189352,218409,160295,NA
2020-08-01,228193,157015,192604,222160,163048,NA
2020-08-02,234200,157634,195917,225982,165852,NA
