"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,51746,81883,66814,80532,53096,80261
2020-03-03,52271,82008,67140,80924,53356,80380
2020-03-04,52803,82109,67456,81305,53607,80497
2020-03-05,53339,82191,67765,81678,53852,80667
2020-03-06,53881,82257,68069,82044,54094,80768
2020-03-07,54429,82310,68370,82407,54333,80814
2020-03-08,54982,82353,68668,82766,54570,80859
2020-03-09,55540,82388,68964,83123,54805,80879
2020-03-10,56105,82416,69260,83480,55040,80908
2020-03-11,56675,82438,69556,83837,55275,80932
2020-03-12,57251,82457,69854,84196,55512,80954
2020-03-13,57833,82471,70152,84555,55749,80973
2020-03-14,58420,82483,70452,84916,55988,80995
2020-03-15,59014,82493,70754,85280,56228,81020
2020-03-16,59614,82501,71058,85647,56469,81063
2020-03-17,60219,82507,71363,86014,56712,81086
2020-03-18,60831,82512,71672,86387,56957,81130
2020-03-19,61449,82516,71982,86761,57203,81229
2020-03-20,62074,82519,72296,87139,57453,81281
2020-03-21,62705,82522,72614,87522,57706,81346
2020-03-22,63342,82524,72933,87907,57959,81484
2020-03-23,63986,82526,73256,88296,58216,81553
2020-03-24,64636,82527,73582,88689,58475,81631
2020-03-25,65293,82528,73910,89084,58736,81733
2020-03-26,65956,82529,74242,89485,58999,81827
2020-03-27,66626,82530,74578,89890,59266,81946
2020-03-28,67303,82530,74916,90297,59535,82059
2020-03-29,67987,82531,75259,90710,59808,82157
2020-03-30,68678,82531,75604,91126,60082,82241
2020-03-31,69376,82531,75954,91548,60360,82295
2020-04-01,70081,82532,76306,91972,60640,82395
2020-04-02,70793,82532,76662,92401,60923,82465
2020-04-03,71512,82532,77022,92835,61209,82527
2020-04-04,72239,82532,77386,93274,61498,82575
2020-04-05,72973,82532,77752,93715,61789,82642
2020-04-06,73715,82532,78124,94164,62084,82698
2020-04-07,74464,82532,78498,94614,62382,82784
2020-04-08,75221,82532,78876,95070,62682,82870
2020-04-09,75985,82532,79258,95530,62986,82925
2020-04-10,76757,82532,79644,95996,63292,83004
2020-04-11,77537,82532,80034,96466,63602,83097
2020-04-12,78325,82533,80429,96942,63916,83209
2020-04-13,79121,82533,80827,97422,64232,83303
2020-04-14,79925,82533,81229,97906,64552,83352
2020-04-15,80737,82533,81635,98395,64875,83402
2020-04-16,81557,82533,82045,98890,65200,83754
2020-04-17,82386,82533,82460,99390,65530,83785
2020-04-18,83223,82533,82878,99894,65862,83803
2020-04-19,84069,82533,83301,100403,66199,83817
2020-04-20,84923,82533,83728,100918,66538,83849
2020-04-21,85786,82533,84160,101439,66881,83864
2020-04-22,86658,82533,84596,101964,67228,83876
2020-04-23,87539,82533,85036,102495,67577,83884
2020-04-24,88428,82533,85480,103030,67930,83899
2020-04-25,89327,82533,85930,103572,68288,83909
2020-04-26,90234,82533,86384,104119,68649,83912
2020-04-27,91151,82533,86842,104671,69013,83938
2020-04-28,92078,82533,87306,105231,69381,83940
2020-04-29,93013,82533,87773,105794,69752,83944
2020-04-30,93958,82533,88246,106364,70128,83956
2020-05-01,94913,82533,88723,106939,70507,83959
2020-05-02,95878,82533,89206,107521,70891,83961
2020-05-03,96852,82533,89692,108107,71277,83964
2020-05-04,97836,82533,90184,108700,71668,83966
2020-05-05,98830,82533,90682,109300,72064,83968
2020-05-06,99835,82533,91184,109905,72463,83970
2020-05-07,100849,82533,91691,110516,72866,83976
2020-05-08,101874,82533,92204,111134,73274,83976
2020-05-09,102909,82533,92721,111757,73685,83991
2020-05-10,103955,82533,93244,112388,74100,84010
2020-05-11,105011,82533,93772,113024,74520,84011
2020-05-12,106078,82533,94306,113668,74944,84018
2020-05-13,107156,82533,94844,114316,75372,84024
2020-05-14,108245,82533,95389,114973,75805,84029
2020-05-15,109345,82533,95939,115636,76242,82933
2020-05-16,110456,82533,96494,116305,76683,NA
2020-05-17,111579,82533,97056,116983,77129,NA
2020-05-18,112713,82533,97623,117666,77580,NA
2020-05-19,113858,82533,98196,118357,78035,NA
2020-05-20,115015,82533,98774,119053,78495,NA
2020-05-21,116184,82533,99358,119757,78959,NA
2020-05-22,117364,82533,99948,120468,79428,NA
