"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-04-17,736,784,760,912,608,746
2020-04-18,780,810,795,954,636,762
2020-04-19,827,834,830,996,664,827
2020-04-20,877,856,866,1039,693,872
2020-04-21,930,877,904,1084,724,881
2020-04-22,985,897,941,1129,753,946
2020-04-23,1045,916,980,1175,785,963
2020-04-24,1107,933,1020,1223,817,989
2020-04-25,1174,949,1062,1274,850,NA
2020-04-26,1244,963,1104,1324,884,NA
2020-04-27,1319,977,1148,1377,919,NA
2020-04-28,1398,989,1194,1432,956,NA
2020-04-29,1482,1000,1241,1489,993,NA
2020-04-30,1571,1010,1290,1547,1033,NA
2020-05-01,1666,1020,1343,1611,1075,NA
