"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,9104,973,5038,6206,3870,157
2020-03-03,9689,1149,5419,6676,4162,196
2020-03-04,10311,1357,5834,7187,4481,262
2020-03-05,10973,1602,6288,7746,4830,400
2020-03-06,11677,1891,6784,8357,5211,684
2020-03-07,12427,2231,7329,9029,5629,847
2020-03-08,13225,2631,7928,9767,6089,902
2020-03-09,14074,3102,8588,10580,6596,1139
2020-03-10,14977,3654,9316,11477,7155,1296
2020-03-11,15939,4301,10120,12467,7773,1567
2020-03-12,16962,5059,11010,13564,8456,2369
2020-03-13,18051,5945,11998,14781,9215,3062
2020-03-14,19210,6978,13094,16131,10057,3795
2020-03-15,20443,8179,14311,17630,10992,4838
2020-03-16,21756,9574,15665,19298,12032,6012
2020-03-17,23152,11186,17169,21151,13187,7156
2020-03-18,24639,13043,18841,23211,14471,8198
2020-03-19,26221,15174,20698,25498,15898,14138
2020-03-20,27904,17605,22754,28031,17477,18187
2020-03-21,29695,20364,25030,30835,19225,21463
2020-03-22,31602,23474,27538,33925,21151,24774
2020-03-23,33630,26956,30293,37319,23267,29212
2020-03-24,35790,30821,33306,41031,25581,31554
2020-03-25,38087,35073,36580,45064,28096,36508
2020-03-26,40532,39705,40118,49422,30814,42288
2020-03-27,43135,44695,43915,54100,33730,48582
2020-03-28,45904,50011,47958,59081,36835,52547
2020-03-29,48851,55602,52226,64339,40113,57298
2020-03-30,51987,61407,56697,69847,43547,61913
2020-03-31,55324,67352,61338,75564,47112,67366
2020-04-01,58876,73358,66117,81451,50783,73522
2020-04-02,62656,79339,70998,87464,54532,79696
2020-04-03,66678,85215,75946,93560,58332,85778
2020-04-04,70959,90907,80933,99704,62162,91714
2020-04-05,75515,96349,85932,105862,66002,95391
2020-04-06,80363,101486,90924,112012,69836,99225
2020-04-07,85522,106277,95900,118142,73658,103228
2020-04-08,91012,110696,100854,124245,77463,108202
2020-04-09,96855,114730,105792,130328,81256,113525
2020-04-10,103073,118377,110725,136405,85045,117658
2020-04-11,109690,121647,115668,142495,88841,120479
2020-04-12,116732,124556,120644,148625,92663,123016
2020-04-13,124227,127126,125676,154824,96528,125098
2020-04-14,132202,129384,130793,161127,100459,127584
2020-04-15,140689,131356,136022,167569,104475,130450
2020-04-16,149721,133072,141396,174190,108602,133830
2020-04-17,159333,134558,146946,181027,112865,137439
2020-04-18,169562,135840,152701,188117,117285,143160
2020-04-19,180448,136944,158696,195502,121890,NA
2020-04-20,192033,137891,164962,203221,126703,NA
2020-04-21,204361,138702,171532,211315,131749,NA
2020-04-22,217481,139396,178438,219823,137053,NA
2020-04-23,231443,139987,185715,228787,142643,NA
2020-04-24,246301,140492,193396,238250,148542,NA
2020-04-25,262114,140921,201518,248256,154780,NA
