"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-05-23,2345,2344,2344,2471,2217,2377
2020-05-24,2476,2475,2476,2610,2342,2443
2020-05-25,2613,2613,2613,2755,2471,2512
2020-05-26,2759,2758,2758,2907,2609,2671
2020-05-27,2913,2912,2912,3070,2754,2843
2020-05-28,3075,3074,3074,3241,2907,3090
2020-05-29,3246,3245,3246,3422,3070,3319
2020-05-30,3426,3425,3426,3612,3240,3585
2020-05-31,3617,3616,3616,3812,3420,NA
2020-06-01,3819,3817,3818,4025,3611,NA
2020-06-02,4031,4029,4030,4248,3812,NA
2020-06-03,4256,4253,4254,4485,4023,NA
2020-06-04,4492,4489,4490,4733,4247,NA
2020-06-05,4742,4739,4740,4997,4483,NA
2020-06-06,5006,5003,5004,5275,4733,NA
