"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,54473,11104,32788,40412,25164,2036
2020-03-03,55386,12107,33746,41592,25900,2502
2020-03-04,56314,13196,34755,42836,26674,3089
2020-03-05,57258,14375,35816,44144,27488,3858
2020-03-06,58218,15653,36936,45524,28348,4636
2020-03-07,59193,17036,38114,46976,29252,5883
2020-03-08,60186,18529,39358,48509,30207,7375
2020-03-09,61194,20142,40668,50124,31212,9172
2020-03-10,62220,21881,42050,51827,32273,10149
2020-03-11,63263,23752,43508,53624,33392,12462
2020-03-12,64323,25764,45044,55517,34571,15113
2020-03-13,65401,27924,46662,57511,35813,17660
2020-03-14,66497,30237,48367,59613,37121,21157
2020-03-15,67612,32712,50162,61825,38499,23980
2020-03-16,68745,35353,52049,64151,39947,27980
2020-03-17,69897,38167,54032,66595,41469,31506
2020-03-18,71069,41157,56113,69160,43066,35713
2020-03-19,72260,44327,58294,71848,44740,41035
2020-03-20,73471,47681,60576,74661,46491,47021
2020-03-21,74702,51218,62960,77599,48321,53578
2020-03-22,75954,54940,65447,80664,50230,59138
2020-03-23,77227,58842,68034,83853,52215,63927
2020-03-24,78522,62923,70722,87166,54278,69176
2020-03-25,79838,67177,73508,90599,56417,74386
2020-03-26,81176,71595,76386,94147,58625,80539
2020-03-27,82536,76169,79352,97802,60902,86498
2020-03-28,83920,80886,82403,101563,63243,92472
2020-03-29,85326,85734,85530,105417,65643,97689
2020-03-30,86756,90696,88726,109356,68096,101739
2020-03-31,88211,95756,91984,113371,70597,105792
2020-04-01,89689,100895,95292,117448,73136,110574
2020-04-02,91192,106093,98642,121577,75707,115242
2020-04-03,92721,111329,102025,125747,78303,119827
2020-04-04,94275,116582,105428,129941,80915,124632
2020-04-05,95855,121831,108843,134150,83536,128948
2020-04-06,97461,127052,112256,138357,86155,132547
2020-04-07,99095,132226,115660,142552,88768,135586
2020-04-08,100756,137332,119044,146723,91365,139422
2020-04-09,102444,142350,122397,150856,93938,143626
2020-04-10,104161,147263,125712,154941,96483,147577
2020-04-11,105907,152053,128980,158969,98991,152271
2020-04-12,107682,156707,132194,162931,101457,156363
2020-04-13,109487,161212,135350,166820,103880,159516
2020-04-14,111322,165557,138440,170629,106251,162488
2020-04-15,113188,169734,141461,174352,108570,165155
2020-04-16,115085,173735,144410,177987,110833,168941
2020-04-17,117014,177556,147285,181530,113040,172434
2020-04-18,118975,181194,150084,184980,115188,175925
2020-04-19,120969,184649,152809,188339,117279,178972
2020-04-20,122997,187919,155458,191604,119312,181228
2020-04-21,125058,191008,158033,194777,121289,183957
2020-04-22,127154,193918,160536,197862,123210,187327
2020-04-23,129285,196653,162969,200861,125077,189973
2020-04-24,131452,199219,165336,203778,126894,192994
2020-04-25,133655,201620,167638,206616,128660,195351
2020-04-26,135895,203863,169879,209378,130380,197675
2020-04-27,138173,205955,172064,212071,132057,199414
2020-04-28,140489,207903,174196,214699,133693,201505
2020-04-29,142844,209714,176279,217266,135292,203591
2020-04-30,145238,211394,178316,219776,136856,205463
2020-05-01,147672,212952,180312,222237,138387,207428
2020-05-02,150147,214395,182271,224651,139891,209328
2020-05-03,152664,215729,184196,227024,141368,210717
2020-05-04,155222,216962,186092,229360,142824,211938
2020-05-05,157824,218100,187962,231665,144259,213013
2020-05-06,160469,219149,189809,233942,145676,214457
2020-05-07,163159,220116,191638,236196,147080,215858
2020-05-08,165893,221006,193450,238429,148471,217185
2020-05-09,168674,221825,195250,240648,149852,218268
2020-05-10,171501,222578,197040,242854,151226,219070
2020-05-11,174375,223270,198822,245050,152594,219814
2020-05-12,177298,223905,200602,247244,153960,221216
2020-05-13,180269,224488,202378,249433,155323,222104
2020-05-14,183291,225024,204158,251627,156689,223096
2020-05-15,186363,225514,205938,253821,158055,223885
2020-05-16,189486,225964,207725,256023,159427,224760
2020-05-17,192662,226377,209520,258236,160804,225435
2020-05-18,195891,226754,211322,260457,162187,225886
2020-05-19,199174,227100,213137,262694,163580,226699
2020-05-20,202513,227417,214965,264947,164983,227364
2020-05-21,205907,227707,216807,267217,166397,228006
2020-05-22,209358,227972,218665,269507,167823,228658
2020-05-23,212867,228215,220541,271819,169263,229327
2020-05-24,216435,228437,222436,274155,170717,229858
2020-05-25,220062,228641,224352,276516,172188,230158
2020-05-26,223750,228826,226288,278902,173674,230555
2020-05-27,227501,228996,228248,281318,175178,231139
2020-05-28,231314,229152,230233,283765,176701,231732
2020-05-29,235191,229294,232242,286241,178243,232248
2020-05-30,239132,229423,234278,288750,179806,232664
2020-05-31,243140,229542,236341,291293,181389,233019
2020-06-01,247216,229650,238433,293871,182995,233197
2020-06-02,251359,229749,240554,296485,184623,233515
2020-06-03,255572,229840,242706,299138,186274,233836
2020-06-04,259855,229923,244889,301828,187950,234013
2020-06-05,264211,229998,247104,304558,189650,234531
2020-06-06,268639,230067,249353,307330,191376,234801
2020-06-07,273141,230130,251636,310144,193128,234998
2020-06-08,277719,230188,253954,313001,194907,235278
2020-06-09,282374,230240,256307,315901,196713,235561
2020-06-10,287107,230288,258698,318848,198548,235763
2020-06-11,291919,230332,261126,321841,200411,236142
2020-06-12,296812,230372,263592,324880,202304,236305
2020-06-13,301786,230409,266098,327969,204227,236651
2020-06-14,306844,230442,268643,331105,206181,236989
2020-06-15,311987,230473,271230,334294,208166,237290
2020-06-16,317216,230501,273858,337533,210183,237500
2020-06-17,322533,230526,276530,340826,212234,NA
2020-06-18,327939,230549,279244,344171,214317,NA
2020-06-19,333435,230571,282003,347572,216434,NA
2020-06-20,339024,230590,284807,351028,218586,NA
2020-06-21,344706,230608,287657,354540,220774,NA
2020-06-22,350483,230624,290554,358111,222997,NA
2020-06-23,356357,230639,293498,361740,225256,NA
