"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-07-02,48732,49603,49168,51219,47117,50707
2020-07-03,51125,51907,51516,53665,49367,53351
2020-07-04,53637,54295,53966,56217,51715,55958
2020-07-05,56271,56768,56520,58878,54162,58283
2020-07-06,59035,59327,59181,61650,56712,59626
2020-07-07,61935,61972,61954,64539,59369,60897
2020-07-08,64977,64703,64840,67545,62135,64035
2020-07-09,68169,67522,67846,70676,65016,66864
2020-07-10,71518,70427,70972,73933,68011,70086
2020-07-11,75031,73418,74224,77321,71127,73813
2020-07-12,78716,76494,77605,80843,74367,75851
2020-07-13,82583,79654,81118,84502,77734,NA
2020-07-14,86639,82897,84768,88304,81232,NA
2020-07-15,90895,86222,88558,92253,84863,NA
2020-07-16,95360,89625,92492,96351,88633,NA
2020-07-17,100044,93105,96574,100603,92545,NA
2020-07-18,104958,96659,100808,105014,96602,NA
2020-07-19,110114,100284,105199,109588,100810,NA
2020-07-20,115523,103977,109750,114329,105171,NA
2020-07-21,121197,107733,114465,119240,109690,NA
2020-07-22,127151,111549,119350,124329,114371,NA
