"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-07-03,8879,9311,9095,10499,7691,9388
2020-07-04,9328,9714,9521,10991,8051,9910
2020-07-05,9799,10122,9960,11498,8422,10089
2020-07-06,10294,10536,10415,12023,8807,10253
2020-07-07,10813,10955,10884,12565,9203,10687
2020-07-08,11359,11376,11368,13123,9613,11063
2020-07-09,11933,11801,11867,13700,10034,11671
2020-07-10,12536,12227,12382,14294,10470,12261
2020-07-11,13169,12653,12911,14905,10917,12969
2020-07-12,13834,13079,13456,15534,11378,13197
2020-07-13,14532,13504,14018,16183,11853,13461
2020-07-14,15266,13926,14596,16850,12342,NA
2020-07-15,16037,14345,15191,17537,12845,NA
2020-07-16,16847,14759,15803,18243,13363,NA
2020-07-17,17697,15169,16433,18971,13895,NA
2020-07-18,18591,15572,17082,19720,14444,NA
2020-07-19,19530,15969,17750,20491,15009,NA
2020-07-20,20516,16358,18437,21284,15590,NA
2020-07-21,21552,16739,19146,22103,16189,NA
2020-07-22,22640,17111,19876,22945,16807,NA
2020-07-23,23783,17474,20628,23813,17443,NA
