"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-06-11,4873,4881,4877,5066,4688,5092
2020-06-12,5205,5213,5209,5410,5008,5363
2020-06-13,5560,5567,5564,5779,5349,5524
2020-06-14,5938,5945,5942,6172,5712,5861
2020-06-15,6342,6347,6344,6589,6099,6185
2020-06-16,6774,6777,6776,7038,6514,6388
2020-06-17,7235,7234,7234,7514,6954,7124
2020-06-18,7728,7722,7725,8024,7426,7512
2020-06-19,8254,8243,8248,8567,7929,8353
2020-06-20,8816,8797,8806,9147,8465,8962
2020-06-21,9416,9388,9402,9766,9038,9470
2020-06-22,10057,10017,10037,10425,9649,NA
2020-06-23,10742,10687,10714,11128,10300,NA
2020-06-24,11474,11400,11437,11879,10995,NA
2020-06-25,12255,12159,12207,12679,11735,NA
2020-06-26,13089,12967,13028,13532,12524,NA
2020-06-27,13980,13827,13904,14442,13366,NA
2020-06-28,14932,14741,14836,15410,14262,NA
2020-06-29,15949,15712,15830,16442,15218,NA
2020-06-30,17035,16745,16890,17543,16237,NA
2020-07-01,18195,17842,18018,18715,17321,NA
