"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-04-25,284,287,286,307,265,297
2020-04-26,321,325,323,347,299,331
2020-04-27,363,367,365,392,338,364
2020-04-28,410,414,412,442,382,408
2020-04-29,463,466,464,498,430,454
2020-04-30,524,525,524,563,485,513
2020-05-01,592,590,591,634,548,600
2020-05-02,669,661,665,714,616,665
2020-05-03,757,740,748,803,693,NA
2020-05-04,855,827,841,903,779,NA
2020-05-05,967,922,944,1013,875,NA
2020-05-06,1093,1025,1059,1137,981,NA
2020-05-07,1235,1136,1186,1273,1099,NA
2020-05-08,1397,1256,1326,1424,1228,NA
2020-05-09,1579,1384,1482,1591,1373,NA
