"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-07-16,46885,48938,47912,50509,45315,49405
2020-07-17,49020,50788,49904,52609,47199,51321
2020-07-18,51252,52658,51955,54771,49139,53553
2020-07-19,53585,54542,54064,56995,51133,54629
2020-07-20,56024,56439,56232,59280,53184,55909
2020-07-21,58575,58344,58460,61629,55291,57538
2020-07-22,61242,60253,60748,64041,57455,59927
2020-07-23,64030,62163,63096,66516,59676,62004
2020-07-24,66945,64069,65507,69058,61956,64259
2020-07-25,69993,65969,67981,71666,64296,65593
2020-07-26,73179,67858,70518,74341,66695,67220
2020-07-27,76511,69733,73122,77086,69158,NA
2020-07-28,79994,71590,75792,79900,71684,NA
2020-07-29,83636,73426,78531,82788,74274,NA
2020-07-30,87443,75237,81340,85749,76931,NA
2020-07-31,91424,77021,84222,88787,79657,NA
2020-08-01,95586,78775,87180,91906,82454,NA
2020-08-02,99938,80496,90217,95107,85327,NA
2020-08-03,104488,82181,93334,98393,88275,NA
2020-08-04,109245,83829,96537,101770,91304,NA
2020-08-05,114218,85438,99828,105239,94417,NA
