"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-05-06,13201,13633,13417,14268,12566,13295
2020-05-07,14049,14396,14222,15124,13320,14156
2020-05-08,14952,15179,15066,16022,14110,15741
2020-05-09,15912,15981,15946,16958,14934,16929
2020-05-10,16934,16798,16866,17936,15796,17062
2020-05-11,18021,17629,17825,18956,16694,17939
2020-05-12,19179,18471,18825,20019,17631,18486
2020-05-13,20410,19323,19866,21126,18606,18728
2020-05-14,21721,20180,20950,22279,19621,NA
2020-05-15,23116,21040,22078,23479,20677,NA
2020-05-16,24601,21901,23251,24726,21776,NA
2020-05-17,26181,22759,24470,26022,22918,NA
2020-05-18,27862,23612,25737,27370,24104,NA
2020-05-19,29652,24457,27054,28770,25338,NA
2020-05-20,31556,25291,28424,30227,26621,NA
