"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-05-09,1886,1898,1892,2008,1776,1919
2020-05-10,2005,2016,2010,2134,1886,1928
2020-05-11,2132,2140,2136,2267,2005,1989
2020-05-12,2267,2271,2269,2409,2129,2033
2020-05-13,2410,2409,2410,2558,2262,2367
2020-05-14,2562,2554,2558,2715,2401,2537
2020-05-15,2724,2708,2716,2883,2549,2786
2020-05-16,2897,2869,2883,3060,2706,3004
2020-05-17,3080,3038,3059,3247,2871,NA
2020-05-18,3275,3216,3246,3446,3046,NA
2020-05-19,3482,3402,3442,3654,3230,NA
2020-05-20,3702,3598,3650,3875,3425,NA
2020-05-21,3936,3802,3869,4107,3631,NA
2020-05-22,4185,4016,4100,4352,3848,NA
2020-05-23,4449,4240,4344,4611,4077,NA
