"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-07-17,29635,30178,29906,33854,25958,29117
2020-07-18,30572,30622,30597,34636,26558,29117
2020-07-19,31539,31050,31294,35425,27163,29117
2020-07-20,32537,31463,32000,36224,27776,29801
2020-07-21,33566,31860,32713,37031,28395,30642
2020-07-22,34628,32242,33435,37849,29021,32935
2020-07-23,35723,32608,34166,38676,29656,34080
2020-07-24,36853,32960,34906,39514,30298,34873
2020-07-25,38018,33296,35657,40364,30950,35573
2020-07-26,39221,33618,36420,41228,31612,35810
2020-07-27,40461,33925,37193,42103,32283,36148
2020-07-28,41741,34218,37980,42994,32966,NA
2020-07-29,43061,34498,38780,43899,33661,NA
2020-07-30,44423,34765,39594,44821,34367,NA
2020-07-31,45829,35019,40424,45760,35088,NA
2020-08-01,47278,35260,41269,46717,35821,NA
2020-08-02,48773,35490,42132,47694,36570,NA
2020-08-03,50316,35707,43012,48690,37334,NA
2020-08-04,51908,35914,43911,49708,38114,NA
2020-08-05,53549,36110,44830,50748,38912,NA
2020-08-06,55243,36296,45770,51812,39728,NA
