"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-04-28,448,456,452,508,396,425
2020-04-29,494,502,498,560,436,452
2020-04-30,544,551,548,616,480,519
2020-05-01,599,605,602,677,527,602
2020-05-02,660,663,662,744,580,668
2020-05-03,727,726,726,816,636,740
2020-05-04,801,793,797,896,698,806
2020-05-05,882,865,874,983,765,869
2020-05-06,972,943,958,1077,839,NA
2020-05-07,1070,1025,1048,1178,918,NA
2020-05-08,1179,1113,1146,1288,1004,NA
2020-05-09,1298,1205,1252,1408,1096,NA
2020-05-10,1430,1303,1366,1536,1196,NA
2020-05-11,1575,1405,1490,1675,1305,NA
2020-05-12,1735,1512,1624,1826,1422,NA
