"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-04-20,923,980,952,1142,762,904
2020-04-21,977,1011,994,1192,796,923
2020-04-22,1035,1041,1038,1245,831,994
2020-04-23,1097,1069,1083,1299,867,1061
2020-04-24,1162,1095,1128,1353,903,1096
2020-04-25,1231,1120,1176,1411,941,1166
2020-04-26,1304,1143,1224,1468,980,1228
2020-04-27,1381,1164,1272,1526,1018,1286
2020-04-28,1463,1184,1324,1588,1060,NA
2020-04-29,1550,1202,1376,1650,1102,NA
2020-04-30,1642,1219,1430,1715,1145,NA
2020-05-01,1739,1235,1487,1784,1190,NA
2020-05-02,1843,1249,1546,1854,1238,NA
2020-05-03,1952,1262,1607,1927,1287,NA
2020-05-04,2068,1274,1671,2004,1338,NA
