"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,60356,5036,32696,43845,21547,192
2020-03-03,61264,5677,33470,44883,22057,267
2020-03-04,62185,6397,34291,45983,22599,348
2020-03-05,63119,7205,35162,47151,23173,531
2020-03-06,64068,8112,36090,48396,23784,764
2020-03-07,65032,9128,37080,49723,24437,1094
2020-03-08,66009,10266,38138,51142,25134,1527
2020-03-09,67002,11538,39270,52660,25880,2299
2020-03-10,68009,12958,40484,54288,26680,3274
2020-03-11,69031,14542,41786,56034,27538,4427
2020-03-12,70069,16305,43187,57913,28461,5958
2020-03-13,71123,18263,44693,59932,29454,7641
2020-03-14,72192,20435,46314,62106,30522,9785
2020-03-15,73277,22837,48057,64443,31671,11491
2020-03-16,74379,25487,49933,66959,32907,13994
2020-03-17,75497,28403,51950,69664,34236,17688
2020-03-18,76632,31601,54116,72568,35664,21735
2020-03-19,77784,35097,56440,75685,37195,26304
2020-03-20,78954,38904,58929,79022,38836,31750
2020-03-21,80141,43034,61588,82588,40588,36616
2020-03-22,81346,47494,64420,86386,42454,41262
2020-03-23,82569,52288,67428,90419,44437,48953
2020-03-24,83810,57414,70612,94689,46535,57506
2020-03-25,85070,62866,73968,99189,48747,66460
2020-03-26,86349,68632,77490,103912,51068,75641
2020-03-27,87647,74692,81170,108847,53493,83885
2020-03-28,88965,81020,84992,113972,56012,90309
2020-03-29,90302,87584,88943,119271,58615,96122
2020-03-30,91660,94347,93004,124716,61292,104267
2020-03-31,93038,101263,97150,130276,64024,111680
2020-04-01,94437,108285,101361,135923,66799,119263
2020-04-02,95856,115362,105609,141619,69599,126535
2020-04-03,97298,122441,109870,147333,72407,133198
2020-04-04,98760,129469,114114,153024,75204,138731
2020-04-05,100245,136395,118320,158665,77975,142398
2020-04-06,101752,143169,122460,164216,80704,147607
2020-04-07,103282,149749,126516,169655,83377,153190
2020-04-08,104835,156096,130466,174952,85980,158935
2020-04-09,106411,162175,134293,180084,88502,163472
2020-04-10,108011,167963,137987,185038,90936,168022
2020-04-11,109634,173438,141536,189797,93275,171921
2020-04-12,111283,178588,144936,194356,95516,174951
2020-04-13,112956,183405,148180,198706,97654,178067
2020-04-14,114654,187889,151272,202852,99692,182491
2020-04-15,116378,192042,154210,206792,101628,186311
2020-04-16,118127,195872,157000,210534,103466,190129
2020-04-17,119903,199390,159646,214082,105210,193965
2020-04-18,121706,202609,162158,217450,106866,193252
2020-04-19,123536,205544,164540,220645,108435,195470
2020-04-20,125393,208213,166803,223679,109927,198421
2020-04-21,127278,210632,168955,226565,111345,200733
2020-04-22,129192,212819,171006,229315,112697,203649
2020-04-23,131134,214793,172964,231941,113987,205763
2020-04-24,133105,216569,174837,234453,115221,208269
2020-04-25,135106,218165,176636,236865,116407,209910
2020-04-26,137138,219596,178367,239186,117548,211570
2020-04-27,139199,220879,180039,241428,118650,213095
2020-04-28,141292,222025,181658,243599,119717,213942
2020-04-29,143416,223050,183233,245711,120755,215183
2020-04-30,145572,223964,184768,247770,121766,216570
2020-05-01,147761,224779,186270,249784,122756,217804
2020-05-02,149983,225505,187744,251761,123727,218739
2020-05-03,152237,226151,189194,253705,124683,219205
2020-05-04,154526,226726,190626,255625,125627,220244
2020-05-05,156849,227236,192042,257524,126560,221124
2020-05-06,159207,227690,193448,259410,127486,222045
2020-05-07,161601,228093,194847,261286,128408,223218
2020-05-08,164030,228451,196240,263154,129326,223961
2020-05-09,166497,228768,197632,265020,130244,227377
2020-05-10,169000,229049,199024,266887,131161,227770
2020-05-11,171540,229299,200420,268759,132081,228252
2020-05-12,174119,229520,201820,270636,133004,228691
2020-05-13,176737,229716,203226,272522,133930,229540
2020-05-14,179394,229890,204642,274420,134864,230183
2020-05-15,182091,230044,206068,276333,135803,230698
2020-05-16,184829,230180,207504,278258,136750,231350
2020-05-17,187608,230301,208954,280203,137705,231606
2020-05-18,190428,230408,210418,282166,138670,232037
2020-05-19,193291,230502,211896,284148,139644,232555
2020-05-20,196197,230586,213392,286154,140630,233037
2020-05-21,199147,230660,214904,288182,141626,234824
2020-05-22,202141,230726,216434,290233,142635,235290
2020-05-23,205180,230784,217982,292309,143655,235772
2020-05-24,208264,230835,219550,294412,144688,235400
2020-05-25,211395,230881,221138,296541,145735,236259
2020-05-26,214573,230921,222747,298699,146795,236769
2020-05-27,217799,230957,224378,300886,147870,237906
2020-05-28,221074,230988,226031,303103,148959,238564
2020-05-29,224397,231016,227706,305349,150063,239228
2020-05-30,227771,231041,229406,307628,151184,239429
2020-05-31,231195,231063,231129,309939,152319,239638
2020-06-01,234671,231082,232876,312282,153470,239932
2020-06-02,238199,231099,234649,314659,154639,240326
2020-06-03,241780,231114,236447,317070,155824,240660
2020-06-04,245415,231128,238272,319518,157026,240978
2020-06-05,249105,231140,240122,321998,158246,241310
2020-06-06,252850,231150,242000,324517,159483,241550
2020-06-07,256651,231159,243905,327071,160739,241717
2020-06-08,260510,231168,245839,329665,162013,241966
2020-06-09,264427,231175,247801,332296,163306,242280
2020-06-10,268402,231181,249792,334966,164618,242707
2020-06-11,272437,231187,251812,337674,165950,243209
2020-06-12,276533,231192,253862,340423,167301,243605
2020-06-13,280690,231196,255943,343214,168672,243928
2020-06-14,284910,231200,258055,346046,170064,244109
2020-06-15,289194,231204,260199,348921,171477,244328
2020-06-16,293542,231207,262374,351838,172910,244683
2020-06-17,297955,231210,264582,354799,174365,245268
2020-06-18,302434,231212,266823,357804,175842,245575
2020-06-19,306981,231214,269098,360855,177341,245938
2020-06-20,311596,231216,271406,363950,178862,246272
2020-06-21,316281,231218,273750,367093,180407,0
2020-06-22,321036,231219,276128,370282,181974,293584
2020-06-23,325862,231220,278541,373517,183565,NA
2020-06-24,330761,231222,280992,376804,185180,NA
2020-06-25,335734,231223,283478,380138,186818,NA
2020-06-26,340781,231224,286002,383522,188482,NA
2020-06-27,345905,231224,288564,386958,190170,NA
2020-06-28,351105,231225,291165,390446,191884,NA
2020-06-29,356384,231226,293805,393986,193624,NA
2020-06-30,361742,231226,296484,397579,195389,NA
2020-07-01,367180,231227,299204,401226,197182,NA
2020-07-02,372700,231227,301964,404927,199001,NA
