"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-06-04,4677,5004,4840,5165,4515,4881
2020-06-05,4970,5229,5100,5442,4758,5182
2020-06-06,5281,5448,5364,5724,5004,5505
2020-06-07,5612,5661,5636,6014,5258,5644
2020-06-08,5963,5865,5914,6311,5517,5807
2020-06-09,6337,6060,6198,6614,5782,6052
2020-06-10,6734,6246,6490,6925,6055,6257
2020-06-11,7156,6422,6789,7244,6334,6529
2020-06-12,7604,6587,7096,7572,6620,NA
2020-06-13,8080,6743,7412,7909,6915,NA
2020-06-14,8587,6888,7738,8257,7219,NA
2020-06-15,9124,7024,8074,8615,7533,NA
2020-06-16,9696,7149,8422,8987,7857,NA
2020-06-17,10303,7265,8784,9373,8195,NA
2020-06-18,10949,7372,9160,9774,8546,NA
