"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,183348,36576,109962,133151,86773,103
2020-03-03,188096,39151,113624,137585,89663,125
2020-03-04,192967,41904,117436,142201,92671,159
2020-03-05,197964,44846,121405,147007,95803,233
2020-03-06,203091,47989,125540,152014,99066,338
2020-03-07,208350,51347,129848,157231,102465,433
2020-03-08,213746,54934,134340,162670,106010,554
2020-03-09,219281,58763,139022,168339,109705,754
2020-03-10,224960,62850,143905,174252,113558,1025
2020-03-11,230786,67212,148999,180420,117578,1312
2020-03-12,236762,71865,154314,186856,121772,1663
2020-03-13,242894,76827,159860,193572,126148,2174
2020-03-14,249184,82117,165650,200583,130717,2951
2020-03-15,255637,87755,171696,207904,135488,3774
2020-03-16,262257,93761,178009,215548,140470,4661
2020-03-17,269049,100156,184602,223531,145673,6427
2020-03-18,276016,106962,191489,231871,151107,9415
2020-03-19,283164,114204,198684,240583,156785,14250
2020-03-20,290497,121903,206200,249684,162716,19624
2020-03-21,298020,130085,214052,259192,168912,26747
2020-03-22,305738,138776,222257,269127,175387,35206
2020-03-23,313655,148001,230828,279506,182150,46442
2020-03-24,321778,157787,239782,290348,189216,55231
2020-03-25,330111,168160,249136,301674,196598,69194
2020-03-26,338660,179149,258904,313502,204306,85991
2020-03-27,347430,190780,269105,325855,212355,104686
2020-03-28,356427,203081,279754,338749,220759,124665
2020-03-29,365657,216080,290868,352207,229529,143025
2020-03-30,375127,229803,302465,366250,238680,164620
2020-03-31,384841,244278,314560,380895,248225,189618
2020-04-01,394807,259530,327168,396162,258174,216721
2020-04-02,405032,275583,340308,412073,268543,245540
2020-04-03,415521,292460,353990,428640,279340,277965
2020-04-04,426281,310183,368232,445886,290578,312237
2020-04-05,437320,328772,383046,463824,302268,337635
2020-04-06,448646,348243,398444,482469,314419,368196
2020-04-07,460264,368610,414437,501835,327039,398809
2020-04-08,472183,389884,431034,521932,340136,432132
2020-04-09,484411,412073,448242,542769,353715,466033
2020-04-10,496956,435180,466068,564354,367782,501560
2020-04-11,509826,459204,484515,586691,382339,529951
2020-04-12,523028,484140,503584,609781,397387,557571
2020-04-13,536573,509977,523275,633625,412925,582594
2020-04-14,550469,536700,543584,658217,428951,609516
2020-04-15,564724,564286,564505,683549,445461,639664
2020-04-16,579348,592710,586029,709612,462446,671331
2020-04-17,594352,621938,608145,736392,479898,702164
2020-04-18,609743,651932,630838,763871,497805,735086
2020-04-19,625534,682647,654090,792026,516154,759687
2020-04-20,641733,714034,677884,820838,534930,787752
2020-04-21,658352,746037,702194,850275,554113,825041
2020-04-22,675401,778594,726998,880309,573687,842629
2020-04-23,692892,811641,752266,910906,593626,869172
2020-04-24,710835,845106,777970,942030,613910,890524
2020-04-25,729243,878917,804080,973647,634513,939053
2020-04-26,748128,912996,830562,1005713,655411,965910
2020-04-27,767502,947264,857383,1038190,676576,988451
2020-04-28,787378,981638,884508,1071036,697980,1012583
2020-04-29,807769,1016038,911904,1104209,719599,1039909
2020-04-30,828687,1050379,939533,1137664,741402,1069826
2020-05-01,850148,1084581,967364,1171364,763364,1103781
2020-05-02,872164,1118561,995362,1205267,785457,1133069
2020-05-03,894750,1152242,1023496,1239334,807658,1158041
2020-05-04,917921,1185548,1051734,1273527,829941,1180634
2020-05-05,941692,1218406,1080049,1307813,852285,1204475
2020-05-06,966079,1250747,1108413,1342158,874668,1228603
2020-05-07,991097,1282509,1136803,1376535,897071,1256972
2020-05-08,1016763,1313632,1165198,1410918,919478,1283929
2020-05-09,1043094,1344063,1193578,1445283,941873,1309541
2020-05-10,1070107,1373754,1221930,1479614,964246,1329799
2020-05-11,1097819,1402663,1250241,1513895,986587,1347916
2020-05-12,1126249,1430753,1278501,1548115,1008887,1369964
2020-05-13,1155415,1457995,1306705,1582267,1031143,1390746
2020-05-14,1185336,1484363,1334850,1616347,1053353,1417889
2020-05-15,1216033,1509839,1362936,1650356,1075516,1443397
2020-05-16,1247524,1534409,1390966,1684297,1097635,1467884
2020-05-17,1279831,1558065,1418948,1718180,1119716,1486757
2020-05-18,1312974,1580802,1446888,1752012,1141764,1508598
2020-05-19,1346976,1602623,1474800,1785810,1163790,1528568
2020-05-20,1381858,1623531,1502694,1819586,1185802,1551853
2020-05-21,1417643,1643536,1530590,1853365,1207815,1577287
2020-05-22,1454356,1662650,1558503,1887164,1229842,1601434
2020-05-23,1492019,1680888,1586454,1921010,1251898,1622670
2020-05-24,1530657,1698269,1614463,1954925,1274001,1643238
2020-05-25,1570296,1714812,1642554,1988940,1296168,1662302
2020-05-26,1610962,1730539,1670750,2023082,1318418,1681212
2020-05-27,1652680,1745475,1699078,2057384,1340772,1699933
2020-05-28,1695479,1759645,1727562,2091875,1363249,1721750
2020-05-29,1739387,1773073,1756230,2126589,1385871,1747087
2020-05-30,1784431,1785788,1785110,2161559,1408661,1770384
2020-05-31,1830642,1797817,1814230,2196820,1431640,1790191
2020-06-01,1878049,1809186,1843618,2232405,1454831,1811277
2020-06-02,1926685,1819924,1873304,2268352,1478256,1831821
2020-06-03,1976579,1830057,1903318,2304695,1501941,1851520
2020-06-04,2027766,1839614,1933690,2341472,1525908,1872660
2020-06-05,2080279,1848621,1964450,2378719,1550181,1897838
2020-06-06,2134151,1857104,1995628,2416472,1574784,1920061
2020-06-07,2189419,1865089,2027254,2454767,1599741,1942363
2020-06-08,2246117,1872601,2059359,2493642,1625076,1961185
2020-06-09,2304284,1879665,2091974,2533135,1650813,1979850
2020-06-10,2363958,1886303,2125130,2573283,1676977,2000464
2020-06-11,2425177,1892539,2158858,2614124,1703592,2069973
2020-06-12,2487981,1898394,2193188,2655694,1730682,NA
2020-06-13,2552411,1903889,2228150,2698029,1758271,NA
2020-06-14,2618510,1909045,2263778,2741170,1786386,NA
2020-06-15,2686321,1913881,2300101,2785153,1815049,NA
2020-06-16,2755888,1918415,2337152,2830017,1844287,NA
2020-06-17,2827256,1922664,2374960,2875798,1874122,NA
2020-06-18,2900473,1926646,2413560,2922538,1904582,NA
