"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-03-02,216828,64756,140792,162033,119551,90865
2020-03-03,227385,71152,149268,171788,126748,93077
2020-03-04,238456,78167,158312,182196,134428,95316
2020-03-05,250065,85857,167961,193301,142621,98172
2020-03-06,262240,94284,178262,205156,151368,102133
2020-03-07,275008,103515,189262,217815,160709,105824
2020-03-08,288397,113622,201010,231336,170684,109695
2020-03-09,302438,124683,213560,245779,181341,114235
2020-03-10,317163,136780,226972,261214,192730,118613
2020-03-11,332605,150003,241304,277709,204899,125497
2020-03-12,348798,164446,256622,295338,217906,133853
2020-03-13,365780,180212,272996,314182,231810,143259
2020-03-14,383589,197406,290498,334324,246672,154774
2020-03-15,402264,216142,309203,355851,262555,167418
2020-03-16,421849,236539,329194,378858,279530,180094
2020-03-17,442388,258722,350555,403442,297668,194843
2020-03-18,463926,282818,373372,429701,317043,213149
2020-03-19,486513,308963,397738,457743,337733,242374
2020-03-20,510200,337291,423746,487675,359817,271116
2020-03-21,535040,367942,451491,519606,383376,305235
2020-03-22,561089,401054,481072,553650,408494,338235
2020-03-23,588407,436765,512586,589918,435254,377968
2020-03-24,617055,475208,546132,628525,463739,416881
2020-03-25,647097,516513,581805,669580,494030,468092
2020-03-26,678602,560800,619701,713193,526209,527839
2020-03-27,711641,608177,659909,759467,560351,591796
2020-03-28,746288,658739,702514,808500,596528,656834
2020-03-29,782623,712560,747592,860379,634805,715377
2020-03-30,820726,769696,795211,915182,675240,777187
2020-03-31,860685,830175,845430,972977,717883,851587
2020-04-01,902589,893995,898292,1033814,762770,928491
2020-04-02,946533,961126,953830,1097731,809929,1006063
2020-04-03,992616,1031498,1012057,1164742,859372,1087822
2020-04-04,1040944,1105004,1072974,1234850,911098,1174306
2020-04-05,1091624,1181500,1136562,1308031,965093,1245601
2020-04-06,1144772,1260799,1202786,1384246,1021326,1316988
2020-04-07,1200507,1342674,1271590,1463430,1079750,1391881
2020-04-08,1258956,1426857,1342906,1545505,1140307,1476792
2020-04-09,1320250,1513047,1416648,1630373,1202923,1563819
2020-04-10,1384529,1600906,1492718,1717919,1267517,1653160
2020-04-11,1451937,1690070,1571004,1808016,1333992,1734868
2020-04-12,1522627,1780148,1651388,1900527,1402249,1807256
2020-04-13,1596759,1870737,1733748,1995312,1472184,1873639
2020-04-14,1674500,1961422,1817961,2092230,1543692,1953786
2020-04-15,1756026,2051787,1903906,2191142,1616670,2033745
2020-04-16,1841521,2141421,1991471,2291917,1691025,2117297
2020-04-17,1931179,2229929,2080554,2394440,1766668,2199460
2020-04-18,2025201,2316933,2171067,2498608,1843526,2278484
2020-04-19,2123802,2402082,2262942,2604344,1921540,2350993
2020-04-20,2227203,2485058,2356130,2711591,2000669,2427353
2020-04-21,2335638,2565576,2450607,2820321,2080893,2513399
2020-04-22,2449353,2643390,2546372,2930534,2162210,2579823
2020-04-23,2568604,2718297,2643450,3042258,2244642,2657910
2020-04-24,2693661,2790131,2741896,3155556,2328236,2730743
2020-04-25,2824807,2858767,2841787,3270517,2413057,2832459
2020-04-26,2962337,2924122,2943230,3387265,2499195,2915995
2020-04-27,3106564,2986144,3046354,3505947,2586761,2981427
2020-04-28,3257813,3044821,3151317,3626745,2675889,3054404
2020-04-29,3416425,3100166,3258296,3749864,2766728,3130790
2020-04-30,3582760,3152224,3367492,3875534,2859450,3214256
2020-05-01,3757193,3201059,3479126,4004009,2954243,3325620
2020-05-02,3940118,3246759,3593438,4135567,3051309,NA
2020-05-03,4131950,3289426,3710688,4270506,3150870,NA
2020-05-04,4333121,3329174,3831148,4409140,3253156,NA
2020-05-05,4544087,3366130,3955108,4551801,3358415,NA
2020-05-06,4765323,3400424,4082874,4698843,3466905,NA
2020-05-07,4997332,3432193,4214762,4850628,3578896,NA
2020-05-08,5240635,3461575,4351105,5007541,3694669,NA
