location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
Afghanistan;2020-05-16;total_cases;13;2020-05-06;3392;2020-05-16;6402;1.89
Albania;2020-05-16;total_cases;33;2020-04-16;518;2020-05-16;933;1.8
Algeria;2020-05-16;total_cases;21;2020-04-28;3649;2020-05-16;6821;1.87
Andorra;2020-05-16;total_cases;48;2020-04-01;390;2020-05-16;761;1.95
Angola;2020-05-16;total_cases;23;2020-04-26;26;2020-05-16;48;1.85
Argentina;2020-05-16;total_cases;20;2020-04-29;4272;2020-05-16;7792;1.82
Armenia;2020-05-16;total_cases;17;2020-05-02;2273;2020-05-16;4283;1.88
Aruba;2020-05-16;total_cases;48;2020-04-01;55;2020-05-16;101;1.84
Australia;2020-05-16;total_cases;52;2020-03-28;3809;2020-05-16;7036;1.85
Austria;2020-05-16;total_cases;51;2020-03-29;8813;2020-05-16;16140;1.83
Azerbaijan;2020-05-16;total_cases;21;2020-04-28;1717;2020-05-16;3138;1.83
Bahamas;2020-05-16;total_cases;34;2020-04-15;53;2020-05-16;96;1.81
Bahrain;2020-05-16;total_cases;14;2020-05-05;3720;2020-05-16;6747;1.81
Bangladesh;2020-05-16;total_cases;14;2020-05-05;10929;2020-05-16;20995;1.92
Barbados;2020-05-16;total_cases;46;2020-04-03;45;2020-05-16;86;1.91
Belarus;2020-05-16;total_cases;17;2020-05-02;15828;2020-05-16;28681;1.81
Belgium;2020-05-16;total_cases;37;2020-04-12;29647;2020-05-16;54989;1.85
Belize;2020-05-16;total_cases;39;2020-04-10;10;2020-05-16;18;1.8
Bermuda;2020-05-16;total_cases;34;2020-04-14;57;2020-05-16;123;2.16
Bhutan;2020-05-16;total_cases;7;2020-05-12;11;2020-05-16;21;1.91
Bolivia;2020-05-16;total_cases;12;2020-05-07;2081;2020-05-16;3826;1.84
Bonaire.Sint.Eustatius.and.Saba;2020-05-16;total_cases;36;2020-04-12;3;2020-05-16;6;2
Bosnia.and.Herzegovina;2020-05-16;total_cases;31;2020-04-18;1254;2020-05-16;2267;1.81
Botswana;2020-05-16;total_cases;34;2020-04-15;13;2020-05-16;24;1.85
Brazil;2020-05-16;total_cases;13;2020-05-06;125218;2020-05-16;233142;1.86
British.Virgin.Islands;2020-05-16;total_cases;29;2020-04-19;4;2020-05-16;8;2
Brunei;2020-05-16;total_cases;60;2020-03-20;78;2020-05-16;141;1.81
Bulgaria;2020-05-16;total_cases;25;2020-04-24;1188;2020-05-16;2211;1.86
Burkina.Faso;2020-05-16;total_cases;41;2020-04-08;414;2020-05-16;782;1.89
Burundi;2020-05-16;total_cases;18;2020-05-01;15;2020-05-16;27;1.8
Cameroon;2020-05-16;total_cases;21;2020-04-28;1806;2020-05-16;3292;1.82
Canada;2020-05-16;total_cases;26;2020-04-23;42099;2020-05-16;75853;1.8
Cape.Verde;2020-05-16;total_cases;15;2020-05-04;175;2020-05-16;328;1.87
Cayman.Islands;2020-05-16;total_cases;38;2020-04-10;45;2020-05-16;94;2.09
Central.African.Republic;2020-05-16;total_cases;7;2020-05-12;179;2020-05-16;327;1.83
Chad;2020-05-16;total_cases;11;2020-05-08;260;2020-05-16;474;1.82
Chile;2020-05-16;total_cases;14;2020-05-05;22016;2020-05-16;41428;1.88
China;2020-05-16;total_cases;98;2020-02-11;44724;2020-05-16;84044;1.88
Colombia;2020-05-16;total_cases;15;2020-05-04;7973;2020-05-16;14939;1.87
Congo;2020-05-16;total_cases;19;2020-04-30;220;2020-05-16;412;1.87
Costa.Rica;2020-05-16;total_cases;43;2020-04-06;467;2020-05-16;853;1.83
Cote.d'Ivoire;2020-05-16;total_cases;24;2020-04-25;1111;2020-05-16;2061;1.86
Croatia;2020-05-16;total_cases;43;2020-04-06;1222;2020-05-16;2224;1.82
Cuba;2020-05-16;total_cases;31;2020-04-18;986;2020-05-16;1862;1.89
Curacao;2020-05-16;total_cases;50;2020-03-28;8;2020-05-16;16;2
Cyprus;2020-05-16;total_cases;42;2020-04-07;494;2020-05-16;914;1.85
Czech.Republic;2020-05-16;total_cases;44;2020-04-05;4587;2020-05-16;8455;1.84
Democratic.Republic.of.Congo;2020-05-16;total_cases;13;2020-05-05;705;2020-05-16;1454;2.06
Denmark;2020-05-16;total_cases;38;2020-04-11;5996;2020-05-16;10858;1.81
Djibouti;2020-05-16;total_cases;31;2020-04-18;732;2020-05-16;1331;1.82
Dominican.Republic;2020-05-16;total_cases;21;2020-04-28;6416;2020-05-16;11893;1.85
Egypt;2020-05-16;total_cases;16;2020-05-03;6465;2020-05-16;11719;1.81
El.Salvador;2020-05-16;total_cases;12;2020-05-07;695;2020-05-16;1265;1.82
Equatorial.Guinea;2020-05-16;total_cases;15;2020-05-04;315;2020-05-16;594;1.89
Eritrea;2020-05-16;total_cases;47;2020-04-01;18;2020-05-16;39;2.17
Estonia;2020-05-16;total_cases;46;2020-04-03;961;2020-05-16;1770;1.84
Ethiopia;2020-05-16;total_cases;13;2020-05-06;162;2020-05-16;306;1.89
Faeroe.Islands;2020-05-16;total_cases;58;2020-03-21;92;2020-05-16;187;2.03
Finland;2020-05-16;total_cases;32;2020-04-17;3489;2020-05-16;6286;1.8
France;2020-05-16;total_cases;42;2020-04-07;78167;2020-05-16;142291;1.82
French.Polynesia;2020-05-16;total_cases;52;2020-03-27;30;2020-05-16;60;2
Gabon;2020-05-16;total_cases;9;2020-05-10;661;2020-05-16;1320;2
Gambia;2020-05-16;total_cases;18;2020-05-01;12;2020-05-16;23;1.92
Georgia;2020-05-16;total_cases;32;2020-04-17;370;2020-05-16;695;1.88
Germany;2020-05-16;total_cases;44;2020-04-05;95391;2020-05-16;174355;1.83
Ghana;2020-05-16;total_cases;12;2020-05-07;3091;2020-05-16;5735;1.86
Gibraltar;2020-05-16;total_cases;47;2020-04-01;69;2020-05-16;147;2.13
Greece;2020-05-16;total_cases;47;2020-04-02;1514;2020-05-16;2819;1.86
Greenland;2020-05-16;total_cases;54;2020-03-26;6;2020-05-16;11;1.83
Grenada;2020-05-16;total_cases;40;2020-04-09;12;2020-05-16;22;1.83
Guam;2020-05-16;total_cases;47;2020-04-02;82;2020-05-16;154;1.88
Guatemala;2020-05-16;total_cases;10;2020-05-09;967;2020-05-16;1763;1.82
Guernsey;2020-05-16;total_cases;45;2020-04-04;136;2020-05-16;252;1.85
Guinea;2020-05-16;total_cases;20;2020-04-29;1351;2020-05-16;2658;1.97
Guinea-Bissau;2020-05-16;total_cases;13;2020-05-06;475;2020-05-16;913;1.92
Guyana;2020-05-16;total_cases;30;2020-04-19;65;2020-05-16;117;1.8
Haiti;2020-05-16;total_cases;9;2020-05-10;182;2020-05-16;358;1.97
Honduras;2020-05-16;total_cases;13;2020-05-05;1270;2020-05-16;2565;2.02
Hungary;2020-05-16;total_cases;31;2020-04-18;1916;2020-05-16;3509;1.83
Iceland;2020-05-16;total_cases;52;2020-03-28;963;2020-05-16;1802;1.87
India;2020-05-16;total_cases;14;2020-05-05;49391;2020-05-16;90927;1.84
Indonesia;2020-05-16;total_cases;22;2020-04-27;9096;2020-05-16;17025;1.87
International;2020-05-16;total_cases;18;2020-02-16;355;2020-03-09;696;1.96
Iran;2020-05-16;total_cases;41;2020-04-08;64586;2020-05-16;118392;1.83
Iraq;2020-05-16;total_cases;24;2020-04-25;1763;2020-05-16;3260;1.85
Ireland;2020-05-16;total_cases;33;2020-04-16;13271;2020-05-16;24048;1.81
Isle.of.Man;2020-05-16;total_cases;40;2020-04-08;158;2020-05-16;335;2.12
Israel;2020-05-16;total_cases;43;2020-04-06;8904;2020-05-16;16608;1.87
Italy;2020-05-16;total_cases;45;2020-04-04;124632;2020-05-16;224760;1.8
Jamaica;2020-05-16;total_cases;25;2020-04-23;252;2020-05-16;517;2.05
Japan;2020-05-16;total_cases;34;2020-04-15;8582;2020-05-16;16285;1.9
Jersey;2020-05-16;total_cases;44;2020-04-05;155;2020-05-16;302;1.95
Jordan;2020-05-16;total_cases;45;2020-04-04;323;2020-05-16;607;1.88
Kazakhstan;2020-05-16;total_cases;20;2020-04-29;3205;2020-05-16;6157;1.92
Kenya;2020-05-16;total_cases;17;2020-05-02;435;2020-05-16;830;1.91
Kosovo;2020-05-16;total_cases;30;2020-04-19;510;2020-05-16;944;1.85
Kuwait;2020-05-16;total_cases;10;2020-05-09;7623;2020-05-16;13802;1.81
Kyrgyzstan;2020-05-16;total_cases;27;2020-04-22;631;2020-05-16;1138;1.8
Laos;2020-05-16;total_cases;45;2020-04-04;10;2020-05-16;19;1.9
Latvia;2020-05-16;total_cases;42;2020-04-07;548;2020-05-16;997;1.82
Lebanon;2020-05-16;total_cases;46;2020-04-03;494;2020-05-16;902;1.83
Liberia;2020-05-16;total_cases;24;2020-04-25;120;2020-05-16;223;1.86
Libya;2020-05-16;total_cases;35;2020-04-14;35;2020-05-16;65;1.86
Liechtenstein;2020-05-16;total_cases;57;2020-03-23;46;2020-05-16;83;1.8
