location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-07-25;total_cases;41;2020-06-17;10339;2020-07-25;18657;1.8
AL;2020-07-25;total_cases;35;2020-06-23;30248;2020-07-25;54730;1.81
AM;2020-07-25;total_cases;48;2020-06-10;52849;2020-07-25;96094;1.82
AP;2020-07-25;total_cases;40;2020-06-18;19387;2020-07-25;35162;1.81
BA;2020-07-25;total_cases;26;2020-07-02;79349;2020-07-25;146399;1.85
CE;2020-07-25;total_cases;40;2020-06-18;87273;2020-07-25;161597;1.85
DF;2020-07-25;total_cases;26;2020-07-02;52281;2020-07-25;94187;1.8
ES;2020-07-25;total_cases;31;2020-06-27;41652;2020-07-25;76598;1.84
GO;2020-07-25;total_cases;22;2020-07-06;29296;2020-07-25;54801;1.87
MA;2020-07-25;total_cases;42;2020-06-16;62711;2020-07-25;113563;1.81
MG;2020-07-25;total_cases;21;2020-07-07;60897;2020-07-25;110093;1.81
MS;2020-07-25;total_cases;19;2020-07-09;11671;2020-07-25;21015;1.8
MT;2020-07-25;total_cases;20;2020-07-08;23835;2020-07-25;42935;1.8
PA;2020-07-25;total_cases;39;2020-06-19;80072;2020-07-25;147923;1.85
PB;2020-07-25;total_cases;33;2020-06-25;40824;2020-07-25;75723;1.85
PE;2020-07-25;total_cases;41;2020-06-17;47446;2020-07-25;86752;1.83
PI;2020-07-25;total_cases;25;2020-07-03;24376;2020-07-25;45389;1.86
PR;2020-07-25;total_cases;20;2020-07-08;35715;2020-07-25;65593;1.84
RJ;2020-07-25;total_cases;42;2020-06-16;83343;2020-07-25;156293;1.88
RN;2020-07-25;total_cases;30;2020-06-28;24456;2020-07-25;46926;1.92
RO;2020-07-25;total_cases;31;2020-06-27;19271;2020-07-25;35573;1.85
RR;2020-07-25;total_cases;27;2020-07-01;15153;2020-07-25;29394;1.94
RS;2020-07-25;total_cases;22;2020-07-06;32401;2020-07-25;59118;1.82
SC;2020-07-25;total_cases;20;2020-07-08;36810;2020-07-25;67333;1.83
SE;2020-07-25;total_cases;25;2020-07-03;28186;2020-07-25;52264;1.85
SP;2020-07-25;total_cases;31;2020-06-27;265581;2020-07-25;479481;1.81
TO;2020-07-25;total_cases;26;2020-07-02;11454;2020-07-25;20920;1.83
