location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-07-29;total_deaths;45;2020-06-17;281;2020-07-29;510;1.81
AL;2020-07-29;total_deaths;43;2020-06-19;848;2020-07-29;1540;1.82
AM;2020-07-29;total_deaths;68;2020-05-25;1781;2020-07-29;3246;1.82
AP;2020-07-29;total_deaths;51;2020-06-11;303;2020-07-29;559;1.84
BA;2020-07-29;total_deaths;33;2020-06-29;1800;2020-07-29;3321;1.84
CE;2020-07-29;total_deaths;54;2020-06-08;4120;2020-07-29;7643;1.86
DF;2020-07-29;total_deaths;25;2020-07-07;767;2020-07-29;1419;1.85
ES;2020-07-29;total_deaths;40;2020-06-22;1362;2020-07-29;2486;1.83
GO;2020-07-29;total_deaths;19;2020-07-13;852;2020-07-29;1554;1.82
MA;2020-07-29;total_deaths;43;2020-06-19;1645;2020-07-29;2978;1.81
MG;2020-07-29;total_deaths;23;2020-07-09;1445;2020-07-29;2608;1.8
MS;2020-07-29;total_deaths;17;2020-07-15;183;2020-07-29;342;1.87
MT;2020-07-29;total_deaths;23;2020-07-09;928;2020-07-29;1702;1.83
PA;2020-07-29;total_deaths;60;2020-06-02;3040;2020-07-29;5694;1.87
PB;2020-07-29;total_deaths;32;2020-06-30;977;2020-07-29;1766;1.81
PE;2020-07-29;total_deaths;52;2020-06-10;3531;2020-07-29;6484;1.84
PI;2020-07-29;total_deaths;30;2020-07-02;697;2020-07-29;1292;1.85
PR;2020-07-29;total_deaths;22;2020-07-10;978;2020-07-29;1814;1.85
RJ;2020-07-29;total_deaths;52;2020-06-10;7138;2020-07-29;13198;1.85
RN;2020-07-29;total_deaths;34;2020-06-28;937;2020-07-29;1735;1.85
RO;2020-07-29;total_deaths;37;2020-06-25;467;2020-07-29;855;1.83
RR;2020-07-29;total_deaths;36;2020-06-26;273;2020-07-29;493;1.81
RS;2020-07-29;total_deaths;20;2020-07-12;962;2020-07-29;1750;1.82
SC;2020-07-29;total_deaths;18;2020-07-14;534;2020-07-29;1002;1.88
SE;2020-07-29;total_deaths;29;2020-07-03;764;2020-07-29;1390;1.82
SP;2020-07-29;total_deaths;43;2020-06-19;12232;2020-07-29;22389;1.83
TO;2020-07-29;total_deaths;32;2020-06-30;200;2020-07-29;364;1.82
