"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
123,2020-05-02,2231,2662,3093,2948
124,2020-05-03,2418,2886,3354,3086
125,2020-05-04,2621,3128,3635,3226
126,2020-05-05,2841,3391,3941,3402
127,2020-05-06,3080,3676,4272,3568
128,2020-05-07,3339,3985,4631,3838
129,2020-05-08,3620,4320,5020,4242
130,2020-05-09,3924,4683,5442,4412
131,2020-05-10,4254,5077,5900,NA
132,2020-05-11,4611,5503,6395,NA
133,2020-05-12,4998,5965,6932,NA
134,2020-05-13,5419,6467,7515,NA
135,2020-05-14,5874,7010,8146,NA
136,2020-05-15,6367,7599,8831,NA
137,2020-05-16,6903,8238,9573,NA
