"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
104,2020-04-13,483,552,621,463
105,2020-04-14,546,624,702,557
106,2020-04-15,615,703,791,754
107,2020-04-16,691,789,887,856
108,2020-04-17,770,880,990,952
109,2020-04-18,855,977,1099,1099
110,2020-04-19,945,1080,1215,1168
111,2020-04-20,1039,1187,1335,1212
112,2020-04-21,1135,1296,1457,1313
113,2020-04-22,1233,1408,1583,1363
114,2020-04-23,1331,1520,1709,1381
115,2020-04-24,1428,1631,1834,1595
116,2020-04-25,1524,1741,1958,1703
117,2020-04-26,1617,1847,2077,1796
118,2020-04-27,1706,1949,2192,1944
119,2020-04-28,1791,2046,2301,2164
120,2020-04-29,1871,2137,2403,NA
121,2020-04-30,1945,2222,2499,NA
122,2020-05-01,2013,2300,2587,NA
123,2020-05-02,2076,2372,2668,NA
124,2020-05-03,2133,2437,2741,NA
125,2020-05-04,2184,2495,2806,NA
126,2020-05-05,2231,2548,2865,NA
127,2020-05-06,2272,2595,2918,NA
128,2020-05-07,2308,2637,2966,NA
129,2020-05-08,2340,2673,3006,NA
130,2020-05-09,2369,2706,3043,NA
131,2020-05-10,2393,2734,3075,NA
132,2020-05-11,2415,2759,3103,NA
133,2020-05-12,2434,2780,3126,NA
134,2020-05-13,2450,2799,3148,NA
