"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Albania",2019-12-30,1,1,1,0,0,NA,"41.153332","20.168331"
"Albania",2019-12-31,1,1,1,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-01,1,1,1,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-02,1,1,1,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-03,1,1,1,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-04,1,1,1,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-05,1,1,1,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-06,1,1,1,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-07,1,2,3,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-08,1,2,3,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-09,1,2,3,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-10,1,2,3,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-11,1,2,3,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-12,1,2,3,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-13,1,2,3,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-14,1,2,3,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-15,1,2,3,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-16,2,3,4,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-17,2,3,4,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-18,2,3,4,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-19,2,3,4,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-20,2,3,4,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-21,2,3,4,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-22,3,4,5,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-23,3,4,5,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-24,3,4,5,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-25,3,4,5,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-26,3,5,7,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-27,3,5,7,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-28,3,5,7,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-29,3,5,7,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-30,4,6,8,0,0,NA,"41.153332","20.168331"
"Albania",2020-01-31,4,6,8,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-01,5,7,9,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-02,5,7,9,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-03,5,7,9,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-04,5,8,11,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-05,5,8,11,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-06,6,9,12,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-07,6,9,12,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-08,7,10,13,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-09,7,10,13,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-10,7,11,15,0,0,NA,"41.153332","20.168331"
"Albania",2020-02-11,8,12,16,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-12,8,12,16,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-13,9,13,17,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-14,9,14,19,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-15,10,15,20,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-16,11,16,21,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-17,11,17,23,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-18,12,18,24,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-19,13,19,25,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-20,13,20,27,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-21,14,21,28,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-22,15,22,29,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-23,16,24,32,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-24,17,25,33,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-25,18,27,36,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-26,19,28,37,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-27,20,30,40,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-28,21,32,43,1,0,NA,"41.153332","20.168331"
"Albania",2020-02-29,23,34,45,2,0,NA,"41.153332","20.168331"
"Albania",2020-03-01,24,36,48,2,0,NA,"41.153332","20.168331"
"Albania",2020-03-02,25,38,51,2,0,NA,"41.153332","20.168331"
"Albania",2020-03-03,27,40,53,2,0,NA,"41.153332","20.168331"
"Albania",2020-03-04,29,43,57,2,0,NA,"41.153332","20.168331"
"Albania",2020-03-05,30,45,60,2,0,NA,"41.153332","20.168331"
"Albania",2020-03-06,32,48,64,2,0,NA,"41.153332","20.168331"
"Albania",2020-03-07,34,51,68,2,0,0,"41.153332","20.168331"
"Albania",2020-03-08,36,54,72,2,2,0,"41.153332","20.168331"
"Albania",2020-03-09,38,57,76,3,6,0,"41.153332","20.168331"
"Albania",2020-03-10,41,61,81,3,10,1,"41.153332","20.168331"
"Albania",2020-03-11,43,64,85,3,11,1,"41.153332","20.168331"
"Albania",2020-03-12,46,68,90,3,23,1,"41.153332","20.168331"
"Albania",2020-03-13,48,72,96,3,33,1,"41.153332","20.168331"
"Albania",2020-03-14,52,77,102,3,38,1,"41.153332","20.168331"
"Albania",2020-03-15,54,81,108,4,42,1,"41.153332","20.168331"
"Albania",2020-03-16,58,86,114,4,51,1,"41.153332","20.168331"
"Albania",2020-03-17,61,91,121,4,55,2,"41.153332","20.168331"
"Albania",2020-03-18,65,97,129,4,59,2,"41.153332","20.168331"
"Albania",2020-03-19,69,103,137,5,70,2,"41.153332","20.168331"
"Albania",2020-03-20,73,109,145,5,70,2,"41.153332","20.168331"
"Albania",2020-03-21,78,116,154,5,76,2,"41.153332","20.168331"
"Albania",2020-03-22,82,123,164,5,89,4,"41.153332","20.168331"
"Albania",2020-03-23,87,130,173,6,100,5,"41.153332","20.168331"
"Albania",2020-03-24,92,138,184,6,123,5,"41.153332","20.168331"
"Albania",2020-03-25,98,146,194,6,146,6,"41.153332","20.168331"
"Albania",2020-03-26,104,155,206,7,174,9,"41.153332","20.168331"
"Albania",2020-03-27,111,165,219,7,186,10,"41.153332","20.168331"
"Albania",2020-03-28,117,174,231,8,197,10,"41.153332","20.168331"
"Albania",2020-03-29,124,185,246,8,212,12,"41.153332","20.168331"
"Albania",2020-03-30,131,196,261,9,223,15,"41.153332","20.168331"
"Albania",2020-03-31,139,208,277,9,243,15,"41.153332","20.168331"
"Albania",2020-04-01,148,221,294,10,259,16,"41.153332","20.168331"
"Albania",2020-04-02,157,234,311,10,277,17,"41.153332","20.168331"
"Albania",2020-04-03,166,248,330,11,304,19,"41.153332","20.168331"
"Albania",2020-04-04,176,263,350,12,333,21,"41.153332","20.168331"
"Albania",2020-04-05,187,279,371,12,361,22,"41.153332","20.168331"
"Albania",2020-04-06,198,296,394,13,377,22,"41.153332","20.168331"
"Albania",2020-04-07,210,314,418,14,383,22,"41.153332","20.168331"
"Albania",2020-04-08,223,333,443,15,400,23,"41.153332","20.168331"
"Albania",2020-04-09,237,353,469,16,409,23,"41.153332","20.168331"
"Albania",2020-04-10,251,374,497,17,416,23,"41.153332","20.168331"
"Albania",2020-04-11,266,397,528,18,433,23,"41.153332","20.168331"
"Albania",2020-04-12,282,421,560,19,446,23,"41.153332","20.168331"
"Albania",2020-04-13,299,446,593,20,467,24,"41.153332","20.168331"
"Albania",2020-04-14,317,473,629,21,475,25,"41.153332","20.168331"
"Albania",2020-04-15,336,502,668,22,494,26,"41.153332","20.168331"
"Albania",2020-04-16,356,532,708,24,518,26,"41.153332","20.168331"
"Albania",2020-04-17,378,564,750,25,539,26,"41.153332","20.168331"
"Albania",2020-04-18,401,598,795,27,548,26,"41.153332","20.168331"
"Albania",2020-04-19,425,634,843,28,562,26,"41.153332","20.168331"
"Albania",2020-04-20,451,673,895,30,584,26,"41.153332","20.168331"
"Albania",2020-04-21,478,713,948,32,NA,NA,"41.153332","20.168331"
"Albania",2020-04-22,507,756,1005,34,NA,NA,"41.153332","20.168331"
"Albania",2020-04-23,537,802,1067,36,NA,NA,"41.153332","20.168331"
"Albania",2020-04-24,570,850,1130,38,NA,NA,"41.153332","20.168331"
"Albania",2020-04-25,604,902,1200,40,NA,NA,"41.153332","20.168331"
"Albania",2020-04-26,641,956,1271,43,NA,NA,"41.153332","20.168331"
"Albania",2020-04-27,679,1014,1349,45,NA,NA,"41.153332","20.168331"
