"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
125,2020-05-04,6739,7446,8153,7242
126,2020-05-05,7352,8124,8896,8109
127,2020-05-06,8022,8864,9706,9243
128,2020-05-07,8752,9671,10590,10099
129,2020-05-08,9550,10552,11554,10727
130,2020-05-09,10420,11514,12608,11925
131,2020-05-10,11369,12562,13755,12599
132,2020-05-11,12405,13707,15009,12919
133,2020-05-12,13535,14955,16375,NA
134,2020-05-13,14768,16318,17868,NA
135,2020-05-14,16113,17804,19495,NA
136,2020-05-15,17581,19426,21271,NA
137,2020-05-16,19182,21195,23208,NA
138,2020-05-17,20929,23126,25323,NA
139,2020-05-18,22836,25233,27630,NA
