"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
172,2020-06-20,3,4,5,241
173,2020-06-21,4,5,6,244
174,2020-06-22,4,5,6,249
175,2020-06-23,4,5,6,253
176,2020-06-24,4,6,8,277
177,2020-06-25,4,6,8,284
178,2020-06-26,4,6,8,289
179,2020-06-27,5,7,9,289
180,2020-06-28,5,7,9,306
181,2020-06-29,5,7,9,311
182,2020-06-30,6,8,10,319
183,2020-07-01,6,8,10,NA
184,2020-07-02,6,9,12,NA
185,2020-07-03,6,9,12,NA
186,2020-07-04,7,10,13,NA
187,2020-07-05,7,10,13,NA
188,2020-07-06,8,11,14,NA
189,2020-07-07,8,12,16,NA
190,2020-07-08,8,12,16,NA
191,2020-07-09,9,13,17,NA
192,2020-07-10,10,14,18,NA
