"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
100,2020-04-09,77,137,197,166
101,2020-04-10,90,162,234,193
102,2020-04-11,106,190,274,230
103,2020-04-12,125,224,323,242
104,2020-04-13,147,264,381,307
105,2020-04-14,174,311,448,334
106,2020-04-15,204,366,528,362
107,2020-04-16,241,431,621,370
108,2020-04-17,284,508,732,NA
109,2020-04-18,334,598,862,NA
110,2020-04-19,393,704,1015,NA
111,2020-04-20,463,829,1195,NA
112,2020-04-21,545,976,1407,NA
113,2020-04-22,642,1149,1656,NA
114,2020-04-23,756,1353,1950,NA
