"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
163,2020-06-11,17,20,23,24
164,2020-06-12,18,21,24,24
165,2020-06-13,19,22,25,24
166,2020-06-14,20,23,26,24
167,2020-06-15,21,24,27,24
168,2020-06-16,21,24,27,24
169,2020-06-17,21,25,29,25
170,2020-06-18,22,26,30,25
171,2020-06-19,23,27,31,25
172,2020-06-20,24,28,32,25
173,2020-06-21,26,30,34,26
174,2020-06-22,27,31,35,NA
175,2020-06-23,27,32,37,NA
176,2020-06-24,28,33,38,NA
177,2020-06-25,29,34,39,NA
178,2020-06-26,31,36,41,NA
179,2020-06-27,32,37,42,NA
180,2020-06-28,33,38,43,NA
181,2020-06-29,34,40,46,NA
182,2020-06-30,35,41,47,NA
183,2020-07-01,37,43,49,NA
