"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
196,2020-07-14,31,39,47,1574
197,2020-07-15,32,40,48,1587
198,2020-07-16,33,41,49,1641
199,2020-07-17,34,42,50,1684
200,2020-07-18,35,44,53,1756
201,2020-07-19,36,45,54,1801
202,2020-07-20,37,46,55,1848
203,2020-07-21,38,47,56,1882
204,2020-07-22,40,49,58,1915
205,2020-07-23,40,50,60,1937
206,2020-07-24,42,52,62,2000
207,2020-07-25,43,53,63,NA
208,2020-07-26,44,55,66,NA
209,2020-07-27,45,56,67,NA
210,2020-07-28,47,58,69,NA
211,2020-07-29,48,59,70,NA
212,2020-07-30,49,61,73,NA
213,2020-07-31,51,63,75,NA
214,2020-08-01,52,64,76,NA
215,2020-08-02,53,66,79,NA
216,2020-08-03,55,68,81,NA
