"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,1
2020-01-25,0,0,0,0,4
2020-01-26,0,0,0,0,4
2020-01-27,0,0,0,0,4
2020-01-28,0,0,0,0,4
2020-01-29,0,0,0,0,6
2020-01-30,0,0,0,0,7
2020-01-31,0,0,0,0,9
2020-02-01,0,0,0,0,11
2020-02-02,0,0,0,0,11
2020-02-03,0,0,0,0,11
2020-02-04,0,0,0,0,12
2020-02-05,0,0,0,0,13
2020-02-06,0,0,0,0,14
2020-02-07,0,0,0,0,14
2020-02-08,0,0,0,0,14
2020-02-09,0,0,0,0,14
2020-02-10,0,0,0,0,14
2020-02-11,0,0,0,0,14
2020-02-12,0,0,0,0,14
2020-02-13,0,0,0,0,15
2020-02-14,0,0,0,0,15
2020-02-15,1,1,1,0,15
2020-02-16,1,1,1,0,15
2020-02-17,1,1,1,0,15
2020-02-18,1,1,1,0,15
2020-02-19,1,1,1,0,15
2020-02-20,2,2,2,0,17
2020-02-21,2,2,2,0,21
2020-02-22,2,3,4,0,22
2020-02-23,2,3,4,0,22
2020-02-24,3,4,5,0,22
2020-02-25,4,5,6,0,22
2020-02-26,5,6,7,0,23
2020-02-27,6,8,10,0,23
2020-02-28,8,10,12,0,25
2020-02-29,9,12,15,0,26
2020-03-01,12,15,18,0,29
2020-03-02,15,19,23,0,33
2020-03-03,18,23,28,0,41
2020-03-04,22,29,36,0,52
2020-03-05,28,36,44,0,59
2020-03-06,35,45,55,0,63
2020-03-07,42,55,68,0,74
2020-03-08,53,69,85,0,80
2020-03-09,66,86,106,0,100
2020-03-10,83,107,131,0,112
2020-03-11,103,133,163,1,126
2020-03-12,127,165,203,1,156
2020-03-13,159,206,253,1,197
2020-03-14,198,256,314,1,249
2020-03-15,245,318,391,1,298
2020-03-16,306,396,486,2,375
2020-03-17,380,492,604,2,454
2020-03-18,473,613,753,3,565
2020-03-19,588,762,936,3,709
2020-03-20,732,948,1164,4,874
2020-03-21,911,1180,1449,5,1098
2020-03-22,1133,1468,1803,6,1709
2020-03-23,1410,1826,2242,8,1823
2020-03-24,1754,2272,2790,9,2423
2020-03-25,2182,2826,3470,12,2676
2020-03-26,2714,3516,4318,14,NA
2020-03-27,3377,4374,5371,18,NA
2020-03-28,4201,5442,6683,22,NA
2020-03-29,5226,6770,8314,28,NA
2020-03-30,6502,8422,10342,35,NA
2020-03-31,8089,10478,12867,43,NA
2020-04-01,10063,13035,16007,54,NA
