"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Austria",2019-12-30,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2019-12-31,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-01,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-02,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-03,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-04,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-05,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-06,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-07,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-08,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-09,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-10,0,0,0,0,0,0,"47.516231","14.550072"
"Austria",2020-01-11,1,1,1,0,0,0,"47.516231","14.550072"
"Austria",2020-01-12,1,1,1,0,0,0,"47.516231","14.550072"
"Austria",2020-01-13,1,1,1,0,0,0,"47.516231","14.550072"
"Austria",2020-01-14,1,1,1,0,0,0,"47.516231","14.550072"
"Austria",2020-01-15,1,1,1,0,0,0,"47.516231","14.550072"
"Austria",2020-01-16,1,1,1,0,0,0,"47.516231","14.550072"
"Austria",2020-01-17,1,1,1,0,0,0,"47.516231","14.550072"
"Austria",2020-01-18,1,1,1,0,0,0,"47.516231","14.550072"
"Austria",2020-01-19,1,1,1,0,0,0,"47.516231","14.550072"
"Austria",2020-01-20,1,2,3,0,0,0,"47.516231","14.550072"
"Austria",2020-01-21,1,2,3,0,0,0,"47.516231","14.550072"
"Austria",2020-01-22,1,2,3,0,0,0,"47.516231","14.550072"
"Austria",2020-01-23,1,2,3,0,0,0,"47.516231","14.550072"
"Austria",2020-01-24,2,3,4,0,0,0,"47.516231","14.550072"
"Austria",2020-01-25,2,3,4,0,0,0,"47.516231","14.550072"
"Austria",2020-01-26,2,3,4,0,0,0,"47.516231","14.550072"
"Austria",2020-01-27,3,4,5,0,0,0,"47.516231","14.550072"
"Austria",2020-01-28,3,4,5,0,0,0,"47.516231","14.550072"
"Austria",2020-01-29,3,5,7,0,0,0,"47.516231","14.550072"
"Austria",2020-01-30,3,5,7,0,0,0,"47.516231","14.550072"
"Austria",2020-01-31,4,6,8,0,0,0,"47.516231","14.550072"
"Austria",2020-02-01,4,7,10,0,0,0,"47.516231","14.550072"
"Austria",2020-02-02,5,8,11,0,0,0,"47.516231","14.550072"
"Austria",2020-02-03,6,9,12,0,0,0,"47.516231","14.550072"
"Austria",2020-02-04,6,10,14,0,0,0,"47.516231","14.550072"
"Austria",2020-02-05,7,11,15,0,0,0,"47.516231","14.550072"
"Austria",2020-02-06,8,13,18,0,0,0,"47.516231","14.550072"
"Austria",2020-02-07,10,15,20,0,0,0,"47.516231","14.550072"
"Austria",2020-02-08,11,17,23,0,0,0,"47.516231","14.550072"
"Austria",2020-02-09,12,19,26,0,0,0,"47.516231","14.550072"
"Austria",2020-02-10,13,21,29,0,0,0,"47.516231","14.550072"
"Austria",2020-02-11,15,24,33,0,0,0,"47.516231","14.550072"
"Austria",2020-02-12,17,27,37,0,0,0,"47.516231","14.550072"
"Austria",2020-02-13,20,31,42,0,0,0,"47.516231","14.550072"
"Austria",2020-02-14,22,35,48,0,0,0,"47.516231","14.550072"
"Austria",2020-02-15,25,40,55,1,0,0,"47.516231","14.550072"
"Austria",2020-02-16,29,45,61,1,0,0,"47.516231","14.550072"
"Austria",2020-02-17,32,51,70,1,0,0,"47.516231","14.550072"
"Austria",2020-02-18,37,58,79,1,0,0,"47.516231","14.550072"
"Austria",2020-02-19,41,65,89,1,0,0,"47.516231","14.550072"
"Austria",2020-02-20,47,74,101,1,0,0,"47.516231","14.550072"
"Austria",2020-02-21,54,84,114,1,0,0,"47.516231","14.550072"
"Austria",2020-02-22,61,95,129,1,0,0,"47.516231","14.550072"
"Austria",2020-02-23,68,107,146,1,0,0,"47.516231","14.550072"
"Austria",2020-02-24,78,122,166,2,0,0,"47.516231","14.550072"
"Austria",2020-02-25,88,138,188,2,2,0,"47.516231","14.550072"
"Austria",2020-02-26,99,156,213,2,2,0,"47.516231","14.550072"
"Austria",2020-02-27,113,177,241,2,5,0,"47.516231","14.550072"
"Austria",2020-02-28,127,200,273,3,7,0,"47.516231","14.550072"
"Austria",2020-02-29,145,227,309,3,10,0,"47.516231","14.550072"
"Austria",2020-03-01,164,257,350,4,14,0,"47.516231","14.550072"
"Austria",2020-03-02,185,291,397,4,18,0,"47.516231","14.550072"
"Austria",2020-03-03,210,329,448,5,24,0,"47.516231","14.550072"
"Austria",2020-03-04,238,373,508,5,29,0,"47.516231","14.550072"
"Austria",2020-03-05,270,423,576,6,41,0,"47.516231","14.550072"
"Austria",2020-03-06,305,479,653,7,74,0,"47.516231","14.550072"
"Austria",2020-03-07,345,542,739,7,99,0,"47.516231","14.550072"
"Austria",2020-03-08,391,614,837,8,102,0,"47.516231","14.550072"
"Austria",2020-03-09,443,696,949,10,131,0,"47.516231","14.550072"
"Austria",2020-03-10,502,788,1074,11,182,0,"47.516231","14.550072"
"Austria",2020-03-11,569,893,1217,12,246,1,"47.516231","14.550072"
"Austria",2020-03-12,644,1011,1378,14,361,1,"47.516231","14.550072"
"Austria",2020-03-13,730,1145,1560,16,504,1,"47.516231","14.550072"
"Austria",2020-03-14,826,1297,1768,18,655,1,"47.516231","14.550072"
"Austria",2020-03-15,936,1469,2002,20,860,3,"47.516231","14.550072"
"Austria",2020-03-16,1060,1664,2268,23,1016,3,"47.516231","14.550072"
"Austria",2020-03-17,1201,1885,2569,26,1332,4,"47.516231","14.550072"
"Austria",2020-03-18,1360,2135,2910,29,1646,6,"47.516231","14.550072"
"Austria",2020-03-19,1541,2418,3295,33,2196,6,"47.516231","14.550072"
"Austria",2020-03-20,1744,2738,3732,37,2649,8,"47.516231","14.550072"
"Austria",2020-03-21,1976,3102,4228,42,3024,16,"47.516231","14.550072"
"Austria",2020-03-22,2238,3513,4788,48,3631,25,"47.516231","14.550072"
