"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Bahrain",2019-12-30,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2019-12-31,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-01,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-02,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-03,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-04,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-05,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-06,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-07,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-08,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-09,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-10,2,3,4,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-11,2,3,4,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-12,2,3,4,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-13,2,3,4,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-14,2,3,4,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-15,3,4,5,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-16,3,4,5,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-17,3,4,5,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-18,3,4,5,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-19,4,5,6,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-20,4,5,6,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-21,4,5,6,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-22,5,6,7,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-23,5,6,7,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-24,5,7,9,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-25,5,7,9,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-26,5,7,9,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-27,6,8,10,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-28,7,9,11,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-29,7,9,11,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-30,8,10,12,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-31,8,10,12,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-01,9,11,13,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-02,9,12,15,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-03,10,13,16,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-04,11,14,17,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-05,11,14,17,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-06,12,15,18,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-07,13,17,21,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-08,14,18,22,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-09,15,19,23,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-10,16,20,24,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-11,16,21,26,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-12,18,23,28,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-13,20,25,30,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-14,20,26,32,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-15,22,28,34,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-16,23,30,37,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-17,25,32,39,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-18,27,34,41,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-19,28,36,44,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-20,30,39,48,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-21,32,41,50,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-22,34,44,54,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-23,37,47,57,0,1,0,"26.0667","50.5577"
"Bahrain",2020-02-24,40,51,62,0,2,0,"26.0667","50.5577"
"Bahrain",2020-02-25,42,54,66,0,23,0,"26.0667","50.5577"
"Bahrain",2020-02-26,45,58,71,0,33,0,"26.0667","50.5577"
"Bahrain",2020-02-27,48,62,76,0,33,0,"26.0667","50.5577"
"Bahrain",2020-02-28,52,66,80,0,38,0,"26.0667","50.5577"
"Bahrain",2020-02-29,55,70,85,0,41,0,"26.0667","50.5577"
"Bahrain",2020-03-01,59,75,91,0,47,NA,"26.0667","50.5577"
"Bahrain",2020-03-02,62,80,98,0,0,0,"26.0667","50.5577"
