"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Bangladesh",2019-12-30,0,0,0,0,0,NA,"23.684994","90.356331"
"Bangladesh",2019-12-31,0,0,0,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-01,0,0,0,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-02,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-03,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-04,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-05,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-06,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-07,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-08,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-09,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-10,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-11,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-12,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-13,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-14,1,1,1,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-15,1,2,3,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-16,1,2,3,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-17,1,2,3,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-18,1,2,3,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-19,1,2,3,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-20,1,2,3,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-21,1,2,3,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-22,2,3,4,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-23,2,3,4,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-24,2,3,4,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-25,2,3,4,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-26,3,4,5,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-27,3,4,5,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-28,3,4,5,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-29,4,5,6,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-30,4,5,6,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-01-31,4,5,6,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-01,4,6,8,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-02,4,6,8,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-03,5,7,9,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-04,5,7,9,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-05,6,8,10,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-06,7,9,11,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-07,7,9,11,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-08,7,10,13,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-09,8,11,14,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-10,9,12,15,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-11,10,13,16,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-12,10,14,18,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-13,11,15,19,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-14,12,16,20,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-15,13,18,23,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-16,14,19,24,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-17,16,21,26,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-18,16,22,28,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-19,18,24,30,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-20,19,26,33,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-21,21,28,35,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-22,23,31,39,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-23,25,33,41,0,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-24,27,36,45,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-25,29,39,49,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-26,31,42,53,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-27,34,46,58,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-28,37,50,63,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-02-29,40,54,68,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-01,43,58,73,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-02,47,63,79,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-03,51,68,85,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-04,55,74,93,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-05,60,80,100,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-06,64,86,108,1,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-07,70,94,118,1,0,0,"23.684994","90.356331"
"Bangladesh",2020-03-08,76,101,126,2,3,NA,"23.684994","90.356331"
"Bangladesh",2020-03-09,82,110,138,2,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-10,89,119,149,2,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-11,96,128,160,2,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-12,104,139,174,2,0,NA,"23.684994","90.356331"
"Bangladesh",2020-03-13,113,151,189,2,0,0,"23.684994","90.356331"
"Bangladesh",2020-03-14,122,163,204,2,3,NA,"23.684994","90.356331"
"Bangladesh",2020-03-15,132,177,222,3,0,0,"23.684994","90.356331"
"Bangladesh",2020-03-16,143,191,239,3,5,0,"23.684994","90.356331"
"Bangladesh",2020-03-17,155,207,259,3,8,0,"23.684994","90.356331"
"Bangladesh",2020-03-18,168,224,280,3,10,0,"23.684994","90.356331"
"Bangladesh",2020-03-19,181,242,303,4,10,0,"23.684994","90.356331"
"Bangladesh",2020-03-20,196,262,328,4,17,2,"23.684994","90.356331"
"Bangladesh",2020-03-21,213,284,355,4,24,3,"23.684994","90.356331"
"Bangladesh",2020-03-22,231,308,385,5,27,3,"23.684994","90.356331"
"Bangladesh",2020-03-23,249,333,417,5,33,4,"23.684994","90.356331"
"Bangladesh",2020-03-24,270,361,452,5,39,5,"23.684994","90.356331"
"Bangladesh",2020-03-25,292,390,488,6,39,5,"23.684994","90.356331"
"Bangladesh",2020-03-26,317,423,529,6,48,5,"23.684994","90.356331"
"Bangladesh",2020-03-27,342,457,572,7,48,5,"23.684994","90.356331"
"Bangladesh",2020-03-28,371,495,619,7,48,5,"23.684994","90.356331"
"Bangladesh",2020-03-29,401,536,671,8,49,5,"23.684994","90.356331"
"Bangladesh",2020-03-30,434,580,726,9,49,5,"23.684994","90.356331"
"Bangladesh",2020-03-31,470,628,786,9,51,6,"23.684994","90.356331"
"Bangladesh",2020-04-01,509,680,851,10,54,6,"23.684994","90.356331"
"Bangladesh",2020-04-02,551,736,921,11,56,6,"23.684994","90.356331"
"Bangladesh",2020-04-03,597,797,997,12,61,8,"23.684994","90.356331"
"Bangladesh",2020-04-04,646,863,1080,13,70,9,"23.684994","90.356331"
"Bangladesh",2020-04-05,699,934,1169,14,88,12,"23.684994","90.356331"
"Bangladesh",2020-04-06,758,1012,1266,15,123,17,"23.684994","90.356331"
"Bangladesh",2020-04-07,820,1095,1370,17,164,20,"23.684994","90.356331"
"Bangladesh",2020-04-08,888,1186,1484,18,218,21,"23.684994","90.356331"
"Bangladesh",2020-04-09,960,1283,1606,19,330,27,"23.684994","90.356331"
"Bangladesh",2020-04-10,1040,1389,1738,21,424,30,"23.684994","90.356331"
"Bangladesh",2020-04-11,1126,1504,1882,23,482,34,"23.684994","90.356331"
