"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,1,1,1,0,0
2020-02-03,1,1,1,0,1
2020-02-04,1,1,1,0,1
2020-02-05,1,1,1,0,1
2020-02-06,1,1,1,0,1
2020-02-07,1,1,1,0,1
2020-02-08,2,2,2,0,1
2020-02-09,2,2,2,0,1
2020-02-10,2,2,2,0,1
2020-02-11,3,3,3,0,1
2020-02-12,3,3,3,0,1
2020-02-13,3,4,5,0,1
2020-02-14,4,5,6,0,1
2020-02-15,5,6,7,0,1
2020-02-16,6,7,8,0,1
2020-02-17,7,8,9,0,1
2020-02-18,9,10,11,0,1
2020-02-19,10,11,12,0,1
2020-02-20,12,14,16,1,1
2020-02-21,14,16,18,1,1
2020-02-22,16,19,22,1,1
2020-02-23,20,23,26,1,1
2020-02-24,23,27,31,1,1
2020-02-25,29,33,37,1,1
2020-02-26,34,39,44,2,1
2020-02-27,40,46,52,2,1
2020-02-28,48,55,62,2,1
2020-02-29,57,66,75,3,1
2020-03-01,68,78,88,3,2
2020-03-02,80,93,106,4,8
2020-03-03,96,111,126,4,13
2020-03-04,114,132,150,5,23
2020-03-05,136,157,178,6,50
2020-03-06,162,187,212,7,109
2020-03-07,193,223,253,9,169
2020-03-08,230,266,302,11,200
2020-03-09,273,316,359,13,239
2020-03-10,326,377,428,15,267
2020-03-11,389,449,509,18,314
2020-03-12,462,534,606,21,399
2020-03-13,550,636,722,25,559
2020-03-14,656,758,860,30,689
2020-03-15,781,902,1023,36,886
2020-03-16,930,1075,1220,43,1085
2020-03-17,1108,1280,1452,51,1243
2020-03-18,1319,1524,1729,60,1486
2020-03-19,1571,1815,2059,72,1795
2020-03-20,1871,2162,2453,86,2257
2020-03-21,2228,2574,2920,102,2815
2020-03-22,2654,3066,3478,122,3401
2020-03-23,3160,3651,4142,145,3743
2020-03-24,3763,4348,4933,173,4269
2020-03-25,4482,5179,5876,205,4937
2020-03-26,5337,6167,6997,245,6235
2020-03-27,6357,7345,8333,291,7284
2020-03-28,7570,8747,9924,347,NA
2020-03-29,9016,10417,11818,413,NA
2020-03-30,10737,12406,14075,492,NA
2020-03-31,12787,14775,16763,586,NA
2020-04-01,15229,17596,19963,698,NA
2020-04-02,18136,20955,23774,831,NA
2020-04-03,21598,24956,28314,990,NA
