"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
171,2020-06-19,3686,3865,4044,3879
172,2020-06-20,3823,4009,4195,3992
173,2020-06-21,3964,4157,4350,4083
174,2020-06-22,4111,4311,4511,4428
175,2020-06-23,4264,4471,4678,4667
176,2020-06-24,4422,4637,4852,4772
177,2020-06-25,4586,4809,5032,4942
178,2020-06-26,4757,4988,5219,4977
179,2020-06-27,4933,5173,5413,4977
180,2020-06-28,5117,5365,5613,5195
181,2020-06-29,5306,5564,5822,5440
182,2020-06-30,5503,5770,6037,NA
183,2020-07-01,5707,5984,6261,NA
184,2020-07-02,5919,6206,6493,NA
185,2020-07-03,6139,6437,6735,NA
186,2020-07-04,6366,6675,6984,NA
187,2020-07-05,6602,6923,7244,NA
188,2020-07-06,6847,7180,7513,NA
189,2020-07-07,7101,7446,7791,NA
190,2020-07-08,7365,7723,8081,NA
191,2020-07-09,7638,8009,8380,NA
