"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Brazil",2019-12-30,302,364,426,18,0,0,"0","0"
"Brazil",2019-12-31,316,381,446,19,0,0,"0","0"
"Brazil",2020-01-01,332,400,468,20,0,0,"0","0"
"Brazil",2020-01-02,348,419,490,20,0,0,"0","0"
"Brazil",2020-01-03,364,439,514,21,0,0,"0","0"
"Brazil",2020-01-04,382,460,538,22,0,0,"0","0"
"Brazil",2020-01-05,400,482,564,24,0,0,"0","0"
"Brazil",2020-01-06,419,505,591,25,0,0,"0","0"
"Brazil",2020-01-07,439,529,619,26,0,0,"0","0"
"Brazil",2020-01-08,460,555,650,27,0,0,"0","0"
"Brazil",2020-01-09,482,581,680,28,0,0,"0","0"
"Brazil",2020-01-10,505,609,713,30,0,0,"0","0"
"Brazil",2020-01-11,529,638,747,31,0,0,"0","0"
"Brazil",2020-01-12,555,669,783,33,0,0,"0","0"
"Brazil",2020-01-13,581,701,821,34,0,0,"0","0"
"Brazil",2020-01-14,610,735,860,36,0,0,"0","0"
"Brazil",2020-01-15,639,770,901,38,0,0,"0","0"
"Brazil",2020-01-16,669,807,945,39,0,0,"0","0"
"Brazil",2020-01-17,701,845,989,41,0,0,"0","0"
"Brazil",2020-01-18,735,886,1037,43,0,0,"0","0"
"Brazil",2020-01-19,770,928,1086,45,0,0,"0","0"
"Brazil",2020-01-20,807,973,1139,47,0,0,"0","0"
"Brazil",2020-01-21,845,1019,1193,50,0,0,"0","0"
"Brazil",2020-01-22,886,1068,1250,52,0,0,"0","0"
"Brazil",2020-01-23,928,1119,1310,55,0,0,"0","0"
"Brazil",2020-01-24,973,1173,1373,57,0,0,"0","0"
"Brazil",2020-01-25,1019,1229,1439,60,0,0,"0","0"
"Brazil",2020-01-26,1068,1288,1508,63,0,0,"0","0"
"Brazil",2020-01-27,1120,1350,1580,66,0,0,"0","0"
"Brazil",2020-01-28,1174,1415,1656,69,0,0,"0","0"
"Brazil",2020-01-29,1229,1482,1735,72,0,0,"0","0"
"Brazil",2020-01-30,1288,1553,1818,76,0,0,"0","0"
"Brazil",2020-01-31,1350,1628,1906,79,0,0,"0","0"
"Brazil",2020-02-01,1415,1706,1997,83,0,0,"0","0"
"Brazil",2020-02-02,1483,1788,2093,87,0,0,"0","0"
"Brazil",2020-02-03,1554,1873,2192,91,0,0,"0","0"
"Brazil",2020-02-04,1628,1963,2298,96,0,0,"0","0"
"Brazil",2020-02-05,1706,2057,2408,100,0,0,"0","0"
"Brazil",2020-02-06,1788,2156,2524,105,0,0,"0","0"
