"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Bulgaria",2019-12-30,37,53,69,3,0,NA,"42.733883","25.48583"
"Bulgaria",2019-12-31,37,54,71,3,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-01,39,56,73,3,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-02,40,57,74,3,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-03,41,59,77,3,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-04,42,60,78,3,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-05,43,62,81,3,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-06,44,63,82,3,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-07,45,65,85,4,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-08,46,67,88,4,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-09,47,68,89,4,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-10,49,70,91,4,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-11,50,72,94,4,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-12,51,74,97,4,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-13,53,76,99,4,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-14,54,78,102,4,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-15,55,80,105,4,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-16,57,82,107,4,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-17,58,84,110,5,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-18,60,86,112,5,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-19,61,88,115,5,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-20,62,90,118,5,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-21,64,93,122,5,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-22,66,95,124,5,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-23,68,98,128,5,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-24,69,100,131,5,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-25,71,103,135,6,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-26,73,105,137,6,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-27,75,108,141,6,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-28,77,111,145,6,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-29,79,114,149,6,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-30,81,117,153,6,0,NA,"42.733883","25.48583"
"Bulgaria",2020-01-31,83,120,157,7,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-01,85,123,161,7,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-02,87,126,165,7,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-03,89,129,169,7,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-04,92,133,174,7,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-05,94,136,178,7,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-06,97,140,183,8,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-07,99,143,187,8,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-08,102,147,192,8,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-09,105,151,197,8,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-10,107,155,203,8,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-11,110,159,208,9,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-12,113,163,213,9,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-13,116,167,218,9,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-14,119,171,223,9,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-15,122,176,230,10,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-16,125,180,235,10,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-17,128,185,242,10,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-18,132,190,248,10,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-19,135,195,255,11,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-20,139,200,261,11,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-21,142,205,268,11,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-22,146,210,274,11,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-23,149,215,281,12,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-24,153,221,289,12,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-25,157,227,297,12,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-26,162,233,304,13,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-27,166,239,312,13,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-28,170,245,320,13,0,NA,"42.733883","25.48583"
"Bulgaria",2020-02-29,174,251,328,14,0,NA,"42.733883","25.48583"
"Bulgaria",2020-03-01,179,258,337,14,0,NA,"42.733883","25.48583"
"Bulgaria",2020-03-02,183,264,345,14,0,NA,"42.733883","25.48583"
"Bulgaria",2020-03-03,188,271,354,15,0,NA,"42.733883","25.48583"
"Bulgaria",2020-03-04,193,278,363,15,0,NA,"42.733883","25.48583"
"Bulgaria",2020-03-05,198,285,372,16,0,NA,"42.733883","25.48583"
"Bulgaria",2020-03-06,203,293,383,16,0,0,"42.733883","25.48583"
"Bulgaria",2020-03-07,208,300,392,16,2,0,"42.733883","25.48583"
"Bulgaria",2020-03-08,214,308,402,17,4,NA,"42.733883","25.48583"
"Bulgaria",2020-03-09,219,316,413,17,0,NA,"42.733883","25.48583"
"Bulgaria",2020-03-10,225,324,423,18,0,1,"42.733883","25.48583"
"Bulgaria",2020-03-11,230,332,434,18,7,1,"42.733883","25.48583"
"Bulgaria",2020-03-12,236,341,446,19,23,1,"42.733883","25.48583"
"Bulgaria",2020-03-13,243,350,457,19,31,2,"42.733883","25.48583"
"Bulgaria",2020-03-14,249,359,469,20,41,2,"42.733883","25.48583"
"Bulgaria",2020-03-15,255,368,481,20,51,2,"42.733883","25.48583"
"Bulgaria",2020-03-16,262,378,494,21,62,2,"42.733883","25.48583"
"Bulgaria",2020-03-17,269,388,507,21,81,2,"42.733883","25.48583"
"Bulgaria",2020-03-18,276,398,520,22,92,3,"42.733883","25.48583"
"Bulgaria",2020-03-19,283,408,533,22,105,3,"42.733883","25.48583"
"Bulgaria",2020-03-20,290,418,546,23,127,3,"42.733883","25.48583"
"Bulgaria",2020-03-21,297,429,561,23,163,3,"42.733883","25.48583"
"Bulgaria",2020-03-22,305,440,575,24,185,3,"42.733883","25.48583"
"Bulgaria",2020-03-23,313,452,591,25,201,3,"42.733883","25.48583"
"Bulgaria",2020-03-24,321,463,605,25,220,3,"42.733883","25.48583"
"Bulgaria",2020-03-25,329,475,621,26,242,3,"42.733883","25.48583"
"Bulgaria",2020-03-26,338,488,638,27,264,3,"42.733883","25.48583"
"Bulgaria",2020-03-27,347,500,653,27,293,7,"42.733883","25.48583"
"Bulgaria",2020-03-28,356,513,670,28,331,8,"42.733883","25.48583"
"Bulgaria",2020-03-29,365,526,687,29,346,8,"42.733883","25.48583"
"Bulgaria",2020-03-30,374,540,706,29,359,8,"42.733883","25.48583"
"Bulgaria",2020-03-31,384,554,724,30,399,10,"42.733883","25.48583"
"Bulgaria",2020-04-01,394,568,742,31,422,10,"42.733883","25.48583"
"Bulgaria",2020-04-02,404,583,762,32,457,14,"42.733883","25.48583"
"Bulgaria",2020-04-03,415,598,781,33,485,17,"42.733883","25.48583"
"Bulgaria",2020-04-04,426,614,802,33,503,20,"42.733883","25.48583"
"Bulgaria",2020-04-05,437,630,823,34,531,22,"42.733883","25.48583"
"Bulgaria",2020-04-06,448,646,844,35,549,23,"42.733883","25.48583"
"Bulgaria",2020-04-07,459,662,865,36,577,24,"42.733883","25.48583"
"Bulgaria",2020-04-08,471,680,889,37,593,24,"42.733883","25.48583"
"Bulgaria",2020-04-09,483,697,911,38,624,25,"42.733883","25.48583"
"Bulgaria",2020-04-10,496,715,934,39,635,28,"42.733883","25.48583"
"Bulgaria",2020-04-11,509,734,959,40,661,29,"42.733883","25.48583"
"Bulgaria",2020-04-12,522,753,984,41,675,32,"42.733883","25.48583"
"Bulgaria",2020-04-13,535,772,1009,42,685,35,"42.733883","25.48583"
"Bulgaria",2020-04-14,549,792,1035,43,713,36,"42.733883","25.48583"
