"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Canada",2019-12-30,0,0,0,0,0,0,"56.130366","0"
"Canada",2019-12-31,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-01,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-02,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-03,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-04,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-05,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-06,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-07,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-08,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-09,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-10,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-11,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-12,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-13,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-14,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-15,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-16,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-17,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-18,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-19,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-20,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-21,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-22,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-23,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-24,0,0,0,0,0,0,"56.130366","0"
"Canada",2020-01-25,0,0,0,0,1,0,"56.130366","0"
"Canada",2020-01-26,0,0,0,0,1,0,"56.130366","0"
"Canada",2020-01-27,0,0,0,0,2,0,"56.130366","0"
"Canada",2020-01-28,0,0,0,0,3,0,"56.130366","0"
"Canada",2020-01-29,0,0,0,0,3,0,"56.130366","0"
"Canada",2020-01-30,0,0,0,0,3,0,"56.130366","0"
"Canada",2020-01-31,0,0,0,0,4,0,"56.130366","0"
"Canada",2020-02-01,0,0,0,0,4,0,"56.130366","0"
"Canada",2020-02-02,0,0,0,0,4,0,"56.130366","0"
"Canada",2020-02-03,0,0,0,0,4,0,"56.130366","0"
"Canada",2020-02-04,0,0,0,0,5,0,"56.130366","0"
"Canada",2020-02-05,0,0,0,0,5,0,"56.130366","0"
"Canada",2020-02-06,0,0,0,0,7,0,"56.130366","0"
"Canada",2020-02-07,0,0,0,0,7,0,"56.130366","0"
"Canada",2020-02-08,1,1,1,0,7,0,"56.130366","0"
"Canada",2020-02-09,1,1,1,0,7,0,"56.130366","0"
"Canada",2020-02-10,1,1,1,0,7,0,"56.130366","0"
"Canada",2020-02-11,1,1,1,0,7,0,"56.130366","0"
"Canada",2020-02-12,1,1,1,0,7,0,"56.130366","0"
"Canada",2020-02-13,1,1,1,0,7,0,"56.130366","0"
"Canada",2020-02-14,2,2,2,0,8,0,"56.130366","0"
"Canada",2020-02-15,2,2,2,0,8,0,"56.130366","0"
"Canada",2020-02-16,2,2,2,0,8,0,"56.130366","0"
"Canada",2020-02-17,2,3,4,0,8,0,"56.130366","0"
"Canada",2020-02-18,2,3,4,0,8,0,"56.130366","0"
"Canada",2020-02-19,3,4,5,0,8,0,"56.130366","0"
"Canada",2020-02-20,4,5,6,0,9,0,"56.130366","0"
"Canada",2020-02-21,5,6,7,0,9,0,"56.130366","0"
"Canada",2020-02-22,5,7,9,0,9,0,"56.130366","0"
"Canada",2020-02-23,7,9,11,0,9,0,"56.130366","0"
"Canada",2020-02-24,8,11,14,0,11,0,"56.130366","0"
"Canada",2020-02-25,10,13,16,0,11,0,"56.130366","0"
"Canada",2020-02-26,12,15,18,0,12,0,"56.130366","0"
"Canada",2020-02-27,14,18,22,0,14,0,"56.130366","0"
"Canada",2020-02-28,17,22,27,0,16,0,"56.130366","0"
"Canada",2020-02-29,21,27,33,0,20,0,"56.130366","0"
"Canada",2020-03-01,25,32,39,0,24,0,"56.130366","0"
"Canada",2020-03-02,30,39,48,0,27,0,"56.130366","0"
"Canada",2020-03-03,36,47,58,1,30,0,"56.130366","0"
"Canada",2020-03-04,44,57,70,1,33,0,"56.130366","0"
"Canada",2020-03-05,53,69,85,1,45,0,"56.130366","0"
"Canada",2020-03-06,64,83,102,1,51,0,"56.130366","0"
"Canada",2020-03-07,77,100,123,1,57,0,"56.130366","0"
"Canada",2020-03-08,92,120,148,1,62,0,"56.130366","0"
"Canada",2020-03-09,112,145,178,2,77,1,"56.130366","0"
"Canada",2020-03-10,135,175,215,2,93,1,"56.130366","0"
"Canada",2020-03-11,163,211,259,2,103,1,"56.130366","0"
"Canada",2020-03-12,197,255,313,3,138,1,"56.130366","0"
"Canada",2020-03-13,237,307,377,4,176,1,"56.130366","0"
"Canada",2020-03-14,286,371,456,4,244,1,"56.130366","0"
"Canada",2020-03-15,345,447,549,5,304,1,"56.130366","0"
"Canada",2020-03-16,415,539,663,6,424,4,"56.130366","0"
"Canada",2020-03-17,501,650,799,8,569,8,"56.130366","0"
"Canada",2020-03-18,605,785,965,9,690,9,"56.130366","0"
"Canada",2020-03-19,730,947,1164,11,846,10,"56.130366","0"
"Canada",2020-03-20,880,1142,1404,13,971,12,"56.130366","0"
"Canada",2020-03-21,1061,1377,1693,16,1231,13,"56.130366","0"
"Canada",2020-03-22,1280,1661,2042,20,1430,18,"56.130366","0"
"Canada",2020-03-23,1545,2004,2463,24,1646,24,"56.130366","0"
"Canada",2020-03-24,1864,2418,2972,28,1959,27,"56.130366","0"
