"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
175,2020-06-23,157,203,249,4290
176,2020-06-24,162,210,258,4364
177,2020-06-25,168,218,268,4560
178,2020-06-26,174,226,278,4681
179,2020-06-27,181,235,289,4681
180,2020-06-28,188,244,300,4815
181,2020-06-29,195,253,311,4943
182,2020-06-30,203,263,323,5128
183,2020-07-01,210,272,334,5314
184,2020-07-02,218,283,348,5382
185,2020-07-03,226,293,360,5528
186,2020-07-04,235,304,373,NA
187,2020-07-05,244,316,388,NA
188,2020-07-06,253,328,403,NA
189,2020-07-07,262,340,418,NA
190,2020-07-08,272,353,434,NA
191,2020-07-09,282,366,450,NA
192,2020-07-10,293,380,467,NA
193,2020-07-11,304,394,484,NA
194,2020-07-12,316,409,502,NA
195,2020-07-13,327,424,521,NA
