"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
163,2020-06-11,47,59,71,59
164,2020-06-12,50,64,78,60
165,2020-06-13,55,70,85,60
166,2020-06-14,61,77,93,64
167,2020-06-15,66,84,102,71
168,2020-06-16,73,93,113,91
169,2020-06-17,80,101,122,99
170,2020-06-18,88,111,134,111
171,2020-06-19,96,122,148,127
172,2020-06-20,105,133,161,142
173,2020-06-21,115,146,177,155
174,2020-06-22,126,160,194,NA
175,2020-06-23,138,175,212,NA
176,2020-06-24,151,192,233,NA
177,2020-06-25,166,211,256,NA
178,2020-06-26,182,231,280,NA
179,2020-06-27,199,253,307,NA
180,2020-06-28,218,277,336,NA
181,2020-06-29,240,304,368,NA
182,2020-06-30,263,333,403,NA
183,2020-07-01,287,364,441,NA
