"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
152,2020-05-31,41689,47837,53985,48489
153,2020-06-01,43956,50439,56922,50504
154,2020-06-02,46348,53183,60018,54683
155,2020-06-03,48870,56077,63284,56056
156,2020-06-04,51528,59128,66728,NA
157,2020-06-05,54332,62345,70358,62176
158,2020-06-06,57288,65737,74186,63575
159,2020-06-07,60404,69313,78222,64271
160,2020-06-08,63691,73084,82477,NA
161,2020-06-09,67157,77061,86965,NA
162,2020-06-10,70810,81253,91696,NA
163,2020-06-11,74663,85674,96685,NA
164,2020-06-12,78725,90335,101945,NA
165,2020-06-13,83008,95250,107492,NA
166,2020-06-14,87524,100432,113340,NA
