"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"China",2019-12-30,10554,18066,25578,736,27,0,"35.86166","104.195397"
"China",2019-12-31,10743,18389,26035,749,27,0,"35.86166","104.195397"
"China",2020-01-01,10935,18718,26501,762,27,0,"35.86166","104.195397"
"China",2020-01-02,11131,19053,26975,776,44,0,"35.86166","104.195397"
"China",2020-01-03,11330,19394,27458,790,44,0,"35.86166","104.195397"
"China",2020-01-04,11533,19741,27949,804,59,0,"35.86166","104.195397"
"China",2020-01-05,11739,20094,28449,818,59,0,"35.86166","104.195397"
"China",2020-01-06,11949,20454,28959,833,59,0,"35.86166","104.195397"
"China",2020-01-07,12163,20820,29477,848,59,0,"35.86166","104.195397"
"China",2020-01-08,12381,21193,30005,863,59,0,"35.86166","104.195397"
"China",2020-01-09,12602,21572,30542,879,59,1,"35.86166","104.195397"
"China",2020-01-10,12828,21958,31088,894,59,1,"35.86166","104.195397"
"China",2020-01-11,13058,22351,31644,910,59,1,"35.86166","104.195397"
"China",2020-01-12,13291,22751,32211,927,59,1,"35.86166","104.195397"
"China",2020-01-13,13529,23158,32787,943,59,2,"35.86166","104.195397"
"China",2020-01-14,13771,23573,33375,960,59,2,"35.86166","104.195397"
"China",2020-01-15,14018,23995,33972,977,59,2,"35.86166","104.195397"
"China",2020-01-16,14269,24424,34579,995,63,2,"35.86166","104.195397"
"China",2020-01-17,14524,24861,35198,1013,80,3,"35.86166","104.195397"
"China",2020-01-18,14784,25306,35828,1031,216,3,"35.86166","104.195397"
"China",2020-01-19,15048,25759,36470,1049,235,6,"35.86166","104.195397"
"China",2020-01-20,15318,26220,37122,1068,386,17,"35.86166","104.195397"
"China",2020-01-21,15592,26690,37788,1087,526,17,"35.86166","104.195397"
"China",2020-01-22,15871,27167,38463,1106,623,26,"35.86166","104.195397"
"China",2020-01-23,16155,27653,39151,1126,882,41,"35.86166","104.195397"
"China",2020-01-24,16444,28148,39852,1146,1323,56,"35.86166","104.195397"
"China",2020-01-25,16739,28652,40565,1167,1988,81,"35.86166","104.195397"
"China",2020-01-26,17038,29165,41292,1188,2775,106,"35.86166","104.195397"
"China",2020-01-27,17343,29687,42031,1209,4528,132,"35.86166","104.195397"
"China",2020-01-28,17653,30218,42783,1231,5994,170,"35.86166","104.195397"
"China",2020-01-29,17969,30759,43549,1253,7734,213,"35.86166","104.195397"
"China",2020-01-30,18291,31310,44329,1275,9714,259,"35.86166","104.195397"
"China",2020-01-31,18619,31870,45121,1298,11809,304,"35.86166","104.195397"
"China",2020-02-01,18952,32440,45928,1321,14399,361,"35.86166","104.195397"
"China",2020-02-02,19291,33021,46751,1345,17211,426,"35.86166","104.195397"
"China",2020-02-03,19636,33612,47588,1369,20448,492,"35.86166","104.195397"
"China",2020-02-04,19987,34213,48439,1393,24320,564,"35.86166","104.195397"
"China",2020-02-05,20345,34826,49307,1418,28047,637,"35.86166","104.195397"
"China",2020-02-06,20709,35449,50189,1444,31207,723,"35.86166","104.195397"
"China",2020-02-07,21080,36084,51088,1470,34625,812,"35.86166","104.195397"
"China",2020-02-08,21457,36729,52001,1496,37232,909,"35.86166","104.195397"
"China",2020-02-09,21842,37387,52932,1523,40206,1017,"35.86166","104.195397"
"China",2020-02-10,22232,38056,53880,1550,42696,1114,"35.86166","104.195397"
"China",2020-02-11,22630,38737,54844,1578,44724,1368,"35.86166","104.195397"
"China",2020-02-12,23035,39430,55825,1606,59865,1381,"35.86166","104.195397"
"China",2020-02-13,23448,40136,56824,1635,64021,1524,"35.86166","104.195397"
"China",2020-02-14,23867,40854,57841,1664,66559,1666,"35.86166","104.195397"
"China",2020-02-15,24294,41585,58876,1694,68566,1771,"35.86166","104.195397"
"China",2020-02-16,24729,42330,59931,1724,70618,1869,"35.86166","104.195397"
"China",2020-02-17,25172,43087,61002,1755,72508,2008,"35.86166","104.195397"
"China",2020-02-18,25622,43858,62094,1786,74258,2120,"35.86166","104.195397"
"China",2020-02-19,26081,44643,63205,1818,74652,2238,"35.86166","104.195397"
"China",2020-02-20,26547,45442,64337,1851,75543,2347,"35.86166","104.195397"
"China",2020-02-21,27023,46256,65489,1884,76369,2445,"35.86166","104.195397"
"China",2020-02-22,27507,47084,66661,1918,77016,2595,"35.86166","104.195397"
"China",2020-02-23,27998,47926,67854,1952,77234,2665,"35.86166","104.195397"
"China",2020-02-24,28500,48784,69068,1987,77749,2717,"35.86166","104.195397"
"China",2020-02-25,29010,49657,70304,2022,78159,2746,"35.86166","104.195397"
"China",2020-02-26,29529,50546,71563,2059,78598,2790,"35.86166","104.195397"
"China",2020-02-27,30058,51451,72844,2096,78927,2837,"35.86166","104.195397"
"China",2020-02-28,30595,52371,74147,2133,79355,2872,"35.86166","104.195397"
"China",2020-02-29,31143,53309,75475,2171,79929,2914,"35.86166","104.195397"
"China",2020-03-01,31701,54263,76825,2210,80134,2946,"35.86166","104.195397"
"China",2020-03-02,32268,55234,78200,2250,80261,2983,"35.86166","104.195397"
"China",2020-03-03,32845,56222,79599,2290,80380,3014,"35.86166","104.195397"
"China",2020-03-04,33433,57229,81025,2331,80497,3044,"35.86166","104.195397"
"China",2020-03-05,34032,58253,82474,2373,80667,3072,"35.86166","104.195397"
"China",2020-03-06,34641,59296,83951,2415,80768,3099,"35.86166","104.195397"
"China",2020-03-07,35261,60357,85453,2458,80814,3122,"35.86166","104.195397"
"China",2020-03-08,35892,61437,86982,2502,80859,3139,"35.86166","104.195397"
"China",2020-03-09,36534,62537,88540,2547,80879,3161,"35.86166","104.195397"
