"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
165,2020-06-13,20,25,30,29
166,2020-06-14,21,26,31,29
167,2020-06-15,22,28,34,31
168,2020-06-16,24,30,36,30
169,2020-06-17,25,31,37,33
170,2020-06-18,26,33,40,33
171,2020-06-19,28,35,42,35
172,2020-06-20,29,37,45,37
173,2020-06-21,32,40,48,37
174,2020-06-22,33,42,51,37
175,2020-06-23,35,44,53,38
176,2020-06-24,37,47,57,NA
177,2020-06-25,40,50,60,NA
178,2020-06-26,42,53,64,NA
179,2020-06-27,45,56,67,NA
180,2020-06-28,48,60,72,NA
181,2020-06-29,50,63,76,NA
182,2020-06-30,53,67,81,NA
183,2020-07-01,57,71,85,NA
184,2020-07-02,60,75,90,NA
185,2020-07-03,64,80,96,NA
