"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Costa.Rica",2019-12-30,10,18,26,0,0,NA,"9.748917","0"
"Costa.Rica",2019-12-31,10,18,26,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-01,11,19,27,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-02,11,19,27,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-03,11,20,29,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-04,12,21,30,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-05,12,21,30,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-06,12,22,32,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-07,13,23,33,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-08,13,23,33,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-09,14,24,34,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-10,14,25,36,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-11,14,25,36,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-12,15,26,37,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-13,15,27,39,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-14,16,28,40,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-15,16,29,42,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-16,17,30,43,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-17,17,30,43,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-18,17,31,45,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-19,18,32,46,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-20,19,33,47,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-21,19,34,49,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-22,20,35,50,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-23,20,36,52,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-24,21,38,55,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-25,22,39,56,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-26,23,40,57,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-27,23,41,59,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-28,24,42,60,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-29,25,44,63,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-30,25,45,65,0,0,NA,"9.748917","0"
"Costa.Rica",2020-01-31,26,46,66,0,0,NA,"9.748917","0"
"Costa.Rica",2020-02-01,27,48,69,0,0,NA,"9.748917","0"
"Costa.Rica",2020-02-02,28,49,70,0,0,NA,"9.748917","0"
"Costa.Rica",2020-02-03,29,51,73,0,0,NA,"9.748917","0"
"Costa.Rica",2020-02-04,29,52,75,0,0,NA,"9.748917","0"
"Costa.Rica",2020-02-05,30,54,78,0,0,NA,"9.748917","0"
"Costa.Rica",2020-02-06,32,56,80,0,0,NA,"9.748917","0"
"Costa.Rica",2020-02-07,32,57,82,0,0,NA,"9.748917","0"
"Costa.Rica",2020-02-08,33,59,85,1,0,NA,"9.748917","0"
"Costa.Rica",2020-02-09,34,61,88,1,0,NA,"9.748917","0"
"Costa.Rica",2020-02-10,36,63,90,1,0,NA,"9.748917","0"
"Costa.Rica",2020-02-11,37,65,93,1,0,NA,"9.748917","0"
