"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Cuba",2019-12-30,30,53,76,2,0,NA,"21.521757","0"
"Cuba",2019-12-31,31,54,77,2,0,NA,"21.521757","0"
"Cuba",2020-01-01,32,55,78,2,0,NA,"21.521757","0"
"Cuba",2020-01-02,33,57,81,2,0,NA,"21.521757","0"
"Cuba",2020-01-03,33,58,83,2,0,NA,"21.521757","0"
"Cuba",2020-01-04,34,59,84,2,0,NA,"21.521757","0"
"Cuba",2020-01-05,35,61,87,2,0,NA,"21.521757","0"
"Cuba",2020-01-06,36,62,88,2,0,NA,"21.521757","0"
"Cuba",2020-01-07,37,64,91,2,0,NA,"21.521757","0"
"Cuba",2020-01-08,38,66,94,2,0,NA,"21.521757","0"
"Cuba",2020-01-09,39,67,95,3,0,NA,"21.521757","0"
"Cuba",2020-01-10,40,69,98,3,0,NA,"21.521757","0"
"Cuba",2020-01-11,41,71,101,3,0,NA,"21.521757","0"
"Cuba",2020-01-12,41,72,103,3,0,NA,"21.521757","0"
"Cuba",2020-01-13,43,74,105,3,0,NA,"21.521757","0"
"Cuba",2020-01-14,44,76,108,3,0,NA,"21.521757","0"
"Cuba",2020-01-15,45,78,111,3,0,NA,"21.521757","0"
"Cuba",2020-01-16,46,80,114,3,0,NA,"21.521757","0"
"Cuba",2020-01-17,47,82,117,3,0,NA,"21.521757","0"
"Cuba",2020-01-18,48,84,120,3,0,NA,"21.521757","0"
"Cuba",2020-01-19,49,86,123,3,0,NA,"21.521757","0"
"Cuba",2020-01-20,51,88,125,3,0,NA,"21.521757","0"
"Cuba",2020-01-21,52,90,128,3,0,NA,"21.521757","0"
"Cuba",2020-01-22,53,92,131,3,0,NA,"21.521757","0"
"Cuba",2020-01-23,55,95,135,4,0,NA,"21.521757","0"
"Cuba",2020-01-24,56,97,138,4,0,NA,"21.521757","0"
"Cuba",2020-01-25,57,99,141,4,0,NA,"21.521757","0"
"Cuba",2020-01-26,59,102,145,4,0,NA,"21.521757","0"
"Cuba",2020-01-27,60,104,148,4,0,NA,"21.521757","0"
"Cuba",2020-01-28,61,107,153,4,0,NA,"21.521757","0"
"Cuba",2020-01-29,63,110,157,4,0,NA,"21.521757","0"
"Cuba",2020-01-30,64,112,160,4,0,NA,"21.521757","0"
"Cuba",2020-01-31,66,115,164,4,0,NA,"21.521757","0"
"Cuba",2020-02-01,68,118,168,4,0,NA,"21.521757","0"
"Cuba",2020-02-02,70,121,172,5,0,NA,"21.521757","0"
"Cuba",2020-02-03,71,124,177,5,0,NA,"21.521757","0"
"Cuba",2020-02-04,73,127,181,5,0,NA,"21.521757","0"
"Cuba",2020-02-05,75,130,185,5,0,NA,"21.521757","0"
"Cuba",2020-02-06,76,133,190,5,0,NA,"21.521757","0"
"Cuba",2020-02-07,79,137,195,5,0,NA,"21.521757","0"
"Cuba",2020-02-08,80,140,200,5,0,NA,"21.521757","0"
"Cuba",2020-02-09,83,144,205,5,0,NA,"21.521757","0"
"Cuba",2020-02-10,84,147,210,6,0,NA,"21.521757","0"
"Cuba",2020-02-11,87,151,215,6,0,NA,"21.521757","0"
"Cuba",2020-02-12,89,154,219,6,0,NA,"21.521757","0"
"Cuba",2020-02-13,91,158,225,6,0,NA,"21.521757","0"
"Cuba",2020-02-14,93,162,231,6,0,NA,"21.521757","0"
"Cuba",2020-02-15,95,166,237,6,0,NA,"21.521757","0"
"Cuba",2020-02-16,98,170,242,6,0,NA,"21.521757","0"
"Cuba",2020-02-17,101,175,249,7,0,NA,"21.521757","0"
"Cuba",2020-02-18,103,179,255,7,0,NA,"21.521757","0"
"Cuba",2020-02-19,105,183,261,7,0,NA,"21.521757","0"
"Cuba",2020-02-20,108,188,268,7,0,NA,"21.521757","0"
"Cuba",2020-02-21,111,193,275,7,0,NA,"21.521757","0"
"Cuba",2020-02-22,113,197,281,7,0,NA,"21.521757","0"
"Cuba",2020-02-23,116,202,288,8,0,NA,"21.521757","0"
"Cuba",2020-02-24,119,207,295,8,0,NA,"21.521757","0"
"Cuba",2020-02-25,122,212,302,8,0,NA,"21.521757","0"
"Cuba",2020-02-26,125,218,311,8,0,NA,"21.521757","0"
"Cuba",2020-02-27,128,223,318,8,0,NA,"21.521757","0"
"Cuba",2020-02-28,132,229,326,9,0,NA,"21.521757","0"
"Cuba",2020-02-29,134,234,334,9,0,NA,"21.521757","0"
"Cuba",2020-03-01,138,240,342,9,0,NA,"21.521757","0"
"Cuba",2020-03-02,141,246,351,9,0,NA,"21.521757","0"
"Cuba",2020-03-03,145,252,359,9,0,NA,"21.521757","0"
"Cuba",2020-03-04,148,258,368,10,0,NA,"21.521757","0"
"Cuba",2020-03-05,152,265,378,10,0,NA,"21.521757","0"
"Cuba",2020-03-06,156,271,386,10,0,NA,"21.521757","0"
"Cuba",2020-03-07,160,278,396,10,0,NA,"21.521757","0"
"Cuba",2020-03-08,164,285,406,11,0,NA,"21.521757","0"
"Cuba",2020-03-09,168,292,416,11,0,NA,"21.521757","0"
"Cuba",2020-03-10,172,299,426,11,0,0,"21.521757","0"
"Cuba",2020-03-11,176,307,438,12,3,NA,"21.521757","0"
"Cuba",2020-03-12,180,314,448,12,0,0,"21.521757","0"
"Cuba",2020-03-13,185,322,459,12,4,0,"21.521757","0"
"Cuba",2020-03-14,190,330,470,12,4,NA,"21.521757","0"
"Cuba",2020-03-15,194,338,482,13,0,NA,"21.521757","0"
"Cuba",2020-03-16,199,347,495,13,0,0,"21.521757","0"
"Cuba",2020-03-17,204,355,506,13,7,1,"21.521757","0"
"Cuba",2020-03-18,209,364,519,14,11,1,"21.521757","0"
"Cuba",2020-03-19,214,373,532,14,16,1,"21.521757","0"
"Cuba",2020-03-20,220,382,544,14,21,1,"21.521757","0"
"Cuba",2020-03-21,225,392,559,15,25,1,"21.521757","0"
"Cuba",2020-03-22,231,402,573,15,35,1,"21.521757","0"
"Cuba",2020-03-23,237,412,587,16,40,1,"21.521757","0"
"Cuba",2020-03-24,243,422,601,16,48,1,"21.521757","0"
"Cuba",2020-03-25,248,432,616,16,57,2,"21.521757","0"
"Cuba",2020-03-26,255,443,631,17,67,2,"21.521757","0"
"Cuba",2020-03-27,261,454,647,17,80,3,"21.521757","0"
"Cuba",2020-03-28,267,465,663,18,119,3,"21.521757","0"
"Cuba",2020-03-29,274,477,680,18,139,4,"21.521757","0"
"Cuba",2020-03-30,281,489,697,18,170,6,"21.521757","0"
"Cuba",2020-03-31,288,501,714,19,186,6,"21.521757","0"
"Cuba",2020-04-01,295,513,731,19,212,6,"21.521757","0"
"Cuba",2020-04-02,302,526,750,20,233,6,"21.521757","0"
"Cuba",2020-04-03,310,539,768,20,269,6,"21.521757","0"
"Cuba",2020-04-04,317,552,787,21,288,8,"21.521757","0"
"Cuba",2020-04-05,325,566,807,21,320,9,"21.521757","0"
"Cuba",2020-04-06,333,580,827,22,350,11,"21.521757","0"
"Cuba",2020-04-07,341,594,847,22,396,12,"21.521757","0"
"Cuba",2020-04-08,350,609,868,23,457,15,"21.521757","0"
"Cuba",2020-04-09,359,624,889,23,515,15,"21.521757","0"
"Cuba",2020-04-10,368,640,912,24,564,16,"21.521757","0"
"Cuba",2020-04-11,376,655,934,25,620,18,"21.521757","0"
"Cuba",2020-04-12,386,672,958,25,669,21,"21.521757","0"
"Cuba",2020-04-13,395,688,981,26,726,21,"21.521757","0"
"Cuba",2020-04-14,405,705,1005,27,766,24,"21.521757","0"
"Cuba",2020-04-15,416,723,1030,27,814,27,"21.521757","0"
"Cuba",2020-04-16,426,741,1056,28,862,31,"21.521757","0"
"Cuba",2020-04-17,436,759,1082,29,923,32,"21.521757","0"
"Cuba",2020-04-18,447,778,1109,29,986,34,"21.521757","0"
"Cuba",2020-04-19,458,797,1136,30,1035,36,"21.521757","0"
"Cuba",2020-04-20,470,817,1164,31,1087,38,"21.521757","0"
"Cuba",2020-04-21,481,837,1193,32,1137,40,"21.521757","0"
"Cuba",2020-04-22,493,858,1223,32,1189,43,"21.521757","0"
"Cuba",2020-04-23,505,879,1253,33,1235,49,"21.521757","0"
"Cuba",2020-04-24,518,901,1284,34,1285,51,"21.521757","0"
"Cuba",2020-04-25,531,924,1317,35,1337,54,"21.521757","0"
"Cuba",2020-04-26,544,947,1350,36,1369,56,"21.521757","0"
"Cuba",2020-04-27,557,970,1383,37,1389,58,"21.521757","0"
"Cuba",2020-04-28,571,994,1417,37,1437,58,"21.521757","0"
"Cuba",2020-04-29,586,1019,1452,38,1467,61,"21.521757","0"
"Cuba",2020-04-30,600,1044,1488,39,1501,64,"21.521757","0"
"Cuba",2020-05-01,615,1070,1525,40,1537,66,"21.521757","0"
"Cuba",2020-05-02,630,1096,1562,41,1611,67,"21.521757","0"
"Cuba",2020-05-03,646,1124,1602,42,1649,69,"21.521757","0"
"Cuba",2020-05-04,662,1151,1640,43,1668,69,"21.521757","0"
"Cuba",2020-05-05,678,1180,1682,44,1685,69,"21.521757","0"
"Cuba",2020-05-06,695,1209,1723,46,1703,73,"21.521757","0"
"Cuba",2020-05-07,712,1239,1766,47,1729,74,"21.521757","0"
"Cuba",2020-05-08,730,1270,1810,48,1741,74,"21.521757","0"
"Cuba",2020-05-09,748,1302,1856,49,1754,77,"21.521757","0"
"Cuba",2020-05-10,767,1334,1901,50,1766,77,"21.521757","0"
"Cuba",2020-05-11,786,1367,1948,51,1783,78,"21.521757","0"
"Cuba",2020-05-12,805,1401,1997,53,1804,79,"21.521757","0"
"Cuba",2020-05-13,825,1436,2047,54,1810,79,"21.521757","0"
"Cuba",2020-05-14,845,1471,2097,55,1830,79,"21.521757","0"
"Cuba",2020-05-15,867,1508,2149,57,1840,79,"21.521757","0"
"Cuba",2020-05-16,888,1545,2202,58,1862,79,"21.521757","0"
"Cuba",2020-05-17,910,1583,2256,60,1872,79,"21.521757","0"
"Cuba",2020-05-18,933,1623,2313,61,1881,79,"21.521757","0"
"Cuba",2020-05-19,956,1663,2370,63,1887,79,"21.521757","0"
"Cuba",2020-05-20,979,1704,2429,64,1900,80,"21.521757","0"
"Cuba",2020-05-21,1003,1746,2489,66,1908,81,"21.521757","0"
"Cuba",2020-05-22,1029,1790,2551,67,1916,81,"21.521757","0"
"Cuba",2020-05-23,1054,1834,2614,69,1931,82,"21.521757","0"
"Cuba",2020-05-24,1080,1880,2680,71,1941,82,"21.521757","0"
"Cuba",2020-05-25,1107,1926,2745,72,1947,82,"21.521757","0"
"Cuba",2020-05-26,1134,1974,2814,74,1963,82,"21.521757","0"
"Cuba",2020-05-27,1163,2023,2883,76,1974,82,"21.521757","0"
"Cuba",2020-05-28,1191,2073,2955,78,1983,82,"21.521757","0"
"Cuba",2020-05-29,1221,2124,3027,80,2005,83,"21.521757","0"
"Cuba",2020-05-30,1251,2177,3103,82,2025,83,"21.521757","0"
"Cuba",2020-05-31,1282,2231,3180,84,2045,83,"21.521757","0"
"Cuba",2020-06-01,1314,2286,3258,86,2083,83,"21.521757","0"
"Cuba",2020-06-02,1347,2343,3339,88,2092,83,"21.521757","0"
"Cuba",2020-06-03,1380,2401,3422,90,2107,83,"21.521757","0"
"Cuba",2020-06-04,1414,2461,3508,93,2119,83,"21.521757","0"
"Cuba",2020-06-05,1449,2522,3595,95,2133,83,"21.521757","0"
"Cuba",2020-06-06,1485,2584,3683,97,2173,83,"21.521757","0"
"Cuba",2020-06-07,1522,2649,3776,100,2191,83,"21.521757","0"
"Cuba",2020-06-08,1560,2714,3868,102,2200,83,"21.521757","0"
"Cuba",2020-06-09,1599,2782,3965,105,2205,83,"21.521757","0"
"Cuba",2020-06-10,1639,2851,4063,107,NA,NA,"21.521757","0"
"Cuba",2020-06-11,1679,2921,4163,110,NA,NA,"21.521757","0"
"Cuba",2020-06-12,1721,2994,4267,113,NA,NA,"21.521757","0"
"Cuba",2020-06-13,1763,3068,4373,115,NA,NA,"21.521757","0"
"Cuba",2020-06-14,1807,3144,4481,118,NA,NA,"21.521757","0"
"Cuba",2020-06-15,1852,3222,4592,121,NA,NA,"21.521757","0"
"Cuba",2020-06-16,1898,3302,4706,124,NA,NA,"21.521757","0"
